+ ---- + ------------------------------ + ---- + ------- + ------- +
| Rank | Combos of 2                    | Use  | Usage % |  Win %  |
+ ---- + ------------------------------ + ---- + ------- + ------- +
| 1    | Calyrex-Shadow / Koraidon      |    3 |  75.00% |  33.33% |
| 2    | Zacian-* / Arceus-Ground       |    2 |  50.00% | 100.00% |
| 2    | Kyogre / Kingambit             |    2 |  50.00% |  50.00% |
| 2    | Zacian-* / Calyrex-Shadow      |    2 |  50.00% |  50.00% |
| 2    | Calyrex-Shadow / Arceus        |    2 |  50.00% |  50.00% |
| 2    | Zacian-* / Koraidon            |    2 |  50.00% |  50.00% |
| 2    | Arceus / Koraidon              |    2 |  50.00% |  50.00% |
| 2    | Zacian-* / Arceus              |    2 |  50.00% |  50.00% |
| 9    | Kyogre / Arceus-Ground         |    1 |  25.00% | 100.00% |
| 9    | Kyogre / Ho-Oh                 |    1 |  25.00% | 100.00% |
| 9    | Kyogre / Maushold-Four         |    1 |  25.00% | 100.00% |
| 9    | Zacian-* / Kyogre              |    1 |  25.00% | 100.00% |
| 9    | Kingambit / Arceus-Ground      |    1 |  25.00% | 100.00% |
| 9    | Kingambit / Ho-Oh              |    1 |  25.00% | 100.00% |
| 9    | Kingambit / Maushold-Four      |    1 |  25.00% | 100.00% |
| 9    | Zacian-* / Kingambit           |    1 |  25.00% | 100.00% |
| 9    | Arceus-Ground / Ho-Oh          |    1 |  25.00% | 100.00% |
| 9    | Arceus-Ground / Maushold-Four  |    1 |  25.00% | 100.00% |
| 9    | Maushold-Four / Ho-Oh          |    1 |  25.00% | 100.00% |
| 9    | Zacian-* / Ho-Oh               |    1 |  25.00% | 100.00% |
| 9    | Zacian-* / Maushold-Four       |    1 |  25.00% | 100.00% |
| 9    | Ribombee / Calyrex-Shadow      |    1 |  25.00% | 100.00% |
| 9    | Ribombee / Koraidon            |    1 |  25.00% | 100.00% |
| 9    | Ribombee / Zacian-*            |    1 |  25.00% | 100.00% |
| 9    | Ribombee / Arceus-Ground       |    1 |  25.00% | 100.00% |
| 9    | Ribombee / Arceus              |    1 |  25.00% | 100.00% |
| 9    | Calyrex-Shadow / Arceus-Ground |    1 |  25.00% | 100.00% |
| 9    | Arceus-Ground / Koraidon       |    1 |  25.00% | 100.00% |
| 9    | Arceus-Ground / Arceus         |    1 |  25.00% | 100.00% |
| 9    | Arceus-Fairy / Koraidon        |    1 |  25.00% |   0.00% |
| 9    | Kyogre / Koraidon              |    1 |  25.00% |   0.00% |
| 9    | Kingambit / Koraidon           |    1 |  25.00% |   0.00% |
| 9    | Ting-Lu / Koraidon             |    1 |  25.00% |   0.00% |
| 9    | Arceus-Fairy / Calyrex-Shadow  |    1 |  25.00% |   0.00% |
| 9    | Arceus-Fairy / Kyogre          |    1 |  25.00% |   0.00% |
| 9    | Arceus-Fairy / Kingambit       |    1 |  25.00% |   0.00% |
| 9    | Arceus-Fairy / Ting-Lu         |    1 |  25.00% |   0.00% |
| 9    | Calyrex-Shadow / Kyogre        |    1 |  25.00% |   0.00% |
| 9    | Calyrex-Shadow / Kingambit     |    1 |  25.00% |   0.00% |
| 9    | Calyrex-Shadow / Ting-Lu       |    1 |  25.00% |   0.00% |
| 9    | Kyogre / Ting-Lu               |    1 |  25.00% |   0.00% |
| 9    | Kingambit / Ting-Lu            |    1 |  25.00% |   0.00% |
| 9    | Koraidon / Glimmora            |    1 |  25.00% |   0.00% |
| 9    | Miraidon / Koraidon            |    1 |  25.00% |   0.00% |
| 9    | Arceus / Glimmora              |    1 |  25.00% |   0.00% |
| 9    | Miraidon / Arceus              |    1 |  25.00% |   0.00% |
| 9    | Zacian-* / Glimmora            |    1 |  25.00% |   0.00% |
| 9    | Zacian-* / Miraidon            |    1 |  25.00% |   0.00% |
| 9    | Calyrex-Shadow / Glimmora      |    1 |  25.00% |   0.00% |
| 9    | Miraidon / Glimmora            |    1 |  25.00% |   0.00% |
| 9    | Miraidon / Calyrex-Shadow      |    1 |  25.00% |   0.00% |

+ ---- + ----------------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                               | Use  | Usage % |  Win %  |
+ ---- + ----------------------------------------- + ---- + ------- + ------- +
| 1    | Zacian-* / Calyrex-Shadow / Koraidon      |    2 |  50.00% |  50.00% |
| 1    | Calyrex-Shadow / Arceus / Koraidon        |    2 |  50.00% |  50.00% |
| 1    | Zacian-* / Calyrex-Shadow / Arceus        |    2 |  50.00% |  50.00% |
| 1    | Zacian-* / Arceus / Koraidon              |    2 |  50.00% |  50.00% |
| 5    | Kyogre / Kingambit / Arceus-Ground        |    1 |  25.00% | 100.00% |
| 5    | Kyogre / Kingambit / Ho-Oh                |    1 |  25.00% | 100.00% |
| 5    | Kyogre / Kingambit / Maushold-Four        |    1 |  25.00% | 100.00% |
| 5    | Zacian-* / Kyogre / Kingambit             |    1 |  25.00% | 100.00% |
| 5    | Kyogre / Arceus-Ground / Ho-Oh            |    1 |  25.00% | 100.00% |
| 5    | Kyogre / Arceus-Ground / Maushold-Four    |    1 |  25.00% | 100.00% |
| 5    | Zacian-* / Kyogre / Arceus-Ground         |    1 |  25.00% | 100.00% |
| 5    | Kyogre / Maushold-Four / Ho-Oh            |    1 |  25.00% | 100.00% |
| 5    | Zacian-* / Kyogre / Ho-Oh                 |    1 |  25.00% | 100.00% |
| 5    | Zacian-* / Kyogre / Maushold-Four         |    1 |  25.00% | 100.00% |
| 5    | Kingambit / Arceus-Ground / Ho-Oh         |    1 |  25.00% | 100.00% |
| 5    | Kingambit / Arceus-Ground / Maushold-Four |    1 |  25.00% | 100.00% |
| 5    | Zacian-* / Kingambit / Arceus-Ground      |    1 |  25.00% | 100.00% |
| 5    | Kingambit / Maushold-Four / Ho-Oh         |    1 |  25.00% | 100.00% |
