+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Zacian-*           |    3 |  75.00% |  66.67% |
| 1    | Koraidon           |    3 |  75.00% |  33.33% |
| 1    | Calyrex-Shadow     |    3 |  75.00% |  33.33% |
| 4    | Arceus-Ground      |    2 |  50.00% | 100.00% |
| 4    | Kyogre             |    2 |  50.00% |  50.00% |
| 4    | Kingambit          |    2 |  50.00% |  50.00% |
| 4    | Arceus             |    2 |  50.00% |  50.00% |
| 8    | Ho-Oh              |    1 |  25.00% | 100.00% |
| 8    | Maushold-Four      |    1 |  25.00% | 100.00% |
| 8    | Ribombee           |    1 |  25.00% | 100.00% |
| 8    | Arceus-Fairy       |    1 |  25.00% |   0.00% |
| 8    | Ting-Lu            |    1 |  25.00% |   0.00% |
| 8    | Glimmora           |    1 |  25.00% |   0.00% |
| 8    | Miraidon           |    1 |  25.00% |   0.00% |
