+ ---- + ---------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                        | Use  | Usage % |  Win %  |
+ ---- + ---------------------------------- + ---- + ------- + ------- +
| 1    | Arceus-* / Rayquaza                |    3 | 150.00% |  66.67% |
| 1    | Arceus-* / Groudon                 |    3 | 150.00% |  66.67% |
| 3    | Arceus-* / Necrozma-Dusk-Mane      |    2 | 100.00% | 100.00% |
| 3    | Arceus-* / Ho-Oh                   |    2 | 100.00% | 100.00% |
| 3    | Rayquaza / Groudon                 |    2 | 100.00% |  50.00% |
| 6    | Rayquaza / Necrozma-Dusk-Mane      |    1 |  50.00% | 100.00% |
| 6    | Rayquaza / Ho-Oh                   |    1 |  50.00% | 100.00% |
| 6    | Rayquaza / Arceus-Ground           |    1 |  50.00% | 100.00% |
| 6    | Arceus-*                           |    1 |  50.00% | 100.00% |
| 6    | Necrozma-Dusk-Mane / Ho-Oh         |    1 |  50.00% | 100.00% |
| 6    | Necrozma-Dusk-Mane / Groudon       |    1 |  50.00% | 100.00% |
| 6    | Necrozma-Dusk-Mane / Arceus-Ground |    1 |  50.00% | 100.00% |
| 6    | Groudon / Ho-Oh                    |    1 |  50.00% | 100.00% |
| 6    | Arceus-Ground / Ho-Oh              |    1 |  50.00% | 100.00% |
| 6    | Arceus-Ground / Groudon            |    1 |  50.00% | 100.00% |
| 6    | Rayquaza / Marshadow               |    1 |  50.00% |   0.00% |
| 6    | Rayquaza / Zygarde                 |    1 |  50.00% |   0.00% |
| 6    | Rayquaza / Celesteela              |    1 |  50.00% |   0.00% |
| 6    | Arceus-Fairy / Rayquaza            |    1 |  50.00% |   0.00% |
| 6    | Zygarde / Marshadow                |    1 |  50.00% |   0.00% |
| 6    | Groudon / Marshadow                |    1 |  50.00% |   0.00% |
| 6    | Celesteela / Marshadow             |    1 |  50.00% |   0.00% |
| 6    | Arceus-* / Marshadow               |    1 |  50.00% |   0.00% |
| 6    | Arceus-Fairy / Marshadow           |    1 |  50.00% |   0.00% |
| 6    | Groudon / Zygarde                  |    1 |  50.00% |   0.00% |
| 6    | Celesteela / Zygarde               |    1 |  50.00% |   0.00% |
| 6    | Arceus-* / Zygarde                 |    1 |  50.00% |   0.00% |
| 6    | Arceus-Fairy / Zygarde             |    1 |  50.00% |   0.00% |
| 6    | Groudon / Celesteela               |    1 |  50.00% |   0.00% |
