+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| -    | Arceus-*           |    3 | 150.00% |  66.67% |
| 1    | Rayquaza           |    2 | 100.00% |  50.00% |
| 1    | Groudon            |    2 | 100.00% |  50.00% |
| 3    | Necrozma-Dusk-Mane |    1 |  50.00% | 100.00% |
| 3    | Ho-Oh              |    1 |  50.00% | 100.00% |
| 3    | Arceus-Ground      |    1 |  50.00% | 100.00% |
| 3    | Marshadow          |    1 |  50.00% |   0.00% |
| 3    | Zygarde            |    1 |  50.00% |   0.00% |
| 3    | Celesteela         |    1 |  50.00% |   0.00% |
| 3    | Arceus-Fairy       |    1 |  50.00% |   0.00% |
