+ ---- + ------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2               | Use  | Usage % |  Win %  |
+ ---- + ------------------------- + ---- + ------- + ------- +
| 1    | Arceus-* / Xerneas-*      |    7 | 175.00% |  85.71% |
| 2    | Arceus-* / Rayquaza       |    4 | 100.00% |  50.00% |
| 3    | Xerneas-*                 |    3 |  75.00% | 100.00% |
| 3    | Rayquaza / Xerneas-*      |    3 |  75.00% | 100.00% |
| 3    | Arceus-Ghost / Xerneas-*  |    3 |  75.00% | 100.00% |
| 3    | Arceus-*                  |    3 |  75.00% |  66.67% |
| 3    | Arceus-* / Groudon        |    3 |  75.00% |   0.00% |
| 8    | Tentacruel / Arceus-*     |    2 |  50.00% | 100.00% |
| 8    | Lugia / Arceus-*          |    2 |  50.00% | 100.00% |
| 8    | Arceus-* / Clefable       |    2 |  50.00% | 100.00% |
| 8    | Arceus-* / Giratina       |    2 |  50.00% | 100.00% |
| 8    | Arceus-* / Yveltal        |    2 |  50.00% |   0.00% |
| 8    | Arceus-* / Klefki         |    2 |  50.00% |   0.00% |
| 14   | Lugia / Tentacruel        |    1 |  25.00% | 100.00% |
| 14   | Tentacruel / Clefable     |    1 |  25.00% | 100.00% |
| 14   | Tentacruel / Giratina     |    1 |  25.00% | 100.00% |
| 14   | Tentacruel / Arceus-Steel |    1 |  25.00% | 100.00% |
| 14   | Lugia / Clefable          |    1 |  25.00% | 100.00% |
| 14   | Lugia / Giratina          |    1 |  25.00% | 100.00% |
| 14   | Lugia / Arceus-Steel      |    1 |  25.00% | 100.00% |
| 14   | Clefable / Giratina       |    1 |  25.00% | 100.00% |
| 14   | Arceus-Steel / Clefable   |    1 |  25.00% | 100.00% |
| 14   | Arceus-Steel / Giratina   |    1 |  25.00% | 100.00% |
| 14   | Arceus-Ghost / Rayquaza   |    1 |  25.00% | 100.00% |
| 14   | Rayquaza / Yveltal        |    1 |  25.00% |   0.00% |
| 14   | Rayquaza / Groudon        |    1 |  25.00% |   0.00% |
| 14   | Rayquaza / Klefki         |    1 |  25.00% |   0.00% |
| 14   | Rayquaza / Arceus-Ground  |    1 |  25.00% |   0.00% |
| 14   | Yveltal / Groudon         |    1 |  25.00% |   0.00% |
| 14   | Klefki / Yveltal          |    1 |  25.00% |   0.00% |
| 14   | Arceus-Ground / Yveltal   |    1 |  25.00% |   0.00% |
| 14   | Klefki / Groudon          |    1 |  25.00% |   0.00% |
| 14   | Arceus-Ground / Groudon   |    1 |  25.00% |   0.00% |
| 14   | Klefki / Arceus-Ground    |    1 |  25.00% |   0.00% |
| 14   | Groudon / Deoxys-Speed    |    1 |  25.00% |   0.00% |
| 14   | Smeargle / Deoxys-Speed   |    1 |  25.00% |   0.00% |
| 14   | Diancie / Deoxys-Speed    |    1 |  25.00% |   0.00% |
