+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| -    | Arceus-*           |    7 | 175.00% |  57.14% |
| 1    | Xerneas-*          |    4 | 100.00% |  75.00% |
| 2    | Rayquaza           |    2 |  50.00% |  50.00% |
| 2    | Groudon            |    2 |  50.00% |   0.00% |
| 4    | Tentacruel         |    1 |  25.00% | 100.00% |
| 4    | Lugia              |    1 |  25.00% | 100.00% |
| 4    | Clefable           |    1 |  25.00% | 100.00% |
| 4    | Giratina           |    1 |  25.00% | 100.00% |
| 4    | Arceus-Steel       |    1 |  25.00% | 100.00% |
| 4    | Arceus-Ghost       |    1 |  25.00% | 100.00% |
| 4    | Yveltal            |    1 |  25.00% |   0.00% |
| 4    | Klefki             |    1 |  25.00% |   0.00% |
| 4    | Arceus-Ground      |    1 |  25.00% |   0.00% |
| 4    | Deoxys-Speed       |    1 |  25.00% |   0.00% |
| 4    | Smeargle           |    1 |  25.00% |   0.00% |
| 4    | Diancie            |    1 |  25.00% |   0.00% |
| 4    | Arceus             |    1 |  25.00% |   0.00% |
