+ ---- + ------------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                           | Use  | Usage % |  Win %  |
+ ---- + ------------------------------------- + ---- + ------- + ------- +
| 1    | Xerneas-*                             |   16 | 160.00% |  93.75% |
| 2    | Yveltal / Eternatus                   |    9 |  90.00% |  55.56% |
| 3    | Necrozma-Dusk-Mane / Yveltal          |    8 |  80.00% |  50.00% |
| 4    | Necrozma-Dusk-Mane / Eternatus        |    7 |  70.00% |  42.86% |
| 5    | Yveltal / Ho-Oh                       |    6 |  60.00% |  66.67% |
| 6    | Eternatus / Ho-Oh                     |    4 |  40.00% |  75.00% |
| 7    | Necrozma-Dusk-Mane / Ho-Oh            |    3 |  30.00% |  66.67% |
| 7    | Landorus-Therian / Yveltal            |    3 |  30.00% |  66.67% |
| 7    | Kyogre / Necrozma-Dusk-Mane           |    3 |  30.00% |  33.33% |
| 7    | Kyogre / Yveltal                      |    3 |  30.00% |  33.33% |
| 7    | Kyogre / Eternatus                    |    3 |  30.00% |  33.33% |
| 7    | Calyrex-Shadow / Necrozma-Dusk-Mane   |    3 |  30.00% |  33.33% |
| 7    | Calyrex-Shadow / Yveltal              |    3 |  30.00% |  33.33% |
| 7    | Calyrex-Shadow / Eternatus            |    3 |  30.00% |  33.33% |
| 7    | Eternatus / Ferrothorn                |    3 |  30.00% |  33.33% |
| 7    | Necrozma-Dusk-Mane / Ferrothorn       |    3 |  30.00% |  33.33% |
| 7    | Yveltal / Ferrothorn                  |    3 |  30.00% |  33.33% |
| 7    | Yveltal / Xerneas-*                   |    3 |  30.00% |   0.00% |
| 19   | Zacian-* / Kyogre                     |    2 |  20.00% |  50.00% |
| 19   | Zacian-* / Necrozma-Dusk-Mane         |    2 |  20.00% |  50.00% |
| 19   | Zacian-* / Yveltal                    |    2 |  20.00% |  50.00% |
| 19   | Zacian-* / Eternatus                  |    2 |  20.00% |  50.00% |
| 19   | Necrozma-Dusk-Mane / Landorus-Therian |    2 |  20.00% |  50.00% |
| 19   | Landorus-Therian / Eternatus          |    2 |  20.00% |  50.00% |
| 19   | Landorus-Therian / Ho-Oh              |    2 |  20.00% |  50.00% |
| 19   | Calyrex-Shadow / Xerneas-*            |    2 |  20.00% |   0.00% |
| 19   | Necrozma-Dusk-Mane / Xerneas-*        |    2 |  20.00% |   0.00% |
| 19   | Xerneas-* / Eternatus                 |    2 |  20.00% |   0.00% |
| 19   | Kyogre / Ferrothorn                   |    2 |  20.00% |   0.00% |
| 30   | Kyogre / Ho-Oh                        |    1 |  10.00% | 100.00% |
| 30   | Zacian-* / Ho-Oh                      |    1 |  10.00% | 100.00% |
| 30   | Calyrex-Shadow / Ferrothorn           |    1 |  10.00% | 100.00% |
| 30   | Calyrex-Shadow / Marshadow            |    1 |  10.00% | 100.00% |
| 30   | Eternatus / Marshadow                 |    1 |  10.00% | 100.00% |
| 30   | Necrozma-Dusk-Mane / Marshadow        |    1 |  10.00% | 100.00% |
| 30   | Ferrothorn / Marshadow                |    1 |  10.00% | 100.00% |
| 30   | Yveltal / Marshadow                   |    1 |  10.00% | 100.00% |
| 30   | Yveltal                               |    1 |  10.00% | 100.00% |
| 30   | Groudon / Pheromosa                   |    1 |  10.00% | 100.00% |
| 30   | Groudon / Blissey                     |    1 |  10.00% | 100.00% |
| 30   | Groudon / Eternatus                   |    1 |  10.00% | 100.00% |
| 30   | Groudon / Yveltal                     |    1 |  10.00% | 100.00% |
| 30   | Groudon / Ho-Oh                       |    1 |  10.00% | 100.00% |
| 30   | Pheromosa / Blissey                   |    1 |  10.00% | 100.00% |
| 30   | Pheromosa / Eternatus                 |    1 |  10.00% | 100.00% |
| 30   | Pheromosa / Yveltal                   |    1 |  10.00% | 100.00% |
| 30   | Pheromosa / Ho-Oh                     |    1 |  10.00% | 100.00% |
| 30   | Eternatus / Blissey                   |    1 |  10.00% | 100.00% |
| 30   | Yveltal / Blissey                     |    1 |  10.00% | 100.00% |
| 30   | Blissey / Ho-Oh                       |    1 |  10.00% | 100.00% |
| 30   | Shedinja / Quagsire                   |    1 |  10.00% |   0.00% |
| 30   | Shedinja / Ho-Oh                      |    1 |  10.00% |   0.00% |
| 30   | Shedinja / Giratina                   |    1 |  10.00% |   0.00% |
| 30   | Shedinja / Yveltal                    |    1 |  10.00% |   0.00% |
| 30   | Shedinja / Xerneas-*                  |    1 |  10.00% |   0.00% |
| 30   | Quagsire / Ho-Oh                      |    1 |  10.00% |   0.00% |
| 30   | Quagsire / Giratina                   |    1 |  10.00% |   0.00% |
| 30   | Yveltal / Quagsire                    |    1 |  10.00% |   0.00% |
| 30   | Quagsire / Xerneas-*                  |    1 |  10.00% |   0.00% |
| 30   | Giratina / Ho-Oh                      |    1 |  10.00% |   0.00% |
| 30   | Xerneas-* / Ho-Oh                     |    1 |  10.00% |   0.00% |
| 30   | Yveltal / Giratina                    |    1 |  10.00% |   0.00% |
| 30   | Xerneas-* / Giratina                  |    1 |  10.00% |   0.00% |
