+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Yveltal            |   10 | 100.00% |  50.00% |
| 2    | Xerneas-*          |    9 |  90.00% |  66.67% |
| 3    | Eternatus          |    8 |  80.00% |  50.00% |
| 4    | Necrozma-Dusk-Mane |    7 |  70.00% |  42.86% |
| 5    | Ho-Oh              |    5 |  50.00% |  60.00% |
| 6    | Kyogre             |    3 |  30.00% |  33.33% |
| 6    | Calyrex-Shadow     |    3 |  30.00% |  33.33% |
| 6    | Ferrothorn         |    3 |  30.00% |  33.33% |
| 9    | Zacian-*           |    2 |  20.00% |  50.00% |
| 9    | Landorus-Therian   |    2 |  20.00% |  50.00% |
| 11   | Marshadow          |    1 |  10.00% | 100.00% |
| 11   | Groudon            |    1 |  10.00% | 100.00% |
| 11   | Pheromosa          |    1 |  10.00% | 100.00% |
| 11   | Blissey            |    1 |  10.00% | 100.00% |
| 11   | Shedinja           |    1 |  10.00% |   0.00% |
| 11   | Quagsire           |    1 |  10.00% |   0.00% |
| 11   | Giratina           |    1 |  10.00% |   0.00% |
| 11   | Ditto              |    1 |  10.00% |   0.00% |
