+ ---- + ------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                     | Use  | Usage % |  Win %  |
+ ---- + ------------------------------- + ---- + ------- + ------- +
| 1    | Calyrex-Shadow / Koraidon       |    7 |  50.00% |  57.14% |
| 2    | Arceus / Koraidon               |    6 |  42.86% |  83.33% |
| 3    | Arceus-Ground / Koraidon        |    5 |  35.71% |  80.00% |
| 3    | Ting-Lu / Koraidon              |    5 |  35.71% |  40.00% |
| 3    | Ting-Lu / Ho-Oh                 |    5 |  35.71% |  40.00% |
| 6    | Arceus-Fairy / Koraidon         |    4 |  28.57% |  50.00% |
| 6    | Koraidon / Ho-Oh                |    4 |  28.57% |  25.00% |
| 8    | Calyrex-Shadow / Arceus         |    3 |  21.43% | 100.00% |
| 8    | Miraidon / Arceus               |    3 |  21.43% |  66.67% |
| 8    | Miraidon / Ho-Oh                |    3 |  21.43% |  66.67% |
| 8    | Arceus-Ground / Arceus          |    3 |  21.43% |  66.67% |
| 8    | Ribombee / Koraidon             |    3 |  21.43% |  66.67% |
| 8    | Ribombee / Calyrex-Shadow       |    3 |  21.43% |  66.67% |
| 8    | Zacian-* / Koraidon             |    3 |  21.43% |  66.67% |
| 8    | Arceus-Fairy / Ting-Lu          |    3 |  21.43% |  33.33% |
| 8    | Arceus-Fairy / Calyrex-Shadow   |    3 |  21.43% |  33.33% |
| 8    | Miraidon / Koraidon             |    3 |  21.43% |   0.00% |
| 8    | Chien-Pao                       |    3 |  21.43% |   0.00% |
| 8    | Chien-Pao / Giratina-Origin     |    3 |  21.43% |   0.00% |
| 8    | Chien-Pao / Ditto               |    3 |  21.43% |   0.00% |
| 8    | Chien-Pao / Arceus-Ground       |    3 |  21.43% |   0.00% |
| 22   | Arceus / Ditto                  |    2 |  14.29% | 100.00% |
| 22   | Arceus / Ho-Oh                  |    2 |  14.29% | 100.00% |
| 22   | Miraidon / Ditto                |    2 |  14.29% | 100.00% |
| 22   | Ditto / Ho-Oh                   |    2 |  14.29% | 100.00% |
| 22   | Excadrill / Koraidon            |    2 |  14.29% | 100.00% |
| 22   | Calyrex-Shadow / Arceus-Ground  |    2 |  14.29% | 100.00% |
| 22   | Ribombee / Arceus               |    2 |  14.29% | 100.00% |
| 22   | Kyogre / Koraidon               |    2 |  14.29% | 100.00% |
| 22   | Arceus / Ting-Lu                |    2 |  14.29% | 100.00% |
| 22   | Kyogre / Ting-Lu                |    2 |  14.29% | 100.00% |
| 22   | Arceus-Fairy / Arceus           |    2 |  14.29% | 100.00% |
| 22   | Clodsire / Gliscor              |    2 |  14.29% |  50.00% |
| 22   | Gliscor / Ho-Oh                 |    2 |  14.29% |  50.00% |
| 22   | Clodsire / Ho-Oh                |    2 |  14.29% |  50.00% |
| 22   | Miraidon / Ting-Lu              |    2 |  14.29% |  50.00% |
| 22   | Koraidon / Glimmora             |    2 |  14.29% |  50.00% |
| 22   | Arceus-Ground / Glimmora        |    2 |  14.29% |  50.00% |
| 22   | Arceus / Glimmora               |    2 |  14.29% |  50.00% |
| 22   | Zacian-* / Arceus-Ground        |    2 |  14.29% |  50.00% |
| 22   | Zacian-* / Arceus               |    2 |  14.29% |  50.00% |
| 22   | Calyrex-Shadow / Ting-Lu        |    2 |  14.29% |   0.00% |
| 22   | Miraidon / Calyrex-Shadow       |    2 |  14.29% |   0.00% |
| 22   | Koraidon / Hatterene            |    2 |  14.29% |   0.00% |
| 22   | Chi-Yu / Ho-Oh                  |    2 |  14.29% |   0.00% |
| 22   | Hatterene / Ho-Oh               |    2 |  14.29% |   0.00% |
| 47   | Arceus / Gliscor                |    1 |   7.14% | 100.00% |
| 47   | Ditto / Gliscor                 |    1 |   7.14% | 100.00% |
| 47   | Miraidon / Gliscor              |    1 |   7.14% | 100.00% |
| 47   | Arceus / Clodsire               |    1 |   7.14% | 100.00% |
| 47   | Clodsire / Ditto                |    1 |   7.14% | 100.00% |
| 47   | Miraidon / Clodsire             |    1 |   7.14% | 100.00% |
| 47   | Koraidon                        |    1 |   7.14% | 100.00% |
| 47   | Calyrex-Shadow / Excadrill      |    1 |   7.14% | 100.00% |
| 47   | Excadrill / Arceus              |    1 |   7.14% | 100.00% |
| 47   | Excadrill / Arceus-Ground       |    1 |   7.14% | 100.00% |
| 47   | Ribombee / Glimmora             |    1 |   7.14% | 100.00% |
| 47   | Calyrex-Shadow / Glimmora       |    1 |   7.14% | 100.00% |
| 47   | Ribombee / Arceus-Ground        |    1 |   7.14% | 100.00% |
| 47   | Landorus-Therian / Koraidon     |    1 |   7.14% | 100.00% |
| 47   | Landorus-Therian / Ting-Lu      |    1 |   7.14% | 100.00% |
| 47   | Arceus-Fairy / Kyogre           |    1 |   7.14% | 100.00% |
| 47   | Arceus-Fairy / Landorus-Therian |    1 |   7.14% | 100.00% |
| 47   | Kyogre / Arceus                 |    1 |   7.14% | 100.00% |
| 47   | Arceus / Landorus-Therian       |    1 |   7.14% | 100.00% |
| 47   | Kyogre / Landorus-Therian       |    1 |   7.14% | 100.00% |
| 47   | Miraidon / Eternatus            |    1 |   7.14% | 100.00% |
| 47   | Ditto / Eternatus               |    1 |   7.14% | 100.00% |
| 47   | Eternatus / Ho-Oh               |    1 |   7.14% | 100.00% |
| 47   | Ting-Lu / Eternatus             |    1 |   7.14% | 100.00% |
| 47   | Arceus / Eternatus              |    1 |   7.14% | 100.00% |
| 47   | Ting-Lu / Ditto                 |    1 |   7.14% | 100.00% |
| 47   | Ribombee / Zacian-*             |    1 |   7.14% | 100.00% |
| 47   | Ribombee / Arceus-Fairy         |    1 |   7.14% | 100.00% |
| 47   | Zacian-* / Calyrex-Shadow       |    1 |   7.14% | 100.00% |
| 47   | Zacian-* / Arceus-Fairy         |    1 |   7.14% | 100.00% |
| 47   | Zacian-* / Ting-Lu              |    1 |   7.14% | 100.00% |
| 47   | Zacian-* / Kyogre               |    1 |   7.14% | 100.00% |
| 47   | Zacian-* / Ho-Oh                |    1 |   7.14% | 100.00% |
| 47   | Arceus-Ground / Ting-Lu         |    1 |   7.14% | 100.00% |
| 47   | Kyogre / Arceus-Ground          |    1 |   7.14% | 100.00% |
| 47   | Arceus-Ground / Ho-Oh           |    1 |   7.14% | 100.00% |
| 47   | Kyogre / Ho-Oh                  |    1 |   7.14% | 100.00% |
