+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Koraidon                |    3 |  21.43% |  33.33% |
| 2    | Miraidon                |    2 |  14.29% | 100.00% |
| 2    | Ribombee                |    2 |  14.29% |  50.00% |
| 4    | Kyogre                  |    1 |   7.14% | 100.00% |
| 4    | Arceus-Fairy            |    1 |   7.14% | 100.00% |
| 4    | Ho-Oh                   |    1 |   7.14% | 100.00% |
| 4    | Chien-Pao               |    1 |   7.14% |   0.00% |
| 4    | Clodsire                |    1 |   7.14% |   0.00% |
| 4    | Glimmora                |    1 |   7.14% |   0.00% |
| 4    | Alomomola               |    1 |   7.14% |   0.00% |
