+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Koraidon           |   11 |  78.57% |  54.55% |
| 2    | Arceus             |    7 |  50.00% |  85.71% |
| 2    | Ho-Oh              |    7 |  50.00% |  42.86% |
| 4    | Ting-Lu            |    6 |  42.86% |  50.00% |
| 4    | Calyrex-Shadow     |    6 |  42.86% |  50.00% |
| 6    | Arceus-Ground      |    5 |  35.71% |  60.00% |
| 6    | Miraidon           |    5 |  35.71% |  40.00% |
| 8    | Arceus-Fairy       |    4 |  28.57% |  50.00% |
| 9    | Ditto              |    3 |  21.43% |  66.67% |
| 9    | Ribombee           |    3 |  21.43% |  66.67% |
| 9    | Zacian-*           |    3 |  21.43% |  66.67% |
| 9    | Chien-Pao          |    3 |  21.43% |   0.00% |
| 13   | Kyogre             |    2 |  14.29% | 100.00% |
| 13   | Gliscor            |    2 |  14.29% |  50.00% |
| 13   | Clodsire           |    2 |  14.29% |  50.00% |
| 13   | Glimmora           |    2 |  14.29% |  50.00% |
| 13   | Alomomola          |    2 |  14.29% |   0.00% |
| 13   | Hatterene          |    2 |  14.29% |   0.00% |
| 19   | Excadrill          |    1 |   7.14% | 100.00% |
| 19   | Landorus-Therian   |    1 |   7.14% | 100.00% |
| 19   | Eternatus          |    1 |   7.14% | 100.00% |
| 19   | Giratina-Origin    |    1 |   7.14% |   0.00% |
| 19   | Muk-Alola          |    1 |   7.14% |   0.00% |
| 19   | Skeledirge         |    1 |   7.14% |   0.00% |
| 19   | Volbeat            |    1 |   7.14% |   0.00% |
| 19   | Chi-Yu             |    1 |   7.14% |   0.00% |
| 19   | Corviknight        |    1 |   7.14% |   0.00% |
