+ ---- + ---------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                        | Use  | Usage % |  Win %  |
+ ---- + ---------------------------------- + ---- + ------- + ------- +
| 1    | Arceus-* / Rayquaza                |    8 | 133.33% |  37.50% |
| 2    | Arceus-*                           |    5 |  83.33% |  20.00% |
| 3    | Arceus-Fairy / Rayquaza            |    3 |  50.00% |  33.33% |
| 3    | Arceus-* / Deoxys-Speed            |    3 |  50.00% |   0.00% |
| 3    | Arceus-* / Groudon                 |    3 |  50.00% |   0.00% |
| 6    | Stakataka / Mew                    |    2 |  33.33% | 100.00% |
| 6    | Arceus-* / Stakataka               |    2 |  33.33% | 100.00% |
| 6    | Necrozma-Dawn-Wings / Stakataka    |    2 |  33.33% | 100.00% |
| 6    | Rayquaza / Stakataka               |    2 |  33.33% | 100.00% |
| 6    | Arceus-Fairy / Stakataka           |    2 |  33.33% | 100.00% |
| 6    | Arceus-* / Chansey                 |    2 |  33.33% | 100.00% |
| 6    | Arceus-* / Skarmory                |    2 |  33.33% | 100.00% |
| 6    | Arceus-* / Tyranitar               |    2 |  33.33% | 100.00% |
| 6    | Rayquaza / Groudon                 |    2 |  33.33% |  50.00% |
| 6    | Rayquaza / Necrozma-Dusk-Mane      |    2 |  33.33% |  50.00% |
| 6    | Rayquaza / Yveltal                 |    2 |  33.33% |  50.00% |
| 6    | Necrozma-Dusk-Mane / Yveltal       |    2 |  33.33% |  50.00% |
| 6    | Weavile / Ditto                    |    2 |  33.33% |   0.00% |
| 6    | Ditto / Giratina                   |    2 |  33.33% |   0.00% |
| 6    | Smeargle / Ditto                   |    2 |  33.33% |   0.00% |
| 6    | Gengar / Ditto                     |    2 |  33.33% |   0.00% |
| 6    | Arceus-* / Necrozma-Dusk-Mane      |    2 |  33.33% |   0.00% |
| 6    | Arceus-* / Yveltal                 |    2 |  33.33% |   0.00% |
| 6    | Arceus-* / Marshadow               |    2 |  33.33% |   0.00% |
| 25   | Arceus-* / Mew                     |    1 |  16.67% | 100.00% |
| 25   | Necrozma-Dawn-Wings / Mew          |    1 |  16.67% | 100.00% |
| 25   | Rayquaza / Mew                     |    1 |  16.67% | 100.00% |
| 25   | Arceus-Fairy / Mew                 |    1 |  16.67% | 100.00% |
| 25   | Arceus-* / Necrozma-Dawn-Wings     |    1 |  16.67% | 100.00% |
| 25   | Rayquaza / Necrozma-Dawn-Wings     |    1 |  16.67% | 100.00% |
| 25   | Arceus-Fairy / Necrozma-Dawn-Wings |    1 |  16.67% | 100.00% |
| 25   | Stakataka                          |    1 |  16.67% | 100.00% |
| 25   | Chansey / Skarmory                 |    1 |  16.67% | 100.00% |
| 25   | Rayquaza / Chansey                 |    1 |  16.67% | 100.00% |
| 25   | Chansey / Tyranitar                |    1 |  16.67% | 100.00% |
| 25   | Arceus-Water / Chansey             |    1 |  16.67% | 100.00% |
| 25   | Rayquaza / Skarmory                |    1 |  16.67% | 100.00% |
| 25   | Tyranitar / Skarmory               |    1 |  16.67% | 100.00% |
| 25   | Arceus-Water / Skarmory            |    1 |  16.67% | 100.00% |
| 25   | Rayquaza / Tyranitar               |    1 |  16.67% | 100.00% |
| 25   | Arceus-Water / Rayquaza            |    1 |  16.67% | 100.00% |
| 25   | Arceus-Water / Tyranitar           |    1 |  16.67% | 100.00% |
| 25   | Rayquaza / Smeargle                |    1 |  16.67% | 100.00% |
| 25   | Kyogre / Smeargle                  |    1 |  16.67% | 100.00% |
| 25   | Necrozma-Dusk-Mane / Smeargle      |    1 |  16.67% | 100.00% |
| 25   | Smeargle / Yveltal                 |    1 |  16.67% | 100.00% |
