+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| -    | Arceus-*           |    8 | 133.33% |  37.50% |
| 1    | Rayquaza           |    5 |  83.33% |  60.00% |
| 2    | Arceus-Fairy       |    3 |  50.00% |  33.33% |
| 3    | Stakataka          |    2 |  33.33% | 100.00% |
| 3    | Groudon            |    2 |  33.33% |  50.00% |
| 3    | Smeargle           |    2 |  33.33% |  50.00% |
| 3    | Necrozma-Dusk-Mane |    2 |  33.33% |  50.00% |
| 3    | Yveltal            |    2 |  33.33% |  50.00% |
| 3    | Ditto              |    2 |  33.33% |   0.00% |
| 9    | Mew                |    1 |  16.67% | 100.00% |
| 9    | Necrozma-Dawn-Wings |    1 |  16.67% | 100.00% |
| 9    | Chansey            |    1 |  16.67% | 100.00% |
| 9    | Skarmory           |    1 |  16.67% | 100.00% |
| 9    | Tyranitar          |    1 |  16.67% | 100.00% |
| 9    | Arceus-Water       |    1 |  16.67% | 100.00% |
| 9    | Kyogre             |    1 |  16.67% | 100.00% |
| 9    | Deoxys-Speed       |    1 |  16.67% |   0.00% |
| 9    | Weavile            |    1 |  16.67% |   0.00% |
| 9    | Giratina           |    1 |  16.67% |   0.00% |
| 9    | Gengar             |    1 |  16.67% |   0.00% |
| 9    | Marshadow          |    1 |  16.67% |   0.00% |
