+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Gligar             |    2 | 100.00% |  50.00% |
| 2    | Abomasnow          |    1 |  50.00% | 100.00% |
| 2    | Glaceon            |    1 |  50.00% | 100.00% |
| 2    | Miltank            |    1 |  50.00% | 100.00% |
| 2    | Dusknoir           |    1 |  50.00% | 100.00% |
| 2    | Poliwrath          |    1 |  50.00% | 100.00% |
| 2    | Porygon2           |    1 |  50.00% |   0.00% |
| 2    | Leafeon            |    1 |  50.00% |   0.00% |
| 2    | Sneasel            |    1 |  50.00% |   0.00% |
| 2    | Regirock           |    1 |  50.00% |   0.00% |
| 2    | Lanturn            |    1 |  50.00% |   0.00% |
