+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Purugly            |    2 | 100.00% |  50.00% |
| 2    | Jolteon            |    1 |  50.00% | 100.00% |
| 2    | Lumineon           |    1 |  50.00% | 100.00% |
| 2    | Muk                |    1 |  50.00% | 100.00% |
| 2    | Probopass          |    1 |  50.00% | 100.00% |
| 2    | Altaria            |    1 |  50.00% | 100.00% |
| 2    | Roselia            |    1 |  50.00% |   0.00% |
| 2    | Dusclops           |    1 |  50.00% |   0.00% |
| 2    | Sandslash          |    1 |  50.00% |   0.00% |
| 2    | Lapras             |    1 |  50.00% |   0.00% |
| 2    | Monferno           |    1 |  50.00% |   0.00% |
