+ ---- + --------------------- + ---- + ------- + ------- +
| Rank | Combos of 2           | Use  | Usage % |  Win %  |
+ ---- + --------------------- + ---- + ------- + ------- +
| 1    | Nidoqueen / Vaporeon  |    2 | 100.00% |  50.00% |
| 2    | Cacturne / Registeel  |    1 |  50.00% | 100.00% |
| 2    | Cacturne / Xatu       |    1 |  50.00% | 100.00% |
| 2    | Cacturne / Nidoqueen  |    1 |  50.00% | 100.00% |
| 2    | Cacturne / Vaporeon   |    1 |  50.00% | 100.00% |
| 2    | Cacturne / Primeape   |    1 |  50.00% | 100.00% |
| 2    | Registeel / Xatu      |    1 |  50.00% | 100.00% |
| 2    | Registeel / Nidoqueen |    1 |  50.00% | 100.00% |
| 2    | Registeel / Vaporeon  |    1 |  50.00% | 100.00% |
| 2    | Registeel / Primeape  |    1 |  50.00% | 100.00% |
| 2    | Nidoqueen / Xatu      |    1 |  50.00% | 100.00% |
| 2    | Xatu / Vaporeon       |    1 |  50.00% | 100.00% |
| 2    | Xatu / Primeape       |    1 |  50.00% | 100.00% |
| 2    | Nidoqueen / Primeape  |    1 |  50.00% | 100.00% |
| 2    | Primeape / Vaporeon   |    1 |  50.00% | 100.00% |
| 2    | Sableye / Chansey     |    1 |  50.00% |   0.00% |
| 2    | Chansey / Granbull    |    1 |  50.00% |   0.00% |
| 2    | Nidoqueen / Chansey   |    1 |  50.00% |   0.00% |
| 2    | Vaporeon / Chansey    |    1 |  50.00% |   0.00% |
| 2    | Skuntank / Chansey    |    1 |  50.00% |   0.00% |
| 2    | Sableye / Granbull    |    1 |  50.00% |   0.00% |
| 2    | Nidoqueen / Sableye   |    1 |  50.00% |   0.00% |
| 2    | Sableye / Vaporeon    |    1 |  50.00% |   0.00% |
| 2    | Skuntank / Sableye    |    1 |  50.00% |   0.00% |
| 2    | Nidoqueen / Granbull  |    1 |  50.00% |   0.00% |
| 2    | Vaporeon / Granbull   |    1 |  50.00% |   0.00% |
| 2    | Skuntank / Granbull   |    1 |  50.00% |   0.00% |
| 2    | Nidoqueen / Skuntank  |    1 |  50.00% |   0.00% |
| 2    | Skuntank / Vaporeon   |    1 |  50.00% |   0.00% |

+ ---- + -------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                      | Use  | Usage % |  Win %  |
+ ---- + -------------------------------- + ---- + ------- + ------- +
| 1    | Cacturne / Xatu / Registeel      |    1 |  50.00% | 100.00% |
| 1    | Cacturne / Registeel / Nidoqueen |    1 |  50.00% | 100.00% |
| 1    | Cacturne / Registeel / Vaporeon  |    1 |  50.00% | 100.00% |
| 1    | Cacturne / Primeape / Registeel  |    1 |  50.00% | 100.00% |
| 1    | Cacturne / Xatu / Nidoqueen      |    1 |  50.00% | 100.00% |
| 1    | Cacturne / Xatu / Vaporeon       |    1 |  50.00% | 100.00% |
| 1    | Cacturne / Xatu / Primeape       |    1 |  50.00% | 100.00% |
| 1    | Cacturne / Vaporeon / Nidoqueen  |    1 |  50.00% | 100.00% |
| 1    | Cacturne / Primeape / Nidoqueen  |    1 |  50.00% | 100.00% |
| 1    | Cacturne / Primeape / Vaporeon   |    1 |  50.00% | 100.00% |
| 1    | Registeel / Xatu / Nidoqueen     |    1 |  50.00% | 100.00% |
