+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Combos of 2             | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Forretress / Rotom-Heat |    1 |  50.00% | 100.00% |
| 1    | Forretress / Crobat     |    1 |  50.00% | 100.00% |
| 1    | Forretress / Swampert   |    1 |  50.00% | 100.00% |
| 1    | Forretress / Snorlax    |    1 |  50.00% | 100.00% |
| 1    | Forretress / Shaymin    |    1 |  50.00% | 100.00% |
| 1    | Crobat / Rotom-Heat     |    1 |  50.00% | 100.00% |
| 1    | Rotom-Heat / Swampert   |    1 |  50.00% | 100.00% |
| 1    | Snorlax / Rotom-Heat    |    1 |  50.00% | 100.00% |
| 1    | Rotom-Heat / Shaymin    |    1 |  50.00% | 100.00% |
| 1    | Crobat / Swampert       |    1 |  50.00% | 100.00% |
| 1    | Crobat / Snorlax        |    1 |  50.00% | 100.00% |
| 1    | Crobat / Shaymin        |    1 |  50.00% | 100.00% |
| 1    | Snorlax / Swampert      |    1 |  50.00% | 100.00% |
| 1    | Swampert / Shaymin      |    1 |  50.00% | 100.00% |
| 1    | Snorlax / Shaymin       |    1 |  50.00% | 100.00% |
| 1    | Exploud / Empoleon      |    1 |  50.00% |   0.00% |
| 1    | Crobat / Exploud        |    1 |  50.00% |   0.00% |
| 1    | Exploud / Gastrodon     |    1 |  50.00% |   0.00% |
| 1    | Exploud / Machamp       |    1 |  50.00% |   0.00% |
| 1    | Flygon / Exploud        |    1 |  50.00% |   0.00% |
| 1    | Crobat / Empoleon       |    1 |  50.00% |   0.00% |
| 1    | Gastrodon / Empoleon    |    1 |  50.00% |   0.00% |
| 1    | Machamp / Empoleon      |    1 |  50.00% |   0.00% |
| 1    | Flygon / Empoleon       |    1 |  50.00% |   0.00% |
| 1    | Crobat / Gastrodon      |    1 |  50.00% |   0.00% |
| 1    | Crobat / Machamp        |    1 |  50.00% |   0.00% |
| 1    | Crobat / Flygon         |    1 |  50.00% |   0.00% |
| 1    | Machamp / Gastrodon     |    1 |  50.00% |   0.00% |
| 1    | Flygon / Gastrodon      |    1 |  50.00% |   0.00% |
| 1    | Flygon / Machamp        |    1 |  50.00% |   0.00% |

+ ---- + ---------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                        | Use  | Usage % |  Win %  |
+ ---- + ---------------------------------- + ---- + ------- + ------- +
| 1    | Forretress / Crobat / Rotom-Heat   |    1 |  50.00% | 100.00% |
| 1    | Forretress / Rotom-Heat / Swampert |    1 |  50.00% | 100.00% |
| 1    | Forretress / Snorlax / Rotom-Heat  |    1 |  50.00% | 100.00% |
| 1    | Forretress / Rotom-Heat / Shaymin  |    1 |  50.00% | 100.00% |
| 1    | Forretress / Crobat / Swampert     |    1 |  50.00% | 100.00% |
| 1    | Forretress / Crobat / Snorlax      |    1 |  50.00% | 100.00% |
| 1    | Forretress / Crobat / Shaymin      |    1 |  50.00% | 100.00% |
| 1    | Forretress / Snorlax / Swampert    |    1 |  50.00% | 100.00% |
| 1    | Forretress / Swampert / Shaymin    |    1 |  50.00% | 100.00% |
| 1    | Forretress / Snorlax / Shaymin     |    1 |  50.00% | 100.00% |
| 1    | Crobat / Rotom-Heat / Swampert     |    1 |  50.00% | 100.00% |
| 1    | Crobat / Rotom-Heat / Snorlax      |    1 |  50.00% | 100.00% |
| 1    | Crobat / Rotom-Heat / Shaymin      |    1 |  50.00% | 100.00% |
| 1    | Snorlax / Rotom-Heat / Swampert    |    1 |  50.00% | 100.00% |
| 1    | Rotom-Heat / Swampert / Shaymin    |    1 |  50.00% | 100.00% |
| 1    | Snorlax / Rotom-Heat / Shaymin     |    1 |  50.00% | 100.00% |
| 1    | Crobat / Swampert / Snorlax        |    1 |  50.00% | 100.00% |
| 1    | Crobat / Swampert / Shaymin        |    1 |  50.00% | 100.00% |
