+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Crobat             |    2 | 100.00% |  50.00% |
| 2    | Forretress         |    1 |  50.00% | 100.00% |
| 2    | Rotom-Heat         |    1 |  50.00% | 100.00% |
| 2    | Swampert           |    1 |  50.00% | 100.00% |
| 2    | Snorlax            |    1 |  50.00% | 100.00% |
| 2    | Shaymin            |    1 |  50.00% | 100.00% |
| 2    | Exploud            |    1 |  50.00% |   0.00% |
| 2    | Empoleon           |    1 |  50.00% |   0.00% |
| 2    | Gastrodon          |    1 |  50.00% |   0.00% |
| 2    | Machamp            |    1 |  50.00% |   0.00% |
| 2    | Flygon             |    1 |  50.00% |   0.00% |
