+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Nidoqueen          |    2 | 100.00% |  50.00% |
| 1    | Vaporeon           |    2 | 100.00% |  50.00% |
| 3    | Cacturne           |    1 |  50.00% | 100.00% |
| 3    | Registeel          |    1 |  50.00% | 100.00% |
| 3    | Xatu               |    1 |  50.00% | 100.00% |
| 3    | Primeape           |    1 |  50.00% | 100.00% |
| 3    | Chansey            |    1 |  50.00% |   0.00% |
| 3    | Sableye            |    1 |  50.00% |   0.00% |
| 3    | Granbull           |    1 |  50.00% |   0.00% |
| 3    | Skuntank           |    1 |  50.00% |   0.00% |
