+ ---- + --------------------- + ---- + ------- + ------- +
| Rank | Combos of 2           | Use  | Usage % |  Win %  |
+ ---- + --------------------- + ---- + ------- + ------- +
| 1    | Glaceon / Abomasnow   |    1 |  50.00% | 100.00% |
| 1    | Miltank / Abomasnow   |    1 |  50.00% | 100.00% |
| 1    | Abomasnow / Dusknoir  |    1 |  50.00% | 100.00% |
| 1    | Poliwrath / Abomasnow |    1 |  50.00% | 100.00% |
| 1    | Gligar / Abomasnow    |    1 |  50.00% | 100.00% |
| 1    | Glaceon / Miltank     |    1 |  50.00% | 100.00% |
| 1    | Glaceon / Dusknoir    |    1 |  50.00% | 100.00% |
| 1    | Glaceon / Poliwrath   |    1 |  50.00% | 100.00% |
| 1    | Glaceon / Gligar      |    1 |  50.00% | 100.00% |
| 1    | Miltank / Dusknoir    |    1 |  50.00% | 100.00% |
| 1    | Miltank / Poliwrath   |    1 |  50.00% | 100.00% |
| 1    | Miltank / Gligar      |    1 |  50.00% | 100.00% |
| 1    | Poliwrath / Dusknoir  |    1 |  50.00% | 100.00% |
| 1    | Gligar / Dusknoir     |    1 |  50.00% | 100.00% |
| 1    | Poliwrath / Gligar    |    1 |  50.00% | 100.00% |
| 1    | Porygon2 / Leafeon    |    1 |  50.00% |   0.00% |
| 1    | Porygon2 / Sneasel    |    1 |  50.00% |   0.00% |
| 1    | Porygon2 / Gligar     |    1 |  50.00% |   0.00% |
| 1    | Porygon2 / Regirock   |    1 |  50.00% |   0.00% |
| 1    | Porygon2 / Lanturn    |    1 |  50.00% |   0.00% |
| 1    | Sneasel / Leafeon     |    1 |  50.00% |   0.00% |
| 1    | Gligar / Leafeon      |    1 |  50.00% |   0.00% |
| 1    | Regirock / Leafeon    |    1 |  50.00% |   0.00% |
| 1    | Lanturn / Leafeon     |    1 |  50.00% |   0.00% |
| 1    | Gligar / Sneasel      |    1 |  50.00% |   0.00% |
| 1    | Regirock / Sneasel    |    1 |  50.00% |   0.00% |
| 1    | Sneasel / Lanturn     |    1 |  50.00% |   0.00% |
| 1    | Regirock / Gligar     |    1 |  50.00% |   0.00% |
| 1    | Gligar / Lanturn      |    1 |  50.00% |   0.00% |
| 1    | Regirock / Lanturn    |    1 |  50.00% |   0.00% |

+ ---- + -------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                      | Use  | Usage % |  Win %  |
+ ---- + -------------------------------- + ---- + ------- + ------- +
| 1    | Glaceon / Miltank / Abomasnow    |    1 |  50.00% | 100.00% |
| 1    | Glaceon / Abomasnow / Dusknoir   |    1 |  50.00% | 100.00% |
| 1    | Glaceon / Poliwrath / Abomasnow  |    1 |  50.00% | 100.00% |
| 1    | Glaceon / Gligar / Abomasnow     |    1 |  50.00% | 100.00% |
| 1    | Miltank / Abomasnow / Dusknoir   |    1 |  50.00% | 100.00% |
| 1    | Miltank / Poliwrath / Abomasnow  |    1 |  50.00% | 100.00% |
| 1    | Miltank / Gligar / Abomasnow     |    1 |  50.00% | 100.00% |
| 1    | Poliwrath / Abomasnow / Dusknoir |    1 |  50.00% | 100.00% |
| 1    | Gligar / Abomasnow / Dusknoir    |    1 |  50.00% | 100.00% |
| 1    | Poliwrath / Abomasnow / Gligar   |    1 |  50.00% | 100.00% |
| 1    | Glaceon / Miltank / Dusknoir     |    1 |  50.00% | 100.00% |
| 1    | Poliwrath / Glaceon / Miltank    |    1 |  50.00% | 100.00% |
| 1    | Glaceon / Miltank / Gligar       |    1 |  50.00% | 100.00% |
| 1    | Glaceon / Poliwrath / Dusknoir   |    1 |  50.00% | 100.00% |
| 1    | Glaceon / Gligar / Dusknoir      |    1 |  50.00% | 100.00% |
| 1    | Glaceon / Poliwrath / Gligar     |    1 |  50.00% | 100.00% |
| 1    | Miltank / Poliwrath / Dusknoir   |    1 |  50.00% | 100.00% |
| 1    | Miltank / Gligar / Dusknoir      |    1 |  50.00% | 100.00% |
| 1    | Miltank / Poliwrath / Gligar     |    1 |  50.00% | 100.00% |
| 1    | Poliwrath / Gligar / Dusknoir    |    1 |  50.00% | 100.00% |
| 1    | Porygon2 / Sneasel / Leafeon     |    1 |  50.00% |   0.00% |
| 1    | Porygon2 / Gligar / Leafeon      |    1 |  50.00% |   0.00% |
| 1    | Porygon2 / Regirock / Leafeon    |    1 |  50.00% |   0.00% |
| 1    | Porygon2 / Lanturn / Leafeon     |    1 |  50.00% |   0.00% |
| 1    | Porygon2 / Gligar / Sneasel      |    1 |  50.00% |   0.00% |
| 1    | Porygon2 / Regirock / Sneasel    |    1 |  50.00% |   0.00% |
