+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Scizor             |    2 | 100.00% |  50.00% |
| 2    | Abomasnow          |    1 |  50.00% | 100.00% |
| 2    | Dragonite          |    1 |  50.00% | 100.00% |
| 2    | Metagross          |    1 |  50.00% | 100.00% |
| 2    | Rotom-Wash         |    1 |  50.00% | 100.00% |
| 2    | Garchomp           |    1 |  50.00% | 100.00% |
| 2    | Latias             |    1 |  50.00% |   0.00% |
| 2    | Azumarill          |    1 |  50.00% |   0.00% |
| 2    | Magnezone          |    1 |  50.00% |   0.00% |
| 2    | Gliscor            |    1 |  50.00% |   0.00% |
| 2    | Infernape          |    1 |  50.00% |   0.00% |
