+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Dialga             |    2 | 100.00% |  50.00% |
| 1    | Kyogre             |    2 | 100.00% |  50.00% |
| 3    | Deoxys-Attack      |    1 |  50.00% | 100.00% |
| 3    | Forretress         |    1 |  50.00% | 100.00% |
| -    | Arceus-*           |    1 |  50.00% | 100.00% |
| 3    | Rayquaza           |    1 |  50.00% | 100.00% |
| 3    | Arceus-Ground      |    1 |  50.00% | 100.00% |
| 3    | Clefable           |    1 |  50.00% |   0.00% |
| 3    | Giratina-Origin    |    1 |  50.00% |   0.00% |
| 3    | Groudon            |    1 |  50.00% |   0.00% |
| 3    | Ho-Oh              |    1 |  50.00% |   0.00% |
