+ ---- + ---------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                  | Use  | Usage % |  Win %  |
+ ---- + ---------------------------- + ---- + ------- + ------- +
| 1    | Mimikyu / Garchomp           |    9 |  45.00% |  55.56% |
| 2    | Garchomp / Archaludon        |    8 |  40.00% |  62.50% |
| 2    | Garchomp / Delphox           |    8 |  40.00% |  25.00% |
| 4    | Gyarados / Garchomp          |    7 |  35.00% |  57.14% |
| 5    | Raichu / Garchomp            |    6 |  30.00% |  50.00% |
| 5    | Mimikyu / Archaludon         |    6 |  30.00% |  50.00% |
| 7    | Gyarados / Archaludon        |    5 |  25.00% |  80.00% |
| 7    | Raichu / Mimikyu             |    5 |  25.00% |  80.00% |
| 7    | Raichu / Primarina           |    5 |  25.00% |  60.00% |
| 7    | Meowscarada / Garchomp       |    5 |  25.00% |  60.00% |
| 7    | Corviknight / Garchomp       |    5 |  25.00% |  20.00% |
| 7    | Corviknight / Delphox        |    5 |  25.00% |  20.00% |
| 7    | Delphox / Primarina          |    5 |  25.00% |  20.00% |
| 7    | Delphox / Archaludon         |    5 |  25.00% |  20.00% |
| 15   | Floette-Eternal / Garchomp   |    3 |  15.00% |  66.67% |
| 15   | Floette-Eternal / Rotom-Wash |    3 |  15.00% |  66.67% |
| 15   | Mimikyu / Floette-Eternal    |    3 |  15.00% |  66.67% |
| 15   | Floette-Eternal / Archaludon |    3 |  15.00% |  66.67% |
| 15   | Gyarados / Floette-Eternal   |    3 |  15.00% |  66.67% |
| 15   | Rotom-Wash / Garchomp        |    3 |  15.00% |  66.67% |
| 15   | Mimikyu / Rotom-Wash         |    3 |  15.00% |  66.67% |
| 15   | Rotom-Wash / Archaludon      |    3 |  15.00% |  66.67% |
| 15   | Gyarados / Rotom-Wash        |    3 |  15.00% |  66.67% |
| 15   | Gyarados / Mimikyu           |    3 |  15.00% |  66.67% |
| 15   | Raichu / Charizard           |    3 |  15.00% |  66.67% |
| 15   | Raichu / Orthworm            |    3 |  15.00% |  66.67% |
| 15   | Samurott-Hisui / Raichu      |    3 |  15.00% |  66.67% |
| 15   | Orthworm / Charizard         |    3 |  15.00% |  66.67% |
| 15   | Mimikyu / Charizard          |    3 |  15.00% |  66.67% |
| 15   | Samurott-Hisui / Charizard   |    3 |  15.00% |  66.67% |
| 15   | Charizard / Garchomp         |    3 |  15.00% |  66.67% |
| 15   | Mimikyu / Orthworm           |    3 |  15.00% |  66.67% |
| 15   | Samurott-Hisui / Orthworm    |    3 |  15.00% |  66.67% |
| 15   | Orthworm / Garchomp          |    3 |  15.00% |  66.67% |
| 15   | Samurott-Hisui / Mimikyu     |    3 |  15.00% |  66.67% |
| 15   | Samurott-Hisui / Garchomp    |    3 |  15.00% |  66.67% |
| 15   | Corviknight / Raichu         |    3 |  15.00% |  33.33% |
| 15   | Meowscarada / Raichu         |    3 |  15.00% |  33.33% |
| 15   | Raichu / Delphox             |    3 |  15.00% |  33.33% |
| 15   | Corviknight / Primarina      |    3 |  15.00% |  33.33% |
| 15   | Corviknight / Meowscarada    |    3 |  15.00% |  33.33% |
| 15   | Garchomp / Primarina         |    3 |  15.00% |  33.33% |
| 15   | Meowscarada / Primarina      |    3 |  15.00% |  33.33% |
| 15   | Meowscarada / Delphox        |    3 |  15.00% |  33.33% |
| 15   | Sneasler / Delphox           |    3 |  15.00% |  33.33% |
| 15   | Mimikyu / Delphox            |    3 |  15.00% |  33.33% |
| 15   | Staraptor / Delphox          |    3 |  15.00% |  33.33% |
| 15   | Sneasler / Archaludon        |    3 |  15.00% |  33.33% |
| 15   | Sneasler / Garchomp          |    3 |  15.00% |  33.33% |
| 15   | Mimikyu / Sneasler           |    3 |  15.00% |  33.33% |
| 15   | Staraptor / Sneasler         |    3 |  15.00% |  33.33% |
| 15   | Staraptor / Archaludon       |    3 |  15.00% |  33.33% |
| 15   | Staraptor / Garchomp         |    3 |  15.00% |  33.33% |
| 15   | Mimikyu / Staraptor          |    3 |  15.00% |  33.33% |
| 55   | Mimikyu / Metagross          |    2 |  10.00% | 100.00% |
| 55   | Hippowdon / Metagross        |    2 |  10.00% | 100.00% |
| 55   | Raichu / Metagross           |    2 |  10.00% | 100.00% |
| 55   | Metagross / Primarina        |    2 |  10.00% | 100.00% |
| 55   | Hydreigon / Metagross        |    2 |  10.00% | 100.00% |
| 55   | Mimikyu / Hippowdon          |    2 |  10.00% | 100.00% |
| 55   | Mimikyu / Primarina          |    2 |  10.00% | 100.00% |
| 55   | Mimikyu / Hydreigon          |    2 |  10.00% | 100.00% |
| 55   | Raichu / Hippowdon           |    2 |  10.00% | 100.00% |
| 55   | Hippowdon / Primarina        |    2 |  10.00% | 100.00% |
| 55   | Hippowdon / Hydreigon        |    2 |  10.00% | 100.00% |
| 55   | Raichu / Hydreigon           |    2 |  10.00% | 100.00% |
| 55   | Hydreigon / Primarina        |    2 |  10.00% | 100.00% |
| 55   | Gyarados / Volcarona         |    2 |  10.00% | 100.00% |
| 55   | Gyarados / Meowscarada       |    2 |  10.00% | 100.00% |
| 55   | Gyarados / Milotic           |    2 |  10.00% | 100.00% |
| 55   | Volcarona / Garchomp         |    2 |  10.00% | 100.00% |
| 55   | Meowscarada / Volcarona      |    2 |  10.00% | 100.00% |
| 55   | Volcarona / Archaludon       |    2 |  10.00% | 100.00% |
| 55   | Milotic / Volcarona          |    2 |  10.00% | 100.00% |
| 55   | Milotic / Garchomp           |    2 |  10.00% | 100.00% |
| 55   | Meowscarada / Archaludon     |    2 |  10.00% | 100.00% |
| 55   | Meowscarada / Milotic        |    2 |  10.00% | 100.00% |
| 55   | Milotic / Archaludon         |    2 |  10.00% | 100.00% |
| 55   | Kingambit / Delphox          |    2 |  10.00% |   0.00% |
| 55   | Lopunny / Delphox            |    2 |  10.00% |   0.00% |
| 55   | Basculegion / Delphox        |    2 |  10.00% |   0.00% |
| 55   | Archaludon / Primarina       |    2 |  10.00% |   0.00% |
| 55   | Kingambit / Primarina        |    2 |  10.00% |   0.00% |
| 55   | Lopunny / Primarina          |    2 |  10.00% |   0.00% |
| 55   | Basculegion / Primarina      |    2 |  10.00% |   0.00% |
| 55   | Kingambit / Archaludon       |    2 |  10.00% |   0.00% |
| 55   | Lopunny / Archaludon         |    2 |  10.00% |   0.00% |
| 55   | Basculegion / Archaludon     |    2 |  10.00% |   0.00% |
| 55   | Lopunny / Kingambit          |    2 |  10.00% |   0.00% |
| 55   | Kingambit / Basculegion      |    2 |  10.00% |   0.00% |
| 55   | Lopunny / Basculegion        |    2 |  10.00% |   0.00% |
| 55   | Swampert / Mawile            |    2 |  10.00% |   0.00% |
| 55   | Corviknight / Mawile         |    2 |  10.00% |   0.00% |
| 55   | Gyarados / Mawile            |    2 |  10.00% |   0.00% |
| 55   | Mawile / Garchomp            |    2 |  10.00% |   0.00% |
| 55   | Mawile / Delphox             |    2 |  10.00% |   0.00% |
| 55   | Corviknight / Swampert       |    2 |  10.00% |   0.00% |
| 55   | Gyarados / Swampert          |    2 |  10.00% |   0.00% |
| 55   | Swampert / Garchomp          |    2 |  10.00% |   0.00% |
| 55   | Swampert / Delphox           |    2 |  10.00% |   0.00% |
| 55   | Corviknight / Gyarados       |    2 |  10.00% |   0.00% |
| 55   | Gyarados / Delphox           |    2 |  10.00% |   0.00% |

+ ---- + ----------------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                               | Use  | Usage % |  Win %  |
+ ---- + ----------------------------------------- + ---- + ------- + ------- +
| 1    | Mimikyu / Garchomp / Archaludon           |    6 |  30.00% |  50.00% |
| 2    | Gyarados / Garchomp / Archaludon          |    5 |  25.00% |  80.00% |
| 2    | Corviknight / Garchomp / Delphox          |    5 |  25.00% |  20.00% |
| 4    | Rotom-Wash / Floette-Eternal / Garchomp   |    3 |  15.00% |  66.67% |
| 4    | Mimikyu / Floette-Eternal / Garchomp      |    3 |  15.00% |  66.67% |
| 4    | Floette-Eternal / Garchomp / Archaludon   |    3 |  15.00% |  66.67% |
| 4    | Gyarados / Floette-Eternal / Garchomp     |    3 |  15.00% |  66.67% |
| 4    | Mimikyu / Floette-Eternal / Rotom-Wash    |    3 |  15.00% |  66.67% |
| 4    | Floette-Eternal / Rotom-Wash / Archaludon |    3 |  15.00% |  66.67% |
| 4    | Gyarados / Floette-Eternal / Rotom-Wash   |    3 |  15.00% |  66.67% |
| 4    | Mimikyu / Floette-Eternal / Archaludon    |    3 |  15.00% |  66.67% |
| 4    | Gyarados / Mimikyu / Floette-Eternal      |    3 |  15.00% |  66.67% |
| 4    | Gyarados / Floette-Eternal / Archaludon   |    3 |  15.00% |  66.67% |
