+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Garchomp           |   16 |  80.00% |  50.00% |
| 2    | Mimikyu            |   11 |  55.00% |  63.64% |
| 3    | Archaludon         |   10 |  50.00% |  50.00% |
| 3    | Delphox            |   10 |  50.00% |  20.00% |
| 5    | Raichu             |    8 |  40.00% |  62.50% |
| 6    | Gyarados           |    7 |  35.00% |  57.14% |
| 6    | Primarina          |    7 |  35.00% |  42.86% |
| 8    | Meowscarada        |    5 |  25.00% |  60.00% |
| 8    | Corviknight        |    5 |  25.00% |  20.00% |
| 10   | Floette-Eternal    |    3 |  15.00% |  66.67% |
| 10   | Rotom-Wash         |    3 |  15.00% |  66.67% |
| 10   | Charizard          |    3 |  15.00% |  66.67% |
| 10   | Orthworm           |    3 |  15.00% |  66.67% |
| 10   | Samurott-Hisui     |    3 |  15.00% |  66.67% |
| 10   | Sneasler           |    3 |  15.00% |  33.33% |
| 10   | Staraptor          |    3 |  15.00% |  33.33% |
| 17   | Metagross          |    2 |  10.00% | 100.00% |
| 17   | Hippowdon          |    2 |  10.00% | 100.00% |
| 17   | Hydreigon          |    2 |  10.00% | 100.00% |
| 17   | Volcarona          |    2 |  10.00% | 100.00% |
| 17   | Milotic            |    2 |  10.00% | 100.00% |
| 17   | Kingambit          |    2 |  10.00% |   0.00% |
| 17   | Lopunny            |    2 |  10.00% |   0.00% |
| 17   | Basculegion        |    2 |  10.00% |   0.00% |
| 17   | Mawile             |    2 |  10.00% |   0.00% |
| 17   | Swampert           |    2 |  10.00% |   0.00% |
