+ ---- + ------------------------------------ + ---- + ------- + ------- +
| Rank | Combos of 2                          | Use  | Usage % |  Win %  |
+ ---- + ------------------------------------ + ---- + ------- + ------- +
| 1    | Corviknight / Samurott-Hisui         |   15 |  62.50% |  66.67% |
| 2    | Samurott-Hisui / Garchomp            |   13 |  54.17% |  61.54% |
| 3    | Corviknight / Garchomp               |   12 |  50.00% |  75.00% |
| 4    | Corviknight / Slowking-Galar         |   11 |  45.83% |  63.64% |
| 4    | Samurott-Hisui / Slowking-Galar      |   11 |  45.83% |  54.55% |
| 6    | Garchomp / Slowking-Galar            |    9 |  37.50% |  77.78% |
| 7    | Corviknight / Hippowdon              |    6 |  25.00% |  33.33% |
| 8    | Samurott-Hisui / Hippowdon           |    5 |  20.83% |  40.00% |
| 9    | Samurott-Hisui / Hatterene           |    4 |  16.67% |   0.00% |
| 10   | Corviknight / Floette-Eternal        |    3 |  12.50% | 100.00% |
| 10   | Samurott-Hisui / Floette-Eternal     |    3 |  12.50% | 100.00% |
| 10   | Floette-Eternal / Garchomp           |    3 |  12.50% | 100.00% |
| 10   | Corviknight / Dragapult              |    3 |  12.50% |  66.67% |
| 10   | Samurott-Hisui / Dragapult           |    3 |  12.50% |  66.67% |
| 10   | Samurott-Hisui / Rotom-Wash          |    3 |  12.50% |  33.33% |
| 10   | Garchomp / Rotom-Wash                |    3 |  12.50% |  33.33% |
| 10   | Excadrill / Samurott-Hisui           |    3 |  12.50% |  33.33% |
| 10   | Corviknight / Clefable               |    3 |  12.50% |  33.33% |
| 10   | Corviknight / Mawile                 |    3 |  12.50% |  33.33% |
| 10   | Samurott-Hisui / Mawile              |    3 |  12.50% |  33.33% |
| 10   | Corviknight / Hatterene              |    3 |  12.50% |   0.00% |
| 10   | Hatterene / Slowking-Galar           |    3 |  12.50% |   0.00% |
| 10   | Hippowdon / Slowking-Galar           |    3 |  12.50% |   0.00% |
| 24   | Corviknight / Skeledirge             |    2 |   8.33% | 100.00% |
| 24   | Samurott-Hisui / Skeledirge          |    2 |   8.33% | 100.00% |
| 24   | Floette-Eternal / Slowking-Galar     |    2 |   8.33% | 100.00% |
| 24   | Raichu / Garchomp                    |    2 |   8.33% | 100.00% |
| 24   | Samurott-Hisui / Raichu              |    2 |   8.33% | 100.00% |
| 24   | Corviknight / Raichu                 |    2 |   8.33% | 100.00% |
| 24   | Raichu / Slowking-Galar              |    2 |   8.33% | 100.00% |
| 24   | Samurott-Hisui / Dragalge            |    2 |   8.33% | 100.00% |
| 24   | Corviknight / Dragalge               |    2 |   8.33% | 100.00% |
| 24   | Dragalge / Hippowdon                 |    2 |   8.33% | 100.00% |
| 24   | Dragapult / Garchomp                 |    2 |   8.33% | 100.00% |
| 24   | Samurott-Hisui / Ceruledge           |    2 |   8.33% |  50.00% |
| 24   | Garchomp / Ceruledge                 |    2 |   8.33% |  50.00% |
| 24   | Corviknight / Lopunny                |    2 |   8.33% |  50.00% |
| 24   | Samurott-Hisui / Lopunny             |    2 |   8.33% |  50.00% |
| 24   | Lopunny / Garchomp                   |    2 |   8.33% |  50.00% |
| 24   | Lopunny / Slowking-Galar             |    2 |   8.33% |  50.00% |
| 24   | Meganium / Slowking-Galar            |    2 |   8.33% |  50.00% |
| 24   | Rotom-Wash / Slowking-Galar          |    2 |   8.33% |  50.00% |
| 24   | Samurott-Hisui / Meganium            |    2 |   8.33% |  50.00% |
| 24   | Garchomp / Meganium                  |    2 |   8.33% |  50.00% |
| 24   | Pelipper / Archaludon                |    2 |   8.33% |  50.00% |
| 24   | Pelipper / Scizor                    |    2 |   8.33% |  50.00% |
| 24   | Scizor / Archaludon                  |    2 |   8.33% |  50.00% |
| 24   | Clefable / Garchomp                  |    2 |   8.33% |  50.00% |
| 24   | Excadrill / Corviknight              |    2 |   8.33% |  50.00% |
| 24   | Excadrill / Hippowdon                |    2 |   8.33% |  50.00% |
| 24   | Garchomp / Metagross                 |    2 |   8.33% |  50.00% |
| 24   | Dragapult / Mawile                   |    2 |   8.33% |  50.00% |
| 24   | Dragapult / Slowking-Galar           |    2 |   8.33% |  50.00% |
| 24   | Meowscarada / Corviknight            |    2 |   8.33% |  50.00% |
| 24   | Kingambit / Glimmora                 |    2 |   8.33% |   0.00% |
| 24   | Hatterene / Garchomp                 |    2 |   8.33% |   0.00% |
| 24   | Hippowdon / Mawile                   |    2 |   8.33% |   0.00% |
| 24   | Hatterene / Hippowdon                |    2 |   8.33% |   0.00% |
| 24   | Mawile / Slowking-Galar              |    2 |   8.33% |   0.00% |
| 24   | Annihilape / Dragonite               |    2 |   8.33% |   0.00% |
| 24   | Dragonite / Garchomp                 |    2 |   8.33% |   0.00% |
| 24   | Samurott-Hisui / Dragonite           |    2 |   8.33% |   0.00% |
| 24   | Corviknight / Delphox                |    2 |   8.33% |   0.00% |
| 24   | Hippowdon / Delphox                  |    2 |   8.33% |   0.00% |
| 65   | Skeledirge / Floette-Eternal         |    1 |   4.17% | 100.00% |
| 65   | Sneasler / Floette-Eternal           |    1 |   4.17% | 100.00% |
| 65   | Corviknight / Sneasler               |    1 |   4.17% | 100.00% |
| 65   | Samurott-Hisui / Sneasler            |    1 |   4.17% | 100.00% |
| 65   | Skeledirge / Garchomp                |    1 |   4.17% | 100.00% |
| 65   | Sneasler / Skeledirge                |    1 |   4.17% | 100.00% |
| 65   | Sneasler / Garchomp                  |    1 |   4.17% | 100.00% |
| 65   | Lopunny / Vanilluxe                  |    1 |   4.17% | 100.00% |
| 65   | Corviknight / Vanilluxe              |    1 |   4.17% | 100.00% |
| 65   | Samurott-Hisui / Vanilluxe           |    1 |   4.17% | 100.00% |
| 65   | Garchomp / Vanilluxe                 |    1 |   4.17% | 100.00% |
| 65   | Slowking-Galar / Vanilluxe           |    1 |   4.17% | 100.00% |
| 65   | Pelipper / Swampert                  |    1 |   4.17% | 100.00% |
| 65   | Swampert / Archaludon                |    1 |   4.17% | 100.00% |
| 65   | Swampert / Scizor                    |    1 |   4.17% | 100.00% |
| 65   | Swampert / Rotom-Wash                |    1 |   4.17% | 100.00% |
| 65   | Overqwil / Swampert                  |    1 |   4.17% | 100.00% |
| 65   | Pelipper / Rotom-Wash                |    1 |   4.17% | 100.00% |
| 65   | Pelipper / Overqwil                  |    1 |   4.17% | 100.00% |
| 65   | Rotom-Wash / Archaludon              |    1 |   4.17% | 100.00% |
| 65   | Overqwil / Archaludon                |    1 |   4.17% | 100.00% |
| 65   | Rotom-Wash / Scizor                  |    1 |   4.17% | 100.00% |
| 65   | Overqwil / Scizor                    |    1 |   4.17% | 100.00% |
| 65   | Overqwil / Rotom-Wash                |    1 |   4.17% | 100.00% |
| 65   | Corviknight / Meganium               |    1 |   4.17% | 100.00% |
| 65   | Corviknight / Ceruledge              |    1 |   4.17% | 100.00% |
| 65   | Ceruledge / Meganium                 |    1 |   4.17% | 100.00% |
| 65   | Ceruledge / Slowking-Galar           |    1 |   4.17% | 100.00% |
| 65   | Tauros-Paldea-Aqua / Floette-Eternal |    1 |   4.17% | 100.00% |
| 65   | Tauros-Paldea-Aqua / Garchomp        |    1 |   4.17% | 100.00% |
| 65   | Samurott-Hisui / Tauros-Paldea-Aqua  |    1 |   4.17% | 100.00% |
| 65   | Corviknight / Tauros-Paldea-Aqua     |    1 |   4.17% | 100.00% |
| 65   | Tauros-Paldea-Aqua / Slowking-Galar  |    1 |   4.17% | 100.00% |
| 65   | Raichu / Clefable                    |    1 |   4.17% | 100.00% |
| 65   | Samurott-Hisui / Clefable            |    1 |   4.17% | 100.00% |
| 65   | Clefable / Slowking-Galar            |    1 |   4.17% | 100.00% |
| 65   | Excadrill / Dragalge                 |    1 |   4.17% | 100.00% |
| 65   | Dragalge / Houndstone                |    1 |   4.17% | 100.00% |
| 65   | Excadrill / Houndstone               |    1 |   4.17% | 100.00% |
| 65   | Samurott-Hisui / Houndstone          |    1 |   4.17% | 100.00% |
| 65   | Corviknight / Houndstone             |    1 |   4.17% | 100.00% |
| 65   | Houndstone / Hippowdon               |    1 |   4.17% | 100.00% |
| 65   | Mawile / Garchomp                    |    1 |   4.17% | 100.00% |
| 65   | Slowbro / Garchomp                   |    1 |   4.17% | 100.00% |
| 65   | Slowbro / Mawile                     |    1 |   4.17% | 100.00% |
| 65   | Slowbro / Dragapult                  |    1 |   4.17% | 100.00% |
| 65   | Corviknight / Slowbro                |    1 |   4.17% | 100.00% |
| 65   | Samurott-Hisui / Slowbro             |    1 |   4.17% | 100.00% |
| 65   | Raichu / Dragapult                   |    1 |   4.17% | 100.00% |
| 65   | Meowscarada / Metagross              |    1 |   4.17% | 100.00% |
| 65   | Corviknight / Metagross              |    1 |   4.17% | 100.00% |
| 65   | Metagross / Slowking-Galar           |    1 |   4.17% | 100.00% |
| 65   | Metagross / Primarina                |    1 |   4.17% | 100.00% |
| 65   | Meowscarada / Garchomp               |    1 |   4.17% | 100.00% |
| 65   | Meowscarada / Slowking-Galar         |    1 |   4.17% | 100.00% |
| 65   | Meowscarada / Primarina              |    1 |   4.17% | 100.00% |
| 65   | Garchomp / Primarina                 |    1 |   4.17% | 100.00% |
| 65   | Corviknight / Primarina              |    1 |   4.17% | 100.00% |
| 65   | Primarina / Slowking-Galar           |    1 |   4.17% | 100.00% |
| 65   | Dragalge / Skeledirge                |    1 |   4.17% | 100.00% |
| 65   | Dragalge / Hydreigon                 |    1 |   4.17% | 100.00% |
| 65   | Skeledirge / Hippowdon               |    1 |   4.17% | 100.00% |
| 65   | Hippowdon / Hydreigon                |    1 |   4.17% | 100.00% |
| 65   | Corviknight / Hydreigon              |    1 |   4.17% | 100.00% |
| 65   | Skeledirge / Hydreigon               |    1 |   4.17% | 100.00% |
| 65   | Samurott-Hisui / Hydreigon           |    1 |   4.17% | 100.00% |
| 65   | Floette-Eternal / Rotom-Wash         |    1 |   4.17% | 100.00% |
| 65   | Corviknight / Rotom-Wash             |    1 |   4.17% | 100.00% |
| 65   | Glimmora / Ceruledge                 |    1 |   4.17% |   0.00% |
| 65   | Rotom-Wash / Glimmora                |    1 |   4.17% |   0.00% |
| 65   | Samurott-Hisui / Glimmora            |    1 |   4.17% |   0.00% |
| 65   | Garchomp / Glimmora                  |    1 |   4.17% |   0.00% |
| 65   | Rotom-Wash / Ceruledge               |    1 |   4.17% |   0.00% |
| 65   | Kingambit / Ceruledge                |    1 |   4.17% |   0.00% |
| 65   | Kingambit / Rotom-Wash               |    1 |   4.17% |   0.00% |
| 65   | Samurott-Hisui / Kingambit           |    1 |   4.17% |   0.00% |
| 65   | Kingambit / Garchomp                 |    1 |   4.17% |   0.00% |
| 65   | Excadrill / Slowking-Galar           |    1 |   4.17% |   0.00% |
| 65   | Rotom-Wash / Meganium                |    1 |   4.17% |   0.00% |
| 65   | Excadrill / Meganium                 |    1 |   4.17% |   0.00% |
| 65   | Excadrill / Rotom-Wash               |    1 |   4.17% |   0.00% |
| 65   | Excadrill / Garchomp                 |    1 |   4.17% |   0.00% |
| 65   | Hatterene / Lopunny                  |    1 |   4.17% |   0.00% |
| 65   | Corviknight / Sableye                |    1 |   4.17% |   0.00% |
| 65   | Clefable / Sableye                   |    1 |   4.17% |   0.00% |
| 65   | Garchomp / Sableye                   |    1 |   4.17% |   0.00% |
| 65   | Chesnaught / Sableye                 |    1 |   4.17% |   0.00% |
| 65   | Volcarona / Sableye                  |    1 |   4.17% |   0.00% |
| 65   | Corviknight / Chesnaught             |    1 |   4.17% |   0.00% |
| 65   | Corviknight / Volcarona              |    1 |   4.17% |   0.00% |
| 65   | Clefable / Chesnaught                |    1 |   4.17% |   0.00% |
| 65   | Volcarona / Clefable                 |    1 |   4.17% |   0.00% |
| 65   | Chesnaught / Garchomp                |    1 |   4.17% |   0.00% |
| 65   | Volcarona / Garchomp                 |    1 |   4.17% |   0.00% |
| 65   | Volcarona / Chesnaught               |    1 |   4.17% |   0.00% |
| 65   | Hatterene / Mawile                   |    1 |   4.17% |   0.00% |
| 65   | Annihilape / Glimmora                |    1 |   4.17% |   0.00% |
| 65   | Annihilape / Araquanid               |    1 |   4.17% |   0.00% |
| 65   | Raichu / Annihilape                  |    1 |   4.17% |   0.00% |
| 65   | Annihilape / Kingambit               |    1 |   4.17% |   0.00% |
| 65   | Glimmora / Araquanid                 |    1 |   4.17% |   0.00% |
| 65   | Raichu / Glimmora                    |    1 |   4.17% |   0.00% |
| 65   | Dragonite / Glimmora                 |    1 |   4.17% |   0.00% |
| 65   | Raichu / Araquanid                   |    1 |   4.17% |   0.00% |
| 65   | Kingambit / Araquanid                |    1 |   4.17% |   0.00% |
| 65   | Dragonite / Araquanid                |    1 |   4.17% |   0.00% |
| 65   | Raichu / Kingambit                   |    1 |   4.17% |   0.00% |
| 65   | Raichu / Dragonite                   |    1 |   4.17% |   0.00% |
| 65   | Dragonite / Kingambit                |    1 |   4.17% |   0.00% |
| 65   | Annihilape / Garchomp                |    1 |   4.17% |   0.00% |
| 65   | Samurott-Hisui / Annihilape          |    1 |   4.17% |   0.00% |
| 65   | Annihilape / Hatterene               |    1 |   4.17% |   0.00% |
| 65   | Annihilape / Metagross               |    1 |   4.17% |   0.00% |
| 65   | Samurott-Hisui / Metagross           |    1 |   4.17% |   0.00% |
| 65   | Dragonite / Hatterene                |    1 |   4.17% |   0.00% |
| 65   | Dragonite / Metagross                |    1 |   4.17% |   0.00% |
| 65   | Hatterene / Metagross                |    1 |   4.17% |   0.00% |
| 65   | Delphox / Slowking-Galar             |    1 |   4.17% |   0.00% |
| 65   | Samurott-Hisui / Delphox             |    1 |   4.17% |   0.00% |
| 65   | Hatterene / Delphox                  |    1 |   4.17% |   0.00% |
| 65   | Samurott-Hisui / Scizor              |    1 |   4.17% |   0.00% |
| 65   | Excadrill / Scizor                   |    1 |   4.17% |   0.00% |
| 65   | Scizor / Basculegion                 |    1 |   4.17% |   0.00% |
| 65   | Samurott-Hisui / Pelipper            |    1 |   4.17% |   0.00% |
| 65   | Samurott-Hisui / Archaludon          |    1 |   4.17% |   0.00% |
| 65   | Samurott-Hisui / Basculegion         |    1 |   4.17% |   0.00% |
| 65   | Excadrill / Pelipper                 |    1 |   4.17% |   0.00% |
| 65   | Pelipper / Basculegion               |    1 |   4.17% |   0.00% |
| 65   | Excadrill / Archaludon               |    1 |   4.17% |   0.00% |
| 65   | Excadrill / Basculegion              |    1 |   4.17% |   0.00% |
| 65   | Basculegion / Archaludon             |    1 |   4.17% |   0.00% |
| 65   | Hippowdon / Dragapult                |    1 |   4.17% |   0.00% |
| 65   | Clefable / Hippowdon                 |    1 |   4.17% |   0.00% |
| 65   | Meowscarada / Hippowdon              |    1 |   4.17% |   0.00% |
| 65   | Excadrill / Delphox                  |    1 |   4.17% |   0.00% |
| 65   | Excadrill / Clefable                 |    1 |   4.17% |   0.00% |
| 65   | Excadrill / Meowscarada              |    1 |   4.17% |   0.00% |
| 65   | Clefable / Delphox                   |    1 |   4.17% |   0.00% |
| 65   | Meowscarada / Delphox                |    1 |   4.17% |   0.00% |
| 65   | Meowscarada / Clefable               |    1 |   4.17% |   0.00% |
| 65   | Dragonite / Azumarill                |    1 |   4.17% |   0.00% |
| 65   | Corviknight / Dragonite              |    1 |   4.17% |   0.00% |
| 65   | Dragonite / Tinkaton                 |    1 |   4.17% |   0.00% |
| 65   | Corviknight / Azumarill              |    1 |   4.17% |   0.00% |
| 65   | Samurott-Hisui / Azumarill           |    1 |   4.17% |   0.00% |
| 65   | Garchomp / Azumarill                 |    1 |   4.17% |   0.00% |
| 65   | Tinkaton / Azumarill                 |    1 |   4.17% |   0.00% |
| 65   | Corviknight / Tinkaton               |    1 |   4.17% |   0.00% |
| 65   | Samurott-Hisui / Tinkaton            |    1 |   4.17% |   0.00% |
| 65   | Tinkaton / Garchomp                  |    1 |   4.17% |   0.00% |

+ ---- + ----------------------------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                                           | Use  | Usage % |  Win %  |
+ ---- + ----------------------------------------------------- + ---- + ------- + ------- +
| 1    | Corviknight / Samurott-Hisui / Garchomp               |   10 |  41.67% |  80.00% |
| 1    | Corviknight / Samurott-Hisui / Slowking-Galar         |   10 |  41.67% |  60.00% |
