+ ---- + ---------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                        | Use  | Usage % |  Win %  |
+ ---- + ---------------------------------- + ---- + ------- + ------- +
| 1    | Gliscor / Forretress               |    2 |  25.00% | 100.00% |
| 1    | Gliscor / Greninja                 |    2 |  25.00% | 100.00% |
| 1    | Gliscor / Floette-Eternal          |    2 |  25.00% |  50.00% |
| 1    | Gliscor / Tinkaton                 |    2 |  25.00% |  50.00% |
| 1    | Starmie / Tinkaton                 |    2 |  25.00% |   0.00% |
| 1    | Tinkaton / Krookodile              |    2 |  25.00% |   0.00% |
| 1    | Starmie / Krookodile               |    2 |  25.00% |   0.00% |
| 8    | Gyarados / Sylveon                 |    1 |  12.50% | 100.00% |
| 8    | Gyarados / Arcanine-Hisui          |    1 |  12.50% | 100.00% |
| 8    | Gyarados / Gallade                 |    1 |  12.50% | 100.00% |
| 8    | Gyarados / Forretress              |    1 |  12.50% | 100.00% |
| 8    | Gyarados / Gliscor                 |    1 |  12.50% | 100.00% |
| 8    | Sylveon / Arcanine-Hisui           |    1 |  12.50% | 100.00% |
| 8    | Sylveon / Gallade                  |    1 |  12.50% | 100.00% |
| 8    | Sylveon / Forretress               |    1 |  12.50% | 100.00% |
| 8    | Gliscor / Sylveon                  |    1 |  12.50% | 100.00% |
| 8    | Arcanine-Hisui / Gallade           |    1 |  12.50% | 100.00% |
| 8    | Forretress / Arcanine-Hisui        |    1 |  12.50% | 100.00% |
| 8    | Gliscor / Arcanine-Hisui           |    1 |  12.50% | 100.00% |
| 8    | Forretress / Gallade               |    1 |  12.50% | 100.00% |
| 8    | Gliscor / Gallade                  |    1 |  12.50% | 100.00% |
| 8    | Gliscor / Vaporeon                 |    1 |  12.50% | 100.00% |
| 8    | Gliscor / Decidueye-Hisui          |    1 |  12.50% | 100.00% |
| 8    | Gliscor / Gardevoir                |    1 |  12.50% | 100.00% |
| 8    | Vaporeon / Greninja                |    1 |  12.50% | 100.00% |
| 8    | Vaporeon / Decidueye-Hisui         |    1 |  12.50% | 100.00% |
| 8    | Vaporeon / Gardevoir               |    1 |  12.50% | 100.00% |
| 8    | Vaporeon / Tinkaton                |    1 |  12.50% | 100.00% |
| 8    | Greninja / Decidueye-Hisui         |    1 |  12.50% | 100.00% |
| 8    | Greninja / Gardevoir               |    1 |  12.50% | 100.00% |
| 8    | Greninja / Tinkaton                |    1 |  12.50% | 100.00% |
| 8    | Decidueye-Hisui / Gardevoir        |    1 |  12.50% | 100.00% |
| 8    | Decidueye-Hisui / Tinkaton         |    1 |  12.50% | 100.00% |
| 8    | Gardevoir / Tinkaton               |    1 |  12.50% | 100.00% |
| 8    | Venusaur / Noivern                 |    1 |  12.50% | 100.00% |
| 8    | Venusaur / Gallade                 |    1 |  12.50% | 100.00% |
| 8    | Rhyperior / Venusaur               |    1 |  12.50% | 100.00% |
| 8    | Empoleon / Venusaur                |    1 |  12.50% | 100.00% |
| 8    | Venusaur / Weavile                 |    1 |  12.50% | 100.00% |
| 8    | Gallade / Noivern                  |    1 |  12.50% | 100.00% |
| 8    | Rhyperior / Noivern                |    1 |  12.50% | 100.00% |
| 8    | Empoleon / Noivern                 |    1 |  12.50% | 100.00% |
| 8    | Weavile / Noivern                  |    1 |  12.50% | 100.00% |
| 8    | Rhyperior / Gallade                |    1 |  12.50% | 100.00% |
| 8    | Empoleon / Gallade                 |    1 |  12.50% | 100.00% |
| 8    | Weavile / Gallade                  |    1 |  12.50% | 100.00% |
| 8    | Empoleon / Rhyperior               |    1 |  12.50% | 100.00% |
| 8    | Rhyperior / Weavile                |    1 |  12.50% | 100.00% |
| 8    | Empoleon / Weavile                 |    1 |  12.50% | 100.00% |
| 8    | Greninja / Floette-Eternal         |    1 |  12.50% | 100.00% |
| 8    | Floette-Eternal / Rotom-Heat       |    1 |  12.50% | 100.00% |
| 8    | Floette-Eternal / Forretress       |    1 |  12.50% | 100.00% |
| 8    | Kommo-o / Floette-Eternal          |    1 |  12.50% | 100.00% |
| 8    | Greninja / Rotom-Heat              |    1 |  12.50% | 100.00% |
| 8    | Greninja / Forretress              |    1 |  12.50% | 100.00% |
| 8    | Greninja / Kommo-o                 |    1 |  12.50% | 100.00% |
| 8    | Gliscor / Rotom-Heat               |    1 |  12.50% | 100.00% |
| 8    | Forretress / Rotom-Heat            |    1 |  12.50% | 100.00% |
| 8    | Kommo-o / Rotom-Heat               |    1 |  12.50% | 100.00% |
| 8    | Gliscor / Kommo-o                  |    1 |  12.50% | 100.00% |
| 8    | Kommo-o / Forretress               |    1 |  12.50% | 100.00% |
| 8    | Floette-Eternal / Tyranitar        |    1 |  12.50% |   0.00% |
| 8    | Skarmory / Tyranitar               |    1 |  12.50% |   0.00% |
| 8    | Eelektross / Tyranitar             |    1 |  12.50% |   0.00% |
| 8    | Slowbro / Tyranitar                |    1 |  12.50% |   0.00% |
| 8    | Gliscor / Tyranitar                |    1 |  12.50% |   0.00% |
| 8    | Skarmory / Floette-Eternal         |    1 |  12.50% |   0.00% |
| 8    | Eelektross / Floette-Eternal       |    1 |  12.50% |   0.00% |
| 8    | Slowbro / Floette-Eternal          |    1 |  12.50% |   0.00% |
| 8    | Skarmory / Eelektross              |    1 |  12.50% |   0.00% |
| 8    | Skarmory / Slowbro                 |    1 |  12.50% |   0.00% |
| 8    | Skarmory / Gliscor                 |    1 |  12.50% |   0.00% |
| 8    | Slowbro / Eelektross               |    1 |  12.50% |   0.00% |
| 8    | Gliscor / Eelektross               |    1 |  12.50% |   0.00% |
| 8    | Gliscor / Slowbro                  |    1 |  12.50% |   0.00% |
| 8    | Alakazam / Slurpuff                |    1 |  12.50% |   0.00% |
| 8    | Alakazam / Heracross               |    1 |  12.50% |   0.00% |
| 8    | Alakazam / Sinistcha-Masterpiece   |    1 |  12.50% |   0.00% |
| 8    | Alakazam / Empoleon                |    1 |  12.50% |   0.00% |
| 8    | Alakazam / Incineroar              |    1 |  12.50% |   0.00% |
| 8    | Slurpuff / Heracross               |    1 |  12.50% |   0.00% |
| 8    | Slurpuff / Sinistcha-Masterpiece   |    1 |  12.50% |   0.00% |
| 8    | Empoleon / Slurpuff                |    1 |  12.50% |   0.00% |
