+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Gliscor            |    5 |  62.50% |  60.00% |
| 2    | Tinkaton           |    3 |  37.50% |  33.33% |
| 3    | Gallade            |    2 |  25.00% | 100.00% |
| 3    | Forretress         |    2 |  25.00% | 100.00% |
| 3    | Greninja           |    2 |  25.00% | 100.00% |
| 3    | Floette-Eternal    |    2 |  25.00% |  50.00% |
| 3    | Gyarados           |    2 |  25.00% |  50.00% |
| 3    | Empoleon           |    2 |  25.00% |  50.00% |
| 3    | Sinistcha-Masterpiece |    2 |  25.00% |   0.00% |
| 3    | Starmie            |    2 |  25.00% |   0.00% |
| 3    | Krookodile         |    2 |  25.00% |   0.00% |
| 12   | Sylveon            |    1 |  12.50% | 100.00% |
| 12   | Arcanine-Hisui     |    1 |  12.50% | 100.00% |
| 12   | Vaporeon           |    1 |  12.50% | 100.00% |
| 12   | Decidueye-Hisui    |    1 |  12.50% | 100.00% |
| 12   | Gardevoir          |    1 |  12.50% | 100.00% |
| 12   | Venusaur           |    1 |  12.50% | 100.00% |
| 12   | Noivern            |    1 |  12.50% | 100.00% |
| 12   | Rhyperior          |    1 |  12.50% | 100.00% |
| 12   | Weavile            |    1 |  12.50% | 100.00% |
| 12   | Rotom-Heat         |    1 |  12.50% | 100.00% |
| 12   | Kommo-o            |    1 |  12.50% | 100.00% |
| 12   | Tyranitar          |    1 |  12.50% |   0.00% |
| 12   | Skarmory           |    1 |  12.50% |   0.00% |
| 12   | Eelektross         |    1 |  12.50% |   0.00% |
| 12   | Slowbro            |    1 |  12.50% |   0.00% |
| 12   | Alakazam           |    1 |  12.50% |   0.00% |
| 12   | Slurpuff           |    1 |  12.50% |   0.00% |
| 12   | Heracross          |    1 |  12.50% |   0.00% |
| 12   | Incineroar         |    1 |  12.50% |   0.00% |
| 12   | Gengar             |    1 |  12.50% |   0.00% |
| 12   | Lucario            |    1 |  12.50% |   0.00% |
| 12   | Feraligatr         |    1 |  12.50% |   0.00% |
