+ ---- + ----------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------------- + ---- + ------- + ------- +
| 1    | Charizard / Garchomp          |   13 |  38.24% |  53.85% |
| 2    | Incineroar / Garchomp         |   10 |  29.41% |  50.00% |
| 2    | Sneasler / Incineroar         |   10 |  29.41% |  50.00% |
| 4    | Floette-Eternal / Whimsicott  |    9 |  26.47% |  66.67% |
| 4    | Garchomp / Whimsicott         |    9 |  26.47% |  66.67% |
| 4    | Basculegion / Whimsicott      |    9 |  26.47% |  66.67% |
| 4    | Floette-Eternal / Garchomp    |    9 |  26.47% |  66.67% |
| 4    | Floette-Eternal / Basculegion |    9 |  26.47% |  66.67% |
| 4    | Garchomp / Basculegion        |    9 |  26.47% |  66.67% |
| 4    | Kingambit / Charizard         |    9 |  26.47% |  55.56% |
| 4    | Dragonite / Sneasler          |    9 |  26.47% |  44.44% |
| 4    | Sneasler / Kingambit          |    9 |  26.47% |  33.33% |
| 13   | Charizard / Toxapex           |    8 |  23.53% |  50.00% |
| 13   | Floette-Eternal / Kingambit   |    8 |  23.53% |  50.00% |
| 13   | Kingambit / Basculegion       |    8 |  23.53% |  50.00% |
| 16   | Incineroar / Venusaur         |    7 |  20.59% |  42.86% |
| 16   | Charizard / Venusaur          |    7 |  20.59% |  42.86% |
| 16   | Venusaur / Garchomp           |    7 |  20.59% |  42.86% |
| 16   | Venusaur / Sylveon            |    7 |  20.59% |  42.86% |
| 16   | Incineroar / Charizard        |    7 |  20.59% |  42.86% |
| 16   | Incineroar / Sylveon          |    7 |  20.59% |  42.86% |
| 16   | Charizard / Sylveon           |    7 |  20.59% |  42.86% |
| 16   | Sylveon / Garchomp            |    7 |  20.59% |  42.86% |
| 24   | Charizard / Whimsicott        |    6 |  17.65% |  66.67% |
| 24   | Kingambit / Whimsicott        |    6 |  17.65% |  66.67% |
| 24   | Charizard / Floette-Eternal   |    6 |  17.65% |  66.67% |
| 24   | Charizard / Basculegion       |    6 |  17.65% |  66.67% |
| 24   | Kingambit / Garchomp          |    6 |  17.65% |  66.67% |
| 24   | Gengar / Swampert             |    6 |  17.65% |  50.00% |
| 24   | Incineroar / Swampert         |    6 |  17.65% |  50.00% |
| 24   | Ninetales-Alola / Swampert    |    6 |  17.65% |  50.00% |
| 24   | Sneasler / Swampert           |    6 |  17.65% |  50.00% |
| 24   | Dragonite / Swampert          |    6 |  17.65% |  50.00% |
| 24   | Gengar / Incineroar           |    6 |  17.65% |  50.00% |
| 24   | Gengar / Ninetales-Alola      |    6 |  17.65% |  50.00% |
| 24   | Gengar / Sneasler             |    6 |  17.65% |  50.00% |
| 24   | Gengar / Dragonite            |    6 |  17.65% |  50.00% |
| 24   | Ninetales-Alola / Incineroar  |    6 |  17.65% |  50.00% |
| 24   | Dragonite / Incineroar        |    6 |  17.65% |  50.00% |
| 24   | Ninetales-Alola / Sneasler    |    6 |  17.65% |  50.00% |
| 24   | Ninetales-Alola / Dragonite   |    6 |  17.65% |  50.00% |
| 42   | Venusaur / Toxapex            |    5 |  14.71% |  60.00% |
| 42   | Incineroar / Toxapex          |    5 |  14.71% |  60.00% |
| 42   | Garchomp / Toxapex            |    5 |  14.71% |  60.00% |
| 42   | Sylveon / Toxapex             |    5 |  14.71% |  60.00% |
| 42   | Incineroar / Floette-Eternal  |    5 |  14.71% |  40.00% |
| 42   | Froslass / Sneasler           |    5 |  14.71% |  20.00% |
| 42   | Froslass / Kingambit          |    5 |  14.71% |  20.00% |
| 49   | Incineroar / Kingambit        |    4 |  11.76% |  50.00% |
| 49   | Sinistcha / Kingambit         |    4 |  11.76% |  50.00% |
| 49   | Kingambit / Delphox           |    4 |  11.76% |  50.00% |
| 49   | Sinistcha / Incineroar        |    4 |  11.76% |  50.00% |
| 49   | Incineroar / Delphox          |    4 |  11.76% |  50.00% |
| 49   | Sinistcha / Delphox           |    4 |  11.76% |  50.00% |
| 49   | Sinistcha / Sneasler          |    4 |  11.76% |  50.00% |
| 49   | Sneasler / Delphox            |    4 |  11.76% |  50.00% |
| 57   | Staraptor / Arcanine-Hisui    |    3 |   8.82% |  66.67% |
| 57   | Staraptor / Kingambit         |    3 |   8.82% |  66.67% |
| 57   | Raichu / Staraptor            |    3 |   8.82% |  66.67% |
| 57   | Farigiraf / Staraptor         |    3 |   8.82% |  66.67% |
| 57   | Staraptor / Sylveon           |    3 |   8.82% |  66.67% |
