+ ---- + ---------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                  | Use  | Usage % |  Win %  |
+ ---- + ---------------------------- + ---- + ------- + ------- +
| 1    | Hydreigon / Scizor           |    2 |  25.00% | 100.00% |
| 1    | Greninja / Delphox           |    2 |  25.00% |   0.00% |
| 3    | Pinsir / Scizor              |    1 |  12.50% | 100.00% |
| 3    | Pinsir / Sylveon             |    1 |  12.50% | 100.00% |
| 3    | Annihilape / Pinsir          |    1 |  12.50% | 100.00% |
| 3    | Pinsir / Mudsdale            |    1 |  12.50% | 100.00% |
| 3    | Samurott-Hisui / Pinsir      |    1 |  12.50% | 100.00% |
| 3    | Sylveon / Scizor             |    1 |  12.50% | 100.00% |
| 3    | Annihilape / Scizor          |    1 |  12.50% | 100.00% |
| 3    | Mudsdale / Scizor            |    1 |  12.50% | 100.00% |
| 3    | Samurott-Hisui / Scizor      |    1 |  12.50% | 100.00% |
| 3    | Annihilape / Sylveon         |    1 |  12.50% | 100.00% |
| 3    | Mudsdale / Sylveon           |    1 |  12.50% | 100.00% |
| 3    | Samurott-Hisui / Sylveon     |    1 |  12.50% | 100.00% |
| 3    | Annihilape / Mudsdale        |    1 |  12.50% | 100.00% |
| 3    | Samurott-Hisui / Annihilape  |    1 |  12.50% | 100.00% |
| 3    | Samurott-Hisui / Mudsdale    |    1 |  12.50% | 100.00% |
| 3    | Pelipper / Swampert          |    1 |  12.50% | 100.00% |
| 3    | Sneasler / Swampert          |    1 |  12.50% | 100.00% |
| 3    | Swampert / Scizor            |    1 |  12.50% | 100.00% |
| 3    | Swampert / Archaludon        |    1 |  12.50% | 100.00% |
| 3    | Hydreigon / Swampert         |    1 |  12.50% | 100.00% |
| 3    | Sneasler / Pelipper          |    1 |  12.50% | 100.00% |
| 3    | Pelipper / Scizor            |    1 |  12.50% | 100.00% |
| 3    | Pelipper / Archaludon        |    1 |  12.50% | 100.00% |
| 3    | Pelipper / Hydreigon         |    1 |  12.50% | 100.00% |
| 3    | Sneasler / Scizor            |    1 |  12.50% | 100.00% |
| 3    | Sneasler / Archaludon        |    1 |  12.50% | 100.00% |
| 3    | Sneasler / Hydreigon         |    1 |  12.50% | 100.00% |
| 3    | Scizor / Archaludon          |    1 |  12.50% | 100.00% |
| 3    | Hydreigon / Archaludon       |    1 |  12.50% | 100.00% |
| 3    | Palafin / Hydreigon          |    1 |  12.50% | 100.00% |
| 3    | Palafin / Rotom-Heat         |    1 |  12.50% | 100.00% |
| 3    | Palafin / Aerodactyl         |    1 |  12.50% | 100.00% |
| 3    | Palafin / Diggersby          |    1 |  12.50% | 100.00% |
| 3    | Palafin / Scizor             |    1 |  12.50% | 100.00% |
| 3    | Hydreigon / Rotom-Heat       |    1 |  12.50% | 100.00% |
| 3    | Aerodactyl / Hydreigon       |    1 |  12.50% | 100.00% |
| 3    | Diggersby / Hydreigon        |    1 |  12.50% | 100.00% |
| 3    | Aerodactyl / Rotom-Heat      |    1 |  12.50% | 100.00% |
| 3    | Diggersby / Rotom-Heat       |    1 |  12.50% | 100.00% |
| 3    | Scizor / Rotom-Heat          |    1 |  12.50% | 100.00% |
| 3    | Diggersby / Aerodactyl       |    1 |  12.50% | 100.00% |
| 3    | Aerodactyl / Scizor          |    1 |  12.50% | 100.00% |
| 3    | Diggersby / Scizor           |    1 |  12.50% | 100.00% |
| 3    | Corviknight / Slowking-Galar |    1 |  12.50% | 100.00% |
| 3    | Corviknight / Mamoswine      |    1 |  12.50% | 100.00% |
| 3    | Corviknight / Infernape      |    1 |  12.50% | 100.00% |
| 3    | Corviknight / Kingambit      |    1 |  12.50% | 100.00% |
| 3    | Corviknight / Dragonite      |    1 |  12.50% | 100.00% |
| 3    | Mamoswine / Slowking-Galar   |    1 |  12.50% | 100.00% |
| 3    | Infernape / Slowking-Galar   |    1 |  12.50% | 100.00% |
| 3    | Kingambit / Slowking-Galar   |    1 |  12.50% | 100.00% |
| 3    | Dragonite / Slowking-Galar   |    1 |  12.50% | 100.00% |
| 3    | Infernape / Mamoswine        |    1 |  12.50% | 100.00% |
| 3    | Mamoswine / Kingambit        |    1 |  12.50% | 100.00% |
| 3    | Dragonite / Mamoswine        |    1 |  12.50% | 100.00% |
| 3    | Infernape / Kingambit        |    1 |  12.50% | 100.00% |
| 3    | Dragonite / Infernape        |    1 |  12.50% | 100.00% |
| 3    | Dragonite / Kingambit        |    1 |  12.50% | 100.00% |
| 3    | Raichu / Aegislash           |    1 |  12.50% |   0.00% |
| 3    | Starmie / Raichu             |    1 |  12.50% |   0.00% |
