+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Incineroar         |   20 |  58.82% |  50.00% |
| 2    | Kingambit          |   18 |  52.94% |  50.00% |
| 3    | Garchomp           |   16 |  47.06% |  56.25% |
| 3    | Charizard          |   16 |  47.06% |  50.00% |
| 5    | Sneasler           |   15 |  44.12% |  40.00% |
| 6    | Floette-Eternal    |   11 |  32.35% |  54.55% |
| 6    | Basculegion        |   11 |  32.35% |  54.55% |
| 8    | Sylveon            |   10 |  29.41% |  50.00% |
| 9    | Whimsicott         |    9 |  26.47% |  66.67% |
| 9    | Dragonite          |    9 |  26.47% |  44.44% |
| 11   | Toxapex            |    8 |  23.53% |  50.00% |
| 12   | Venusaur           |    7 |  20.59% |  42.86% |
| 13   | Farigiraf          |    6 |  17.65% |  66.67% |
| 13   | Swampert           |    6 |  17.65% |  50.00% |
| 13   | Gengar             |    6 |  17.65% |  50.00% |
| 13   | Ninetales-Alola    |    6 |  17.65% |  50.00% |
| 17   | Froslass           |    5 |  14.71% |  20.00% |
| 18   | Sinistcha          |    4 |  11.76% |  50.00% |
| 18   | Delphox            |    4 |  11.76% |  50.00% |
| 20   | Staraptor          |    3 |   8.82% |  66.67% |
| 20   | Arcanine-Hisui     |    3 |   8.82% |  66.67% |
| 20   | Raichu             |    3 |   8.82% |  66.67% |
| 23   | Blastoise          |    2 |   5.88% | 100.00% |
| 23   | Scovillain         |    2 |   5.88% |   0.00% |
| 23   | Lycanroc-Dusk      |    2 |   5.88% |   0.00% |
| 23   | Aerodactyl         |    2 |   5.88% |   0.00% |
