+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Garchomp                |    5 |  25.00% |  60.00% |
| 2    | Primarina               |    3 |  15.00% |  66.67% |
| 3    | Milotic                 |    2 |  10.00% | 100.00% |
| 3    | Sneasler                |    2 |  10.00% |  50.00% |
| 3    | Delphox                 |    2 |  10.00% |   0.00% |
| 6    | Floette-Eternal         |    1 |   5.00% | 100.00% |
| 6    | Raichu                  |    1 |   5.00% | 100.00% |
| 6    | Meowscarada             |    1 |   5.00% |   0.00% |
| 6    | Basculegion             |    1 |   5.00% |   0.00% |
| 6    | Archaludon              |    1 |   5.00% |   0.00% |
| 6    | Mawile                  |    1 |   5.00% |   0.00% |
