+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Scizor             |    3 |  37.50% | 100.00% |
| 2    | Hydreigon          |    2 |  25.00% | 100.00% |
| 2    | Archaludon         |    2 |  25.00% |  50.00% |
| 2    | Gliscor            |    2 |  25.00% |   0.00% |
| 2    | Delphox            |    2 |  25.00% |   0.00% |
| 2    | Greninja           |    2 |  25.00% |   0.00% |
| 7    | Pinsir             |    1 |  12.50% | 100.00% |
| 7    | Sylveon            |    1 |  12.50% | 100.00% |
| 7    | Annihilape         |    1 |  12.50% | 100.00% |
| 7    | Mudsdale           |    1 |  12.50% | 100.00% |
| 7    | Samurott-Hisui     |    1 |  12.50% | 100.00% |
| 7    | Swampert           |    1 |  12.50% | 100.00% |
| 7    | Pelipper           |    1 |  12.50% | 100.00% |
| 7    | Sneasler           |    1 |  12.50% | 100.00% |
| 7    | Palafin            |    1 |  12.50% | 100.00% |
| 7    | Rotom-Heat         |    1 |  12.50% | 100.00% |
| 7    | Aerodactyl         |    1 |  12.50% | 100.00% |
| 7    | Diggersby          |    1 |  12.50% | 100.00% |
| 7    | Corviknight        |    1 |  12.50% | 100.00% |
| 7    | Slowking-Galar     |    1 |  12.50% | 100.00% |
| 7    | Mamoswine          |    1 |  12.50% | 100.00% |
| 7    | Infernape          |    1 |  12.50% | 100.00% |
| 7    | Kingambit          |    1 |  12.50% | 100.00% |
| 7    | Dragonite          |    1 |  12.50% | 100.00% |
| 7    | Raichu             |    1 |  12.50% |   0.00% |
| 7    | Aegislash          |    1 |  12.50% |   0.00% |
| 7    | Starmie            |    1 |  12.50% |   0.00% |
| 7    | Kommo-o            |    1 |  12.50% |   0.00% |
| 7    | Scolipede          |    1 |  12.50% |   0.00% |
| 7    | Meowscarada        |    1 |  12.50% |   0.00% |
| 7    | Garchomp           |    1 |  12.50% |   0.00% |
| 7    | Slowbro            |    1 |  12.50% |   0.00% |
| 7    | Quaquaval          |    1 |  12.50% |   0.00% |
| 7    | Clefable           |    1 |  12.50% |   0.00% |
| 7    | Skarmory           |    1 |  12.50% |   0.00% |
| 7    | Whimsicott         |    1 |  12.50% |   0.00% |
| 7    | Slowbro-Galar      |    1 |  12.50% |   0.00% |
| 7    | Hawlucha           |    1 |  12.50% |   0.00% |
| 7    | Gholdengo          |    1 |  12.50% |   0.00% |
| 7    | Ninetales-Alola    |    1 |  12.50% |   0.00% |
| 7    | Tyrantrum          |    1 |  12.50% |   0.00% |
