+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Slowking-Galar          |    3 |  12.50% |  66.67% |
| 1    | Samurott-Hisui          |    3 |  12.50% |  33.33% |
| 3    | Raichu                  |    2 |   8.33% | 100.00% |
| 3    | Rotom-Wash              |    2 |   8.33% |  50.00% |
| 3    | Pelipper                |    2 |   8.33% |  50.00% |
| 3    | Garchomp                |    2 |   8.33% |   0.00% |
| 7    | Sneasler                |    1 |   4.17% | 100.00% |
| 7    | Meganium                |    1 |   4.17% | 100.00% |
| 7    | Tauros-Paldea-Aqua      |    1 |   4.17% | 100.00% |
| 7    | Mawile                  |    1 |   4.17% | 100.00% |
| 7    | Corviknight             |    1 |   4.17% | 100.00% |
| 7    | Sableye                 |    1 |   4.17% |   0.00% |
| 7    | Hatterene               |    1 |   4.17% |   0.00% |
| 7    | Araquanid               |    1 |   4.17% |   0.00% |
| 7    | Meowscarada             |    1 |   4.17% |   0.00% |
| 7    | Azumarill               |    1 |   4.17% |   0.00% |
