+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Garchomp           |    2 | 100.00% |  50.00% |
| 2    | Floette-Eternal    |    1 |  50.00% | 100.00% |
| 2    | Rotom-Wash         |    1 |  50.00% | 100.00% |
| 2    | Mimikyu            |    1 |  50.00% | 100.00% |
| 2    | Archaludon         |    1 |  50.00% | 100.00% |
| 2    | Gyarados           |    1 |  50.00% | 100.00% |
| 2    | Raichu             |    1 |  50.00% |   0.00% |
| 2    | Corviknight        |    1 |  50.00% |   0.00% |
| 2    | Primarina          |    1 |  50.00% |   0.00% |
| 2    | Meowscarada        |    1 |  50.00% |   0.00% |
| 2    | Delphox            |    1 |  50.00% |   0.00% |
