+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Samurott-Hisui     |    2 | 100.00% |  50.00% |
| 1    | Garchomp           |    2 | 100.00% |  50.00% |
| 3    | Floette-Eternal    |    1 |  50.00% | 100.00% |
| 3    | Corviknight        |    1 |  50.00% | 100.00% |
| 3    | Skeledirge         |    1 |  50.00% | 100.00% |
| 3    | Sneasler           |    1 |  50.00% | 100.00% |
| 3    | Glimmora           |    1 |  50.00% |   0.00% |
| 3    | Ceruledge          |    1 |  50.00% |   0.00% |
| 3    | Rotom-Wash         |    1 |  50.00% |   0.00% |
| 3    | Kingambit          |    1 |  50.00% |   0.00% |
