+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Primarina          |    2 | 100.00% |  50.00% |
| 2    | Metagross          |    1 |  50.00% | 100.00% |
| 2    | Mimikyu            |    1 |  50.00% | 100.00% |
| 2    | Hippowdon          |    1 |  50.00% | 100.00% |
| 2    | Raichu             |    1 |  50.00% | 100.00% |
| 2    | Hydreigon          |    1 |  50.00% | 100.00% |
| 2    | Delphox            |    1 |  50.00% |   0.00% |
| 2    | Archaludon         |    1 |  50.00% |   0.00% |
| 2    | Kingambit          |    1 |  50.00% |   0.00% |
| 2    | Lopunny            |    1 |  50.00% |   0.00% |
| 2    | Basculegion        |    1 |  50.00% |   0.00% |
