+ ---- + ------------------------ + ---- + ------- + ------- +
| Rank | Combos of 2              | Use  | Usage % |  Win %  |
+ ---- + ------------------------ + ---- + ------- + ------- +
| 1    | Mimikyu / Metagross      |    1 |  50.00% | 100.00% |
| 1    | Hippowdon / Metagross    |    1 |  50.00% | 100.00% |
| 1    | Raichu / Metagross       |    1 |  50.00% | 100.00% |
| 1    | Primarina / Metagross    |    1 |  50.00% | 100.00% |
| 1    | Hydreigon / Metagross    |    1 |  50.00% | 100.00% |
| 1    | Hippowdon / Mimikyu      |    1 |  50.00% | 100.00% |
| 1    | Raichu / Mimikyu         |    1 |  50.00% | 100.00% |
| 1    | Primarina / Mimikyu      |    1 |  50.00% | 100.00% |
| 1    | Hydreigon / Mimikyu      |    1 |  50.00% | 100.00% |
| 1    | Hippowdon / Raichu       |    1 |  50.00% | 100.00% |
| 1    | Primarina / Hippowdon    |    1 |  50.00% | 100.00% |
| 1    | Hippowdon / Hydreigon    |    1 |  50.00% | 100.00% |
| 1    | Primarina / Raichu       |    1 |  50.00% | 100.00% |
| 1    | Raichu / Hydreigon       |    1 |  50.00% | 100.00% |
| 1    | Primarina / Hydreigon    |    1 |  50.00% | 100.00% |
| 1    | Primarina / Delphox      |    1 |  50.00% |   0.00% |
| 1    | Delphox / Archaludon     |    1 |  50.00% |   0.00% |
| 1    | Delphox / Kingambit      |    1 |  50.00% |   0.00% |
| 1    | Delphox / Lopunny        |    1 |  50.00% |   0.00% |
| 1    | Delphox / Basculegion    |    1 |  50.00% |   0.00% |
| 1    | Primarina / Archaludon   |    1 |  50.00% |   0.00% |
| 1    | Primarina / Kingambit    |    1 |  50.00% |   0.00% |
| 1    | Primarina / Lopunny      |    1 |  50.00% |   0.00% |
| 1    | Primarina / Basculegion  |    1 |  50.00% |   0.00% |
| 1    | Kingambit / Archaludon   |    1 |  50.00% |   0.00% |
| 1    | Lopunny / Archaludon     |    1 |  50.00% |   0.00% |
| 1    | Basculegion / Archaludon |    1 |  50.00% |   0.00% |
| 1    | Kingambit / Lopunny      |    1 |  50.00% |   0.00% |
| 1    | Basculegion / Kingambit  |    1 |  50.00% |   0.00% |
| 1    | Basculegion / Lopunny    |    1 |  50.00% |   0.00% |

+ ---- + ------------------------------------ + ---- + ------- + ------- +
| Rank | Combos of 3                          | Use  | Usage % |  Win %  |
+ ---- + ------------------------------------ + ---- + ------- + ------- +
| 1    | Hippowdon / Mimikyu / Metagross      |    1 |  50.00% | 100.00% |
| 1    | Raichu / Mimikyu / Metagross         |    1 |  50.00% | 100.00% |
| 1    | Primarina / Mimikyu / Metagross      |    1 |  50.00% | 100.00% |
| 1    | Hydreigon / Mimikyu / Metagross      |    1 |  50.00% | 100.00% |
| 1    | Hippowdon / Raichu / Metagross       |    1 |  50.00% | 100.00% |
| 1    | Primarina / Hippowdon / Metagross    |    1 |  50.00% | 100.00% |
| 1    | Hydreigon / Hippowdon / Metagross    |    1 |  50.00% | 100.00% |
| 1    | Primarina / Raichu / Metagross       |    1 |  50.00% | 100.00% |
| 1    | Hydreigon / Raichu / Metagross       |    1 |  50.00% | 100.00% |
| 1    | Primarina / Hydreigon / Metagross    |    1 |  50.00% | 100.00% |
| 1    | Hippowdon / Mimikyu / Raichu         |    1 |  50.00% | 100.00% |
| 1    | Primarina / Hippowdon / Mimikyu      |    1 |  50.00% | 100.00% |
| 1    | Hippowdon / Mimikyu / Hydreigon      |    1 |  50.00% | 100.00% |
| 1    | Primarina / Raichu / Mimikyu         |    1 |  50.00% | 100.00% |
| 1    | Raichu / Mimikyu / Hydreigon         |    1 |  50.00% | 100.00% |
| 1    | Primarina / Hydreigon / Mimikyu      |    1 |  50.00% | 100.00% |
| 1    | Primarina / Hippowdon / Raichu       |    1 |  50.00% | 100.00% |
| 1    | Hippowdon / Raichu / Hydreigon       |    1 |  50.00% | 100.00% |
| 1    | Primarina / Hippowdon / Hydreigon    |    1 |  50.00% | 100.00% |
| 1    | Primarina / Raichu / Hydreigon       |    1 |  50.00% | 100.00% |
| 1    | Primarina / Delphox / Archaludon     |    1 |  50.00% |   0.00% |
| 1    | Primarina / Delphox / Kingambit      |    1 |  50.00% |   0.00% |
| 1    | Primarina / Delphox / Lopunny        |    1 |  50.00% |   0.00% |
