+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Staryu                  |    8 |  12.90% |  37.50% |
| 2    | Cacnea                  |    7 |  11.29% |  85.71% |
| 2    | Snubbull                |    7 |  11.29% |  28.57% |
| 4    | Voltorb                 |    6 |   9.68% |  66.67% |
| 4    | Anorith                 |    6 |   9.68% |  66.67% |
| 4    | Chinchou                |    6 |   9.68% |  66.67% |
| 4    | Wailmer                 |    6 |   9.68% |  16.67% |
| 8    | Doduo                   |    3 |   4.84% |   0.00% |
| 8    | Machop                  |    3 |   4.84% |   0.00% |
| 10   | Gastly                  |    2 |   3.23% |  50.00% |
| 11   | Mankey                  |    1 |   1.61% | 100.00% |
| 11   | Koffing                 |    1 |   1.61% | 100.00% |
| 11   | Cubone                  |    1 |   1.61% | 100.00% |
| 11   | Togepi                  |    1 |   1.61% | 100.00% |
| 11   | Pineco                  |    1 |   1.61% | 100.00% |
| 11   | Onix                    |    1 |   1.61% | 100.00% |
| 11   | Meowth                  |    1 |   1.61% |   0.00% |
| 11   | Spoink                  |    1 |   1.61% |   0.00% |
