+ ---- + ---------------------- + ---- + ------- + ------- +
| Rank | Combos of 2            | Use  | Usage % |  Win %  |
+ ---- + ---------------------- + ---- + ------- + ------- +
| 1    | Pawniard / Mienfoo     |   26 |  43.33% |  61.54% |
| 2    | Pawniard / Foongus     |   21 |  35.00% |  61.90% |
| 3    | Foongus / Mienfoo      |   17 |  28.33% |  58.82% |
| 4    | Pawniard / Onix        |   13 |  21.67% |  61.54% |
| 4    | Diglett / Mienfoo      |   13 |  21.67% |  53.85% |
| 6    | Onix / Foongus         |   12 |  20.00% |  58.33% |
| 6    | Fletchling / Mienfoo   |   12 |  20.00% |  41.67% |
| 8    | Abra / Mienfoo         |   11 |  18.33% |  63.64% |
| 8    | Onix / Mienfoo         |   11 |  18.33% |  36.36% |
| 8    | Diglett / Fletchling   |   11 |  18.33% |  36.36% |
| 11   | Abra / Pawniard        |   10 |  16.67% |  80.00% |
| 11   | Pawniard / Chinchou    |   10 |  16.67% |  60.00% |
| 11   | Pawniard / Ponyta      |   10 |  16.67% |  50.00% |
| 11   | Snubbull / Mienfoo     |   10 |  16.67% |  20.00% |
| 15   | Pawniard / Vullaby     |    9 |  15.00% |  77.78% |
| 15   | Omanyte / Mienfoo      |    9 |  15.00% |  66.67% |
| 15   | Gastly / Mienfoo       |    9 |  15.00% |  44.44% |
| 15   | Archen / Mienfoo       |    9 |  15.00% |  44.44% |
| 15   | Chinchou / Mienfoo     |    9 |  15.00% |  44.44% |
| 15   | Ponyta / Foongus       |    9 |  15.00% |  44.44% |
| 21   | Diglett / Foongus      |    8 |  13.33% |  62.50% |
| 21   | Pawniard / Timburr     |    8 |  13.33% |  62.50% |
| 21   | Timburr / Foongus      |    8 |  13.33% |  62.50% |
| 21   | Ponyta / Vullaby       |    8 |  13.33% |  62.50% |
| 21   | Abra / Gastly          |    8 |  13.33% |  50.00% |
| 21   | Pawniard / Archen      |    8 |  13.33% |  50.00% |
| 21   | Pawniard / Gothita     |    8 |  13.33% |  50.00% |
| 21   | Onix / Gothita         |    8 |  13.33% |  25.00% |
| 29   | Vullaby / Foongus      |    7 |  11.67% |  71.43% |
| 29   | Pawniard / Diglett     |    7 |  11.67% |  71.43% |
| 29   | Onix / Vullaby         |    7 |  11.67% |  57.14% |
| 29   | Pawniard / Fletchling  |    7 |  11.67% |  57.14% |
| 29   | Diglett / Omanyte      |    7 |  11.67% |  57.14% |
| 29   | Fletchling / Foongus   |    7 |  11.67% |  42.86% |
| 29   | Pawniard / Staryu      |    7 |  11.67% |  42.86% |
| 29   | Snubbull / Ferroseed   |    7 |  11.67% |  14.29% |
| 37   | Pawniard / Gastly      |    6 |  10.00% |  66.67% |
| 37   | Timburr / Vullaby      |    6 |  10.00% |  66.67% |
| 37   | Surskit / Mienfoo      |    6 |  10.00% |  50.00% |
| 37   | Surskit / Abra         |    6 |  10.00% |  50.00% |
| 37   | Gastly / Archen        |    6 |  10.00% |  50.00% |
| 37   | Chinchou / Vullaby     |    6 |  10.00% |  50.00% |
| 37   | Timburr / Onix         |    6 |  10.00% |  50.00% |
| 37   | Ponyta / Onix          |    6 |  10.00% |  50.00% |
| 37   | Timburr / Ponyta       |    6 |  10.00% |  50.00% |
| 37   | Ponyta / Chinchou      |    6 |  10.00% |  50.00% |
| 37   | Vullaby / Mienfoo      |    6 |  10.00% |  33.33% |
| 37   | Porygon / Mienfoo      |    6 |  10.00% |  33.33% |
| 37   | Pawniard / Porygon     |    6 |  10.00% |  33.33% |
| 37   | Gothita / Mienfoo      |    6 |  10.00% |  33.33% |
| 37   | Pawniard / Snubbull    |    6 |  10.00% |  16.67% |
| 52   | Pawniard / Omanyte     |    5 |   8.33% | 100.00% |
| 52   | Abra / Vullaby         |    5 |   8.33% |  60.00% |
| 52   | Surskit / Pawniard     |    5 |   8.33% |  60.00% |
| 52   | Surskit / Archen       |    5 |   8.33% |  60.00% |
| 52   | Abra / Archen          |    5 |   8.33% |  60.00% |
| 52   | Fletchling / Omanyte   |    5 |   8.33% |  60.00% |
| 52   | Abra / Onix            |    5 |   8.33% |  60.00% |
| 52   | Surskit / Gastly       |    5 |   8.33% |  40.00% |
| 52   | Chinchou / Foongus     |    5 |   8.33% |  40.00% |
| 52   | Ponyta / Mienfoo       |    5 |   8.33% |  40.00% |
| 52   | Diglett / Ponyta       |    5 |   8.33% |  40.00% |
| 52   | Ponyta / Gothita       |    5 |   8.33% |  40.00% |
| 52   | Ferroseed / Mienfoo    |    5 |   8.33% |  20.00% |
| 52   | Bellsprout / Vulpix    |    5 |   8.33% |  20.00% |
| 66   | Abra / Foongus         |    4 |   6.67% | 100.00% |
| 66   | Omanyte / Foongus      |    4 |   6.67% | 100.00% |
| 66   | Abra / Omanyte         |    4 |   6.67% |  75.00% |
| 66   | Fletchling / Onix      |    4 |   6.67% |  50.00% |
| 66   | Diglett / Vullaby      |    4 |   6.67% |  50.00% |
| 66   | Gastly / Onix          |    4 |   6.67% |  25.00% |
| 66   | Staryu / Gothita       |    4 |   6.67% |  25.00% |
| 66   | Foongus / Gothita      |    4 |   6.67% |  25.00% |
| 66   | Ferroseed / Diglett    |    4 |   6.67% |  25.00% |
| 66   | Ferroseed / Fletchling |    4 |   6.67% |  25.00% |
| 66   | Snubbull / Diglett     |    4 |   6.67% |  25.00% |
| 66   | Snubbull / Fletchling  |    4 |   6.67% |  25.00% |
| 66   | Snubbull / Onix        |    4 |   6.67% |  25.00% |
| 66   | Gothita / Vulpix       |    4 |   6.67% |  25.00% |
| 66   | Onix / Vulpix          |    4 |   6.67% |  25.00% |
| 66   | Bellsprout / Gothita   |    4 |   6.67% |  25.00% |
| 66   | Bellsprout / Onix      |    4 |   6.67% |  25.00% |
| 66   | Snubbull / Gothita     |    4 |   6.67% |   0.00% |
| 66   | Snubbull / Chinchou    |    4 |   6.67% |   0.00% |
| 85   | Chinchou / Gothita     |    3 |   5.00% |  66.67% |
| 85   | Vullaby / Gothita      |    3 |   5.00% |  66.67% |
| 85   | Spritzee / Mienfoo     |    3 |   5.00% |  66.67% |
| 85   | Abra / Diglett         |    3 |   5.00% |  66.67% |
| 85   | Porygon / Fletchling   |    3 |   5.00% |  33.33% |
| 85   | Ferroseed / Staryu     |    3 |   5.00% |  33.33% |
| 85   | Pawniard / Ferroseed   |    3 |   5.00% |  33.33% |
| 85   | Ferroseed / Onix       |    3 |   5.00% |  33.33% |
| 85   | Ferroseed / Omanyte    |    3 |   5.00% |  33.33% |
| 85   | Snubbull / Omanyte     |    3 |   5.00% |  33.33% |
