+ ---- + -------------------- + ---- + ------- + ------- +
| Rank | Combos of 2          | Use  | Usage % |  Win %  |
+ ---- + -------------------- + ---- + ------- + ------- +
| 1    | Snubbull / Wailmer   |   24 |  38.71% |  45.83% |
| 1    | Elekid / Wailmer     |   24 |  38.71% |  37.50% |
| 3    | Anorith / Wailmer    |   20 |  32.26% |  40.00% |
| 4    | Snubbull / Elekid    |   18 |  29.03% |  55.56% |
| 5    | Gastly / Wailmer     |   17 |  27.42% |  47.06% |
| 5    | Voltorb / Wailmer    |   17 |  27.42% |  41.18% |
| 7    | Chinchou / Wailmer   |   15 |  24.19% |  46.67% |
| 7    | Anorith / Chinchou   |   15 |  24.19% |  33.33% |
| 7    | Anorith / Snubbull   |   15 |  24.19% |  26.67% |
| 7    | Anorith / Elekid     |   15 |  24.19% |  26.67% |
| 11   | Trapinch / Elekid    |   14 |  22.58% |  50.00% |
| 11   | Snubbull / Chinchou  |   14 |  22.58% |  42.86% |
| 11   | Trapinch / Wailmer   |   14 |  22.58% |  42.86% |
| 14   | Chinchou / Elekid    |   12 |  19.35% |  50.00% |
| 14   | Ponyta / Wailmer     |   12 |  19.35% |  41.67% |
| 14   | Gastly / Elekid      |   12 |  19.35% |  33.33% |
| 17   | Snubbull / Gastly    |   11 |  17.74% |  54.55% |
| 17   | Snubbull / Voltorb   |   11 |  17.74% |  54.55% |
| 19   | Snubbull / Cacnea    |   10 |  16.13% |  60.00% |
| 19   | Lileep / Wailmer     |   10 |  16.13% |  50.00% |
| 19   | Trapinch / Chinchou  |   10 |  16.13% |  50.00% |
| 22   | Ponyta / Chinchou    |    9 |  14.52% |  44.44% |
| 22   | Anorith / Trapinch   |    9 |  14.52% |  33.33% |
| 24   | Voltorb / Chinchou   |    8 |  12.90% |  75.00% |
| 24   | Voltorb / Elekid     |    8 |  12.90% |  62.50% |
| 24   | Trapinch / Voltorb   |    8 |  12.90% |  62.50% |
| 24   | Cacnea / Chinchou    |    8 |  12.90% |  62.50% |
| 24   | Houndour / Wailmer   |    8 |  12.90% |  50.00% |
| 24   | Cacnea / Elekid      |    8 |  12.90% |  37.50% |
| 24   | Cacnea / Wailmer     |    8 |  12.90% |  37.50% |
| 31   | Snubbull / Trapinch  |    7 |  11.29% |  71.43% |
| 31   | Koffing / Chinchou   |    7 |  11.29% |  57.14% |
| 31   | Trapinch / Gastly    |    7 |  11.29% |  42.86% |
| 31   | Elekid / Staryu      |    7 |  11.29% |  28.57% |
| 35   | Cacnea / Trapinch    |    6 |   9.68% |  66.67% |
| 35   | Horsea / Wailmer     |    6 |   9.68% |  66.67% |
| 35   | Gastly / Staryu      |    6 |   9.68% |  50.00% |
| 35   | Anorith / Cacnea     |    6 |   9.68% |  50.00% |
| 35   | Koffing / Wailmer    |    6 |   9.68% |  50.00% |
| 35   | Exeggcute / Wailmer  |    6 |   9.68% |  33.33% |
| 35   | Lileep / Elekid      |    6 |   9.68% |  33.33% |
| 35   | Snubbull / Lileep    |    6 |   9.68% |  33.33% |
| 35   | Anorith / Ponyta     |    6 |   9.68% |  33.33% |
| 35   | Snubbull / Ponyta    |    6 |   9.68% |  33.33% |
| 35   | Staryu / Wailmer     |    6 |   9.68% |  33.33% |
| 35   | Anorith / Voltorb    |    6 |   9.68% |  33.33% |
| 35   | Doduo / Wailmer      |    6 |   9.68% |  16.67% |
| 48   | Trapinch / Staryu    |    5 |   8.06% |  80.00% |
| 48   | Cacnea / Gastly      |    5 |   8.06% |  60.00% |
| 48   | Koffing / Voltorb    |    5 |   8.06% |  60.00% |
| 48   | Koffing / Anorith    |    5 |   8.06% |  60.00% |
| 48   | Snubbull / Horsea    |    5 |   8.06% |  60.00% |
| 48   | Horsea / Voltorb     |    5 |   8.06% |  60.00% |
| 48   | Machop / Elekid      |    5 |   8.06% |  40.00% |
| 48   | Voltorb / Gastly     |    5 |   8.06% |  40.00% |
| 48   | Houndour / Elekid    |    5 |   8.06% |  20.00% |
| 48   | Anorith / Gastly     |    5 |   8.06% |  20.00% |
| 48   | Gastly / Chinchou    |    5 |   8.06% |  20.00% |
| 48   | Ponyta / Gastly      |    5 |   8.06% |  20.00% |
| 60   | Exeggcute / Gastly   |    4 |   6.45% |  50.00% |
| 60   | Chinchou / Lileep    |    4 |   6.45% |  50.00% |
| 60   | Cacnea / Voltorb     |    4 |   6.45% |  50.00% |
| 60   | Koffing / Elekid     |    4 |   6.45% |  50.00% |
| 60   | Koffing / Trapinch   |    4 |   6.45% |  50.00% |
| 60   | Gastly / Lileep      |    4 |   6.45% |  50.00% |
| 60   | Anorith / Lileep     |    4 |   6.45% |  50.00% |
| 60   | Houndour / Gastly    |    4 |   6.45% |  50.00% |
| 60   | Exeggcute / Snubbull |    4 |   6.45% |  25.00% |
| 60   | Anorith / Exeggcute  |    4 |   6.45% |  25.00% |
| 60   | Snubbull / Doduo     |    4 |   6.45% |  25.00% |
| 60   | Bagon / Wailmer      |    4 |   6.45% |  25.00% |
| 60   | Machop / Wailmer     |    4 |   6.45% |  25.00% |
| 73   | Snubbull / Staryu    |    3 |   4.84% |  66.67% |
| 73   | Machop / Snubbull    |    3 |   4.84% |  66.67% |
| 73   | Machop / Chinchou    |    3 |   4.84% |  66.67% |
| 73   | Larvitar / Wailmer   |    3 |   4.84% |  66.67% |
| 73   | Koffing / Cacnea     |    3 |   4.84% |  66.67% |
| 73   | Cacnea / Ponyta      |    3 |   4.84% |  66.67% |
| 73   | Horsea / Gastly      |    3 |   4.84% |  66.67% |
| 73   | Ponyta / Elekid      |    3 |   4.84% |  66.67% |
| 73   | Exeggcute / Trapinch |    3 |   4.84% |  33.33% |
| 73   | Exeggcute / Elekid   |    3 |   4.84% |  33.33% |
| 73   | Trapinch / Ponyta    |    3 |   4.84% |  33.33% |
| 73   | Ponyta / Lileep      |    3 |   4.84% |  33.33% |
| 73   | Mankey / Wailmer     |    3 |   4.84% |  33.33% |
| 73   | Houndour / Staryu    |    3 |   4.84% |  33.33% |
| 73   | Ponyta / Voltorb     |    3 |   4.84% |  33.33% |
| 73   | Exeggcute / Chinchou |    3 |   4.84% |   0.00% |
| 73   | Exeggcute / Voltorb  |    3 |   4.84% |   0.00% |
| 73   | Anorith / Staryu     |    3 |   4.84% |   0.00% |
| 73   | Trapinch / Doduo     |    3 |   4.84% |   0.00% |
| 73   | Elekid / Doduo       |    3 |   4.84% |   0.00% |
| 73   | Anorith / Doduo      |    3 |   4.84% |   0.00% |
| 94   | Cacnea / Staryu      |    2 |   3.23% | 100.00% |
| 94   | Houndour / Voltorb   |    2 |   3.23% | 100.00% |
| 94   | Houndour / Trapinch  |    2 |   3.23% | 100.00% |
| 94   | Voltorb / Lileep     |    2 |   3.23% | 100.00% |
