+ ---- + -------------------- + ---- + ------- + ------- +
| Rank | Combos of 2          | Use  | Usage % |  Win %  |
+ ---- + -------------------- + ---- + ------- + ------- +
| 1    | Munchlax / Chinchou  |   30 |  51.72% |  36.67% |
| 2    | Munchlax / Wailmer   |   27 |  46.55% |  59.26% |
| 3    | Munchlax / Bronzor   |   25 |  43.10% |  48.00% |
| 4    | Munchlax / Gastly    |   23 |  39.66% |  52.17% |
| 4    | Munchlax / Gligar    |   23 |  39.66% |  43.48% |
| 6    | Bronzor / Chinchou   |   18 |  31.03% |  38.89% |
| 7    | Munchlax / Snover    |   17 |  29.31% |  52.94% |
| 7    | Gligar / Chinchou    |   17 |  29.31% |  35.29% |
| 9    | Cranidos / Munchlax  |   16 |  27.59% |  50.00% |
| 9    | Gastly / Chinchou    |   16 |  27.59% |  50.00% |
| 11   | Munchlax / Duskull   |   15 |  25.86% |  46.67% |
| 12   | Gastly / Wailmer     |   12 |  20.69% |  58.33% |
| 12   | Bronzor / Gastly     |   12 |  20.69% |  50.00% |
| 14   | Gastly / Gligar      |   11 |  18.97% |  54.55% |
| 14   | Munchlax / Machop    |   11 |  18.97% |  54.55% |
| 14   | Chinchou / Wailmer   |   11 |  18.97% |  36.36% |
| 17   | Cranidos / Chinchou  |   10 |  17.24% |  50.00% |
| 17   | Gastly / Snover      |   10 |  17.24% |  40.00% |
| 19   | Cranidos / Gastly    |    9 |  15.52% |  55.56% |
| 19   | Gligar / Wailmer     |    9 |  15.52% |  55.56% |
| 19   | Gligar / Snover      |    9 |  15.52% |  44.44% |
| 22   | Bronzor / Wailmer    |    8 |  13.79% |  62.50% |
| 22   | Machop / Wailmer     |    8 |  13.79% |  50.00% |
| 22   | Duskull / Wailmer    |    8 |  13.79% |  37.50% |
| 25   | Munchlax / Diglett   |    7 |  12.07% | 100.00% |
| 25   | Snover / Wailmer     |    7 |  12.07% |  71.43% |
| 25   | Cranidos / Wailmer   |    7 |  12.07% |  57.14% |
| 25   | Cranidos / Gligar    |    7 |  12.07% |  42.86% |
| 25   | Munchlax / Stunky    |    7 |  12.07% |  42.86% |
| 25   | Bronzor / Snover     |    7 |  12.07% |  28.57% |
