+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Vullaby            |   54 |  90.00% |  53.70% |
| 2    | Mienfoo            |   37 |  61.67% |  51.35% |
| 3    | Ferroseed          |   24 |  40.00% |  41.67% |
| 4    | Pawniard           |   21 |  35.00% |  42.86% |
| 5    | Koffing            |   19 |  31.67% |  57.89% |
| 5    | Diglett            |   19 |  31.67% |  42.11% |
| 7    | Ponyta-Galar       |   15 |  25.00% |  60.00% |
| 7    | Mareanie           |   15 |  25.00% |  60.00% |
| 7    | Grookey            |   15 |  25.00% |  40.00% |
| 10   | Onix               |   12 |  20.00% |  58.33% |
| 10   | Timburr            |   12 |  20.00% |  41.67% |
| 12   | Mudbray            |   11 |  18.33% |  63.64% |
| 12   | Omanyte            |   11 |  18.33% |  54.55% |
| 12   | Abra               |   11 |  18.33% |  54.55% |
| 15   | Ponyta             |   10 |  16.67% |  30.00% |
| 16   | Trapinch           |    7 |  11.67% |  28.57% |
| 16   | Spritzee           |    7 |  11.67% |  28.57% |
| 18   | Frillish           |    6 |  10.00% |  50.00% |
| 18   | Staryu             |    6 |  10.00% |  50.00% |
| 18   | Foongus            |    6 |  10.00% |  33.33% |
| 21   | Porygon            |    5 |   8.33% |  60.00% |
| 22   | Natu               |    4 |   6.67% |  25.00% |
| 22   | Chinchou           |    4 |   6.67% |   0.00% |
| 24   | Magnemite          |    3 |   5.00% |  66.67% |
| 24   | Carvanha           |    3 |   5.00% |  33.33% |
| 26   | Morelull           |    2 |   3.33% | 100.00% |
| 26   | Sandshrew-Alola    |    2 |   3.33% | 100.00% |
| 26   | Amaura             |    2 |   3.33% | 100.00% |
| 26   | Slowpoke           |    2 |   3.33% | 100.00% |
| 26   | Vulpix             |    2 |   3.33% | 100.00% |
| 26   | Archen             |    2 |   3.33% |  50.00% |
| 26   | Tyrunt             |    2 |   3.33% |   0.00% |
| 33   | Corphish           |    1 |   1.67% | 100.00% |
| 33   | Wynaut             |    1 |   1.67% | 100.00% |
| 33   | Munchlax           |    1 |   1.67% | 100.00% |
| 33   | Meowth             |    1 |   1.67% | 100.00% |
| 33   | Stunky             |    1 |   1.67% | 100.00% |
| 33   | Charmander         |    1 |   1.67% | 100.00% |
| 33   | Larvesta           |    1 |   1.67% |   0.00% |
| 33   | Dwebble            |    1 |   1.67% |   0.00% |
| 33   | Binacle            |    1 |   1.67% |   0.00% |
