+ ---- + ------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                     | Use  | Usage % |  Win %  |
+ ---- + ------------------------------- + ---- + ------- + ------- +
| 1    | Mudbray / Vullaby               |   40 |  71.43% |  50.00% |
| 2    | Mudbray / Porygon               |   26 |  46.43% |  61.54% |
| 3    | Porygon / Vullaby               |   23 |  41.07% |  56.52% |
| 4    | Mudbray / Litten                |   18 |  32.14% |  72.22% |
| 5    | Litten / Vullaby                |   17 |  30.36% |  70.59% |
| 6    | Litten / Porygon                |   15 |  26.79% |  73.33% |
| 7    | Dewpider / Vullaby              |   12 |  21.43% |  41.67% |
| 7    | Elekid / Vullaby                |   12 |  21.43% |  25.00% |
| 9    | Mudbray / Foongus               |   11 |  19.64% |  72.73% |
| 9    | Mudbray / Cutiefly              |   11 |  19.64% |  54.55% |
| 9    | Mudbray / Mienfoo               |   11 |  19.64% |  45.45% |
| 9    | Vullaby / Mienfoo               |   11 |  19.64% |  45.45% |
| 9    | Mudbray / Elekid                |   11 |  19.64% |  27.27% |
| 14   | Dewpider / Mudbray              |   10 |  17.86% |  50.00% |
| 14   | Vullaby / Cutiefly              |   10 |  17.86% |  50.00% |
| 14   | Dewpider / Porygon              |   10 |  17.86% |  40.00% |
| 17   | Growlithe-Hisui / Vullaby       |    9 |  16.07% |  22.22% |
| 18   | Vullaby / Foongus               |    8 |  14.29% |  75.00% |
| 18   | Dewpider / Litten               |    8 |  14.29% |  62.50% |
| 18   | Porygon / Foongus               |    8 |  14.29% |  62.50% |
| 21   | Litten / Foongus                |    7 |  12.50% |  71.43% |
| 21   | Gastly / Vullaby                |    7 |  12.50% |  42.86% |
| 21   | Mudbray / Growlithe-Hisui       |    7 |  12.50% |  28.57% |
| 24   | Litten / Elekid                 |    6 |  10.71% | 100.00% |
| 24   | Porygon / Cutiefly              |    6 |  10.71% |  83.33% |
| 24   | Cubchoo / Snover                |    6 |  10.71% |  66.67% |
| 24   | Voltorb-Hisui / Mudbray         |    6 |  10.71% |  50.00% |
| 24   | Voltorb-Hisui / Vullaby         |    6 |  10.71% |  50.00% |
| 24   | Mudbray / Gastly                |    6 |  10.71% |  33.33% |
| 24   | Meditite / Vullaby              |    6 |  10.71% |  16.67% |
| 31   | Mudbray / Skrelp                |    5 |   8.93% | 100.00% |
| 31   | Skrelp / Vullaby                |    5 |   8.93% | 100.00% |
| 31   | Mudbray / Inkay                 |    5 |   8.93% |  60.00% |
| 31   | Mudbray / Chinchou              |    5 |   8.93% |  40.00% |
| 31   | Chinchou / Vullaby              |    5 |   8.93% |  40.00% |
| 31   | Dewpider / Elekid               |    5 |   8.93% |  40.00% |
| 31   | Porygon / Elekid                |    5 |   8.93% |  40.00% |
| 31   | Pawniard / Vullaby              |    5 |   8.93% |  40.00% |
| 31   | Pawniard / Mudbray              |    5 |   8.93% |  40.00% |
| 31   | Mudbray / Grookey               |    5 |   8.93% |  40.00% |
| 31   | Porygon / Growlithe-Hisui       |    5 |   8.93% |  20.00% |
| 31   | Dewpider / Growlithe-Hisui      |    5 |   8.93% |  20.00% |
| 31   | Meditite / Elekid               |    5 |   8.93% |  20.00% |
| 44   | Skrelp / Porygon                |    4 |   7.14% | 100.00% |
| 44   | Litten / Snover                 |    4 |   7.14% |  75.00% |
| 44   | Vullaby / Snover                |    4 |   7.14% |  75.00% |
| 44   | Litten / Mienfoo                |    4 |   7.14% |  50.00% |
| 44   | Inkay / Vullaby                 |    4 |   7.14% |  50.00% |
| 44   | Dewpider / Snivy                |    4 |   7.14% |  50.00% |
| 44   | Vullaby / Snivy                 |    4 |   7.14% |  50.00% |
