+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Vullaby            |   45 |  80.36% |  48.89% |
| 2    | Mudbray            |   44 |  78.57% |  52.27% |
| 3    | Porygon            |   28 |  50.00% |  57.14% |
| 4    | Litten             |   22 |  39.29% |  72.73% |
| 5    | Elekid             |   17 |  30.36% |  35.29% |
| 6    | Dewpider           |   15 |  26.79% |  46.67% |
| 7    | Foongus            |   12 |  21.43% |  66.67% |
| 7    | Mienfoo            |   12 |  21.43% |  41.67% |
| 7    | Growlithe-Hisui    |   12 |  21.43% |  33.33% |
| 10   | Cutiefly           |   11 |  19.64% |  54.55% |
| 11   | Meditite           |    9 |  16.07% |  22.22% |
| 12   | Voltorb-Hisui      |    8 |  14.29% |  50.00% |
| 13   | Snover             |    7 |  12.50% |  71.43% |
| 13   | Gastly             |    7 |  12.50% |  42.86% |
| 13   | Grookey            |    7 |  12.50% |  42.86% |
| 16   | Cubchoo            |    6 |  10.71% |  66.67% |
| 16   | Inkay              |    6 |  10.71% |  50.00% |
| 16   | Pawniard           |    6 |  10.71% |  33.33% |
| 19   | Skrelp             |    5 |   8.93% | 100.00% |
| 19   | Glimmet            |    5 |   8.93% |  60.00% |
| 19   | Chinchou           |    5 |   8.93% |  40.00% |
| 19   | Gothita            |    5 |   8.93% |  40.00% |
| 23   | Scraggy            |    4 |   7.14% |  50.00% |
| 23   | Snivy              |    4 |   7.14% |  50.00% |
| 23   | Wingull            |    4 |   7.14% |  25.00% |
| 26   | Torchic            |    3 |   5.36% |  66.67% |
| 26   | Squirtle           |    3 |   5.36% |  33.33% |
| 28   | Numel              |    2 |   3.57% |  50.00% |
| 28   | Finneon            |    2 |   3.57% |  50.00% |
| 28   | Tinkatink          |    2 |   3.57% |   0.00% |
| 31   | Bronzor            |    1 |   1.79% | 100.00% |
| 31   | Buizel             |    1 |   1.79% | 100.00% |
| 31   | Flittle            |    1 |   1.79% | 100.00% |
| 31   | Piplup             |    1 |   1.79% | 100.00% |
| 31   | Sentret            |    1 |   1.79% | 100.00% |
| 31   | Gimmighoul         |    1 |   1.79% | 100.00% |
| 31   | Clauncher          |    1 |   1.79% | 100.00% |
| 31   | Aipom              |    1 |   1.79% |   0.00% |
| 31   | Horsea             |    1 |   1.79% |   0.00% |
| 31   | Riolu              |    1 |   1.79% |   0.00% |
| 31   | Stunky             |    1 |   1.79% |   0.00% |
| 31   | Psyduck            |    1 |   1.79% |   0.00% |
| 31   | Meowth             |    1 |   1.79% |   0.00% |
| 31   | Minccino           |    1 |   1.79% |   0.00% |
| 31   | Hippopotas         |    1 |   1.79% |   0.00% |
| 31   | Drilbur            |    1 |   1.79% |   0.00% |
| 31   | Magby              |    1 |   1.79% |   0.00% |
| 31   | Wattrel            |    1 |   1.79% |   0.00% |
