+ ---- + ---------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                        | Use  | Usage % |  Win %  |
+ ---- + ---------------------------------- + ---- + ------- + ------- +
| 1    | Vullaby / Mienfoo                  |  139 |  77.22% |  48.92% |
| 2    | Mareanie / Mienfoo                 |   90 |  50.00% |  46.67% |
| 3    | Tinkatink / Mienfoo                |   84 |  46.67% |  44.05% |
| 4    | Toedscool / Mienfoo                |   75 |  41.67% |  44.00% |
| 5    | Mudbray / Mienfoo                  |   72 |  40.00% |  51.39% |
| 6    | Foongus / Mienfoo                  |   71 |  39.44% |  57.75% |
| 7    | Mudbray / Vullaby                  |   70 |  38.89% |  48.57% |
| 7    | Tinkatink / Mareanie               |   70 |  38.89% |  42.86% |
| 9    | Vullaby / Foongus                  |   67 |  37.22% |  53.73% |
| 10   | Toedscool / Tinkatink              |   66 |  36.67% |  42.42% |
| 11   | Vullaby / Mareanie                 |   62 |  34.44% |  45.16% |
| 11   | Toedscool / Mareanie               |   62 |  34.44% |  43.55% |
| 13   | Tinkatink / Vullaby                |   52 |  28.89% |  42.31% |
| 14   | Mudbray / Foongus                  |   49 |  27.22% |  53.06% |
| 15   | Elekid / Mienfoo                   |   48 |  26.67% |  54.17% |
| 16   | Sandshrew-Alola / Mienfoo          |   47 |  26.11% |  59.57% |
| 17   | Toedscool / Vullaby                |   44 |  24.44% |  38.64% |
| 18   | Sandshrew-Alola / Vullaby          |   43 |  23.89% |  58.14% |
| 19   | Elekid / Vullaby                   |   39 |  21.67% |  46.15% |
| 20   | Mudbray / Sandshrew-Alola          |   35 |  19.44% |  60.00% |
| 21   | Growlithe-Hisui / Mienfoo          |   34 |  18.89% |  55.88% |
| 22   | Sandshrew-Alola / Foongus          |   32 |  17.78% |  62.50% |
| 22   | Glimmet / Mienfoo                  |   32 |  17.78% |  56.25% |
| 22   | Trapinch / Mienfoo                 |   32 |  17.78% |  53.12% |
| 25   | Chinchou / Mienfoo                 |   30 |  16.67% |  60.00% |
| 26   | Gothita / Mienfoo                  |   29 |  16.11% |  44.83% |
| 27   | Chinchou / Foongus                 |   27 |  15.00% |  59.26% |
| 27   | Glimmet / Vullaby                  |   27 |  15.00% |  48.15% |
| 29   | Growlithe-Hisui / Vullaby          |   26 |  14.44% |  53.85% |
| 30   | Tinkatink / Trapinch               |   25 |  13.89% |  52.00% |
| 30   | Chinchou / Vullaby                 |   25 |  13.89% |  52.00% |
| 32   | Elekid / Mareanie                  |   24 |  13.33% |  66.67% |
| 32   | Trapinch / Mareanie                |   24 |  13.33% |  50.00% |
| 32   | Tinkatink / Growlithe-Hisui        |   24 |  13.33% |  45.83% |
| 35   | Mudbray / Elekid                   |   23 |  12.78% |  39.13% |
| 36   | Diglett-Alola / Mienfoo            |   22 |  12.22% |  59.09% |
| 36   | Mudbray / Mareanie                 |   22 |  12.22% |  50.00% |
| 38   | Vullaby / Gothita                  |   21 |  11.67% |  47.62% |
| 38   | Growlithe-Hisui / Mareanie         |   21 |  11.67% |  38.10% |
| 38   | Toedscool / Growlithe-Hisui        |   21 |  11.67% |  38.10% |
| 38   | Elekid / Foongus                   |   21 |  11.67% |  38.10% |
| 42   | Mudbray / Chinchou                 |   20 |  11.11% |  60.00% |
| 43   | Stunky / Mienfoo                   |   19 |  10.56% |  52.63% |
| 43   | Sandshrew-Alola / Elekid           |   19 |  10.56% |  47.37% |
| 45   | Diglett-Alola / Vullaby            |   18 |  10.00% |  55.56% |
| 45   | Glimmet / Foongus                  |   18 |  10.00% |  55.56% |
| 47   | Trapinch / Vullaby                 |   17 |   9.44% |  58.82% |
| 47   | Toedscool / Trapinch               |   17 |   9.44% |  47.06% |
| 49   | Sandshrew-Alola / Mareanie         |   14 |   7.78% |  57.14% |
| 49   | Toedscool / Gothita                |   14 |   7.78% |  35.71% |
| 51   | Growlithe-Hisui / Foongus          |   13 |   7.22% |  84.62% |
| 51   | Tinkatink / Elekid                 |   13 |   7.22% |  76.92% |
| 51   | Mudbray / Gothita                  |   13 |   7.22% |  53.85% |
| 51   | Wingull / Mienfoo                  |   13 |   7.22% |  38.46% |
| 55   | Toedscool / Elekid                 |   12 |   6.67% |  83.33% |
| 55   | Tinkatink / Stunky                 |   12 |   6.67% |  58.33% |
| 55   | Toedscool / Stunky                 |   12 |   6.67% |  58.33% |
| 55   | Glimmet / Elekid                   |   12 |   6.67% |  58.33% |
| 59   | Diglett-Alola / Mareanie           |   11 |   6.11% |  63.64% |
| 59   | Foongus / Gothita                  |   11 |   6.11% |  54.55% |
| 59   | Larvesta / Mienfoo                 |   11 |   6.11% |  45.45% |
| 59   | Toedscool / Larvesta               |   11 |   6.11% |  45.45% |
| 59   | Larvesta / Gothita                 |   11 |   6.11% |  45.45% |
| 64   | Mudbray / Growlithe-Hisui          |   10 |   5.56% |  80.00% |
| 64   | Trapinch / Elekid                  |   10 |   5.56% |  70.00% |
| 64   | Mudbray / Diglett-Alola            |   10 |   5.56% |  70.00% |
| 64   | Glimmet / Sandshrew-Alola          |   10 |   5.56% |  50.00% |
| 64   | Mareanie / Wingull                 |   10 |   5.56% |  30.00% |
| 69   | Chinchou / Gothita                 |    9 |   5.00% |  66.67% |
| 69   | Glimmet / Mudbray                  |    9 |   5.00% |  66.67% |
| 69   | Tinkatink / Foongus                |    9 |   5.00% |  66.67% |
| 69   | Toedscool / Glimmet                |    9 |   5.00% |  55.56% |
| 69   | Glimmet / Gothita                  |    9 |   5.00% |  55.56% |
| 69   | Diglett-Alola / Foongus            |    9 |   5.00% |  55.56% |
| 75   | Stunky / Mareanie                  |    8 |   4.44% |  75.00% |
| 75   | Glimmet / Larvesta                 |    8 |   4.44% |  62.50% |
| 75   | Chinchou / Sandshrew-Alola         |    8 |   4.44% |  62.50% |
| 75   | Trapinch / Foongus                 |    8 |   4.44% |  62.50% |
| 75   | Salandit / Mienfoo                 |    8 |   4.44% |  37.50% |
| 75   | Toedscool / Wingull                |    8 |   4.44% |  25.00% |
| 75   | Tinkatink / Wingull                |    8 |   4.44% |  25.00% |
| 82   | Stunky / Vullaby                   |    7 |   3.89% |  57.14% |
| 82   | Stunky / Foongus                   |    7 |   3.89% |  57.14% |
| 82   | Salandit / Tinkatink               |    7 |   3.89% |  42.86% |
| 82   | Salandit / Mareanie                |    7 |   3.89% |  42.86% |
| 82   | Toedscool / Salandit               |    7 |   3.89% |  42.86% |
| 82   | Salandit / Trapinch                |    7 |   3.89% |  42.86% |
| 82   | Tinkatink / Diglett-Alola          |    7 |   3.89% |  42.86% |
| 82   | Tinkatink / Gothita                |    7 |   3.89% |   0.00% |
| 90   | Sandshrew-Alola / Growlithe-Hisui  |    6 |   3.33% | 100.00% |
| 90   | Diglett-Alola / Sandshrew-Alola    |    6 |   3.33% |  83.33% |
| 90   | Glimmet / Trapinch                 |    6 |   3.33% |  50.00% |
| 90   | Larvesta / Vullaby                 |    6 |   3.33% |  33.33% |
| 90   | Tinkatink / Chinchou               |    6 |   3.33% |  33.33% |
| 90   | Vullaby / Wingull                  |    6 |   3.33% |  16.67% |
| 96   | Glimmet / Chinchou                 |    5 |   2.78% |  80.00% |
| 96   | Numel / Mienfoo                    |    5 |   2.78% |  60.00% |
| 96   | Toedscool / Diglett-Alola          |    5 |   2.78% |  60.00% |
| 96   | Mudbray / Stunky                   |    5 |   2.78% |  40.00% |
| 96   | Mareanie / Gothita                 |    5 |   2.78% |  20.00% |
| 101  | Chinchou / Growlithe-Hisui         |    4 |   2.22% | 100.00% |
| 101  | Numel / Vullaby                    |    4 |   2.22% |  75.00% |
| 101  | Glimmet / Mareanie                 |    4 |   2.22% |  75.00% |
| 101  | Glimmet / Diglett-Alola            |    4 |   2.22% |  75.00% |
| 101  | Stunky / Growlithe-Hisui           |    4 |   2.22% |  50.00% |
| 101  | Trapinch / Sandshrew-Alola         |    4 |   2.22% |  50.00% |
| 101  | Mudbray / Wingull                  |    4 |   2.22% |  50.00% |
| 101  | Diglett-Alola / Chinchou           |    4 |   2.22% |  50.00% |
| 101  | Grookey / Mienfoo                  |    4 |   2.22% |  25.00% |
| 101  | Grookey / Mareanie                 |    4 |   2.22% |  25.00% |
| 101  | Chinchou / Elekid                  |    4 |   2.22% |   0.00% |
| 101  | Mudbray / Tinkatink                |    4 |   2.22% |   0.00% |
| 113  | Tinkatink / Sandshrew-Alola        |    3 |   1.67% |  66.67% |
| 113  | Foongus / Wingull                  |    3 |   1.67% |  66.67% |
| 113  | Elekid / Gothita                   |    3 |   1.67% |  66.67% |
| 113  | Shellos / Foongus                  |    3 |   1.67% |  66.67% |
| 113  | Shellos / Mienfoo                  |    3 |   1.67% |  66.67% |
| 113  | Shellos / Vullaby                  |    3 |   1.67% |  66.67% |
| 113  | Stunky / Wingull                   |    3 |   1.67% |  66.67% |
| 113  | Tinkatink / Numel                  |    3 |   1.67% |  66.67% |
| 113  | Snover / Mienfoo                   |    3 |   1.67% |  33.33% |
| 113  | Sandshrew-Alola / Snover           |    3 |   1.67% |  33.33% |
| 113  | Trapinch / Wingull                 |    3 |   1.67% |  33.33% |
| 113  | Tinkatink / Grookey                |    3 |   1.67% |  33.33% |
| 113  | Toedscool / Mudbray                |    3 |   1.67% |   0.00% |
| 113  | Stunky / Gothita                   |    3 |   1.67% |   0.00% |
| 127  | Diglett-Alola / Gothita            |    2 |   1.11% | 100.00% |
| 127  | Chinchou / Wingull                 |    2 |   1.11% | 100.00% |
| 127  | Larvesta / Elekid                  |    2 |   1.11% | 100.00% |
| 127  | Shellos-East / Foongus             |    2 |   1.11% | 100.00% |
| 127  | Shellos-East / Mienfoo             |    2 |   1.11% | 100.00% |
| 127  | Shellos-East / Vullaby             |    2 |   1.11% | 100.00% |
| 127  | Shellos-East / Elekid              |    2 |   1.11% | 100.00% |
| 127  | Timburr / Mienfoo                  |    2 |   1.11% |  50.00% |
| 127  | Timburr / Gothita                  |    2 |   1.11% |  50.00% |
| 127  | Chewtle / Mienfoo                  |    2 |   1.11% |  50.00% |
| 127  | Chewtle / Tinkatink                |    2 |   1.11% |  50.00% |
| 127  | Chewtle / Vullaby                  |    2 |   1.11% |  50.00% |
| 127  | Zorua-Hisui / Mienfoo              |    2 |   1.11% |  50.00% |
| 127  | Vullaby / Zorua-Hisui              |    2 |   1.11% |  50.00% |
| 127  | Tinkatink / Zorua-Hisui            |    2 |   1.11% |  50.00% |
| 127  | Mareanie / Snover                  |    2 |   1.11% |  50.00% |
| 127  | Trapinch / Snover                  |    2 |   1.11% |  50.00% |
| 127  | Tinkatink / Snover                 |    2 |   1.11% |  50.00% |
| 127  | Mienfoo / Cetoddle                 |    2 |   1.11% |  50.00% |
| 127  | Glimmet / Stunky                   |    2 |   1.11% |  50.00% |
| 127  | Numel / Diglett-Alola              |    2 |   1.11% |  50.00% |
| 127  | Sandshrew-Alola / Wingull          |    2 |   1.11% |  50.00% |
| 127  | Toedscool / Chinchou               |    2 |   1.11% |  50.00% |
| 127  | Mudbray / Shellos                  |    2 |   1.11% |  50.00% |
| 127  | Trapinch / Growlithe-Hisui         |    2 |   1.11% |  50.00% |
| 127  | Doduo / Mienfoo                    |    2 |   1.11% |  50.00% |
| 127  | Tinkatink / Doduo                  |    2 |   1.11% |  50.00% |
| 127  | Stunky / Chinchou                  |    2 |   1.11% |  50.00% |
| 127  | Diglett-Alola / Elekid             |    2 |   1.11% |  50.00% |
| 127  | Impidimp / Vullaby                 |    2 |   1.11% |  50.00% |
| 127  | Tinkatink / Impidimp               |    2 |   1.11% |  50.00% |
| 127  | Impidimp / Mienfoo                 |    2 |   1.11% |  50.00% |
| 127  | Numel / Impidimp                   |    2 |   1.11% |  50.00% |
| 127  | Growlithe-Hisui / Gothita          |    2 |   1.11% |   0.00% |
| 127  | Grookey / Vullaby                  |    2 |   1.11% |   0.00% |
| 127  | Mudbray / Grookey                  |    2 |   1.11% |   0.00% |
| 127  | Tinkatink / Larvesta               |    2 |   1.11% |   0.00% |
| 127  | Stunky / Larvesta                  |    2 |   1.11% |   0.00% |
| 127  | Squirtle / Mienfoo                 |    2 |   1.11% |   0.00% |
| 127  | Drifloon / Mienfoo                 |    2 |   1.11% |   0.00% |
| 167  | Timburr / Foongus                  |    1 |   0.56% | 100.00% |
| 167  | Timburr / Vullaby                  |    1 |   0.56% | 100.00% |
| 167  | Timburr / Mudbray                  |    1 |   0.56% | 100.00% |
| 167  | Stunky / Elekid                    |    1 |   0.56% | 100.00% |
| 167  | Vullaby / Cetoddle                 |    1 |   0.56% | 100.00% |
| 167  | Glimmet / Cetoddle                 |    1 |   0.56% | 100.00% |
| 167  | Foongus / Cetoddle                 |    1 |   0.56% | 100.00% |
| 167  | Stunky / Cetoddle                  |    1 |   0.56% | 100.00% |
| 167  | Gimmighoul-Roaming / Mienfoo       |    1 |   0.56% | 100.00% |
| 167  | Gimmighoul-Roaming / Gothita       |    1 |   0.56% | 100.00% |
| 167  | Numel / Gothita                    |    1 |   0.56% | 100.00% |
| 167  | Gimmighoul-Roaming / Vullaby       |    1 |   0.56% | 100.00% |
| 167  | Gimmighoul-Roaming / Numel         |    1 |   0.56% | 100.00% |
| 167  | Gimmighoul-Roaming / Diglett-Alola |    1 |   0.56% | 100.00% |
| 167  | Chinchou / Larvesta                |    1 |   0.56% | 100.00% |
