+ ---- + -------------------- + ---- + ------- + ------- +
| Rank | Combos of 2          | Use  | Usage % |  Win %  |
+ ---- + -------------------- + ---- + ------- + ------- +
| 1    | Wailmer / Snubbull   |   24 |  38.71% |  45.83% |
| 1    | Elekid / Wailmer     |   24 |  38.71% |  37.50% |
| 3    | Wailmer / Anorith    |   20 |  32.26% |  40.00% |
| 4    | Elekid / Snubbull    |   18 |  29.03% |  55.56% |
| 5    | Wailmer / Gastly     |   17 |  27.42% |  47.06% |
| 5    | Wailmer / Voltorb    |   17 |  27.42% |  41.18% |
| 7    | Wailmer / Chinchou   |   15 |  24.19% |  46.67% |
| 7    | Anorith / Chinchou   |   15 |  24.19% |  33.33% |
| 7    | Anorith / Snubbull   |   15 |  24.19% |  26.67% |
| 7    | Elekid / Anorith     |   15 |  24.19% |  26.67% |
| 11   | Elekid / Trapinch    |   14 |  22.58% |  50.00% |
| 11   | Chinchou / Snubbull  |   14 |  22.58% |  42.86% |
| 11   | Wailmer / Trapinch   |   14 |  22.58% |  42.86% |
| 14   | Elekid / Chinchou    |   12 |  19.35% |  50.00% |
| 14   | Wailmer / Ponyta     |   12 |  19.35% |  41.67% |
| 14   | Elekid / Gastly      |   12 |  19.35% |  33.33% |
| 17   | Gastly / Snubbull    |   11 |  17.74% |  54.55% |
| 17   | Voltorb / Snubbull   |   11 |  17.74% |  54.55% |
| 19   | Cacnea / Snubbull    |   10 |  16.13% |  60.00% |
| 19   | Lileep / Wailmer     |   10 |  16.13% |  50.00% |
| 19   | Trapinch / Chinchou  |   10 |  16.13% |  50.00% |
| 22   | Chinchou / Ponyta    |    9 |  14.52% |  44.44% |
| 22   | Anorith / Trapinch   |    9 |  14.52% |  33.33% |
| 24   | Voltorb / Chinchou   |    8 |  12.90% |  75.00% |
| 24   | Elekid / Voltorb     |    8 |  12.90% |  62.50% |
| 24   | Trapinch / Voltorb   |    8 |  12.90% |  62.50% |
| 24   | Chinchou / Cacnea    |    8 |  12.90% |  62.50% |
| 24   | Wailmer / Houndour   |    8 |  12.90% |  50.00% |
| 24   | Elekid / Cacnea      |    8 |  12.90% |  37.50% |
| 24   | Wailmer / Cacnea     |    8 |  12.90% |  37.50% |
| 31   | Trapinch / Snubbull  |    7 |  11.29% |  71.43% |
| 31   | Chinchou / Koffing   |    7 |  11.29% |  57.14% |
| 31   | Trapinch / Gastly    |    7 |  11.29% |  42.86% |
| 31   | Elekid / Staryu      |    7 |  11.29% |  28.57% |
| 35   | Trapinch / Cacnea    |    6 |   9.68% |  66.67% |
| 35   | Wailmer / Horsea     |    6 |   9.68% |  66.67% |
| 35   | Gastly / Staryu      |    6 |   9.68% |  50.00% |
| 35   | Anorith / Cacnea     |    6 |   9.68% |  50.00% |
| 35   | Wailmer / Koffing    |    6 |   9.68% |  50.00% |
| 35   | Wailmer / Exeggcute  |    6 |   9.68% |  33.33% |
| 35   | Elekid / Lileep      |    6 |   9.68% |  33.33% |
| 35   | Lileep / Snubbull    |    6 |   9.68% |  33.33% |
| 35   | Anorith / Ponyta     |    6 |   9.68% |  33.33% |
| 35   | Ponyta / Snubbull    |    6 |   9.68% |  33.33% |
| 35   | Wailmer / Staryu     |    6 |   9.68% |  33.33% |
| 35   | Anorith / Voltorb    |    6 |   9.68% |  33.33% |
| 35   | Wailmer / Doduo      |    6 |   9.68% |  16.67% |
| 48   | Trapinch / Staryu    |    5 |   8.06% |  80.00% |
