+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Machop                  |    9 |  15.52% |  44.44% |
| 2    | Wailmer                 |    7 |  12.07% |  57.14% |
| 3    | Aipom                   |    5 |   8.62% | 100.00% |
| 3    | Cranidos                |    5 |   8.62% | 100.00% |
| 3    | Bronzor                 |    5 |   8.62% |   0.00% |
| 6    | Snover                  |    4 |   6.90% |  50.00% |
| 7    | Elekid                  |    2 |   3.45% |  50.00% |
| 7    | Gastly                  |    2 |   3.45% |  50.00% |
| 7    | Abra                    |    2 |   3.45% |  50.00% |
| 7    | Voltorb                 |    2 |   3.45% |  50.00% |
| 7    | Mankey                  |    2 |   3.45% |   0.00% |
| 12   | Houndour                |    1 |   1.72% | 100.00% |
| 12   | Koffing                 |    1 |   1.72% | 100.00% |
| 12   | Anorith                 |    1 |   1.72% | 100.00% |
| 12   | Ponyta                  |    1 |   1.72% | 100.00% |
| 12   | Mantyke                 |    1 |   1.72% | 100.00% |
| 12   | Dratini                 |    1 |   1.72% |   0.00% |
| 12   | Paras                   |    1 |   1.72% |   0.00% |
| 12   | Stunky                  |    1 |   1.72% |   0.00% |
| 12   | Croagunk                |    1 |   1.72% |   0.00% |
| 12   | Chinchou                |    1 |   1.72% |   0.00% |
| 12   | Porygon                 |    1 |   1.72% |   0.00% |
| 12   | Gligar                  |    1 |   1.72% |   0.00% |
| 12   | Smoochum                |    1 |   1.72% |   0.00% |
