+ ---- + ------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                     | Use  | Usage % |  Win %  |
+ ---- + ------------------------------- + ---- + ------- + ------- +
| 1    | Mudbray / Vullaby               |   40 |  71.43% |  50.00% |
| 2    | Mudbray / Porygon               |   26 |  46.43% |  61.54% |
| 3    | Vullaby / Porygon               |   23 |  41.07% |  56.52% |
| 4    | Mudbray / Litten                |   18 |  32.14% |  72.22% |
| 5    | Vullaby / Litten                |   17 |  30.36% |  70.59% |
| 6    | Litten / Porygon                |   15 |  26.79% |  73.33% |
| 7    | Vullaby / Dewpider              |   12 |  21.43% |  41.67% |
| 7    | Elekid / Vullaby                |   12 |  21.43% |  25.00% |
| 9    | Mudbray / Foongus               |   11 |  19.64% |  72.73% |
| 9    | Mudbray / Cutiefly              |   11 |  19.64% |  54.55% |
| 9    | Mudbray / Mienfoo               |   11 |  19.64% |  45.45% |
| 9    | Mienfoo / Vullaby               |   11 |  19.64% |  45.45% |
| 9    | Mudbray / Elekid                |   11 |  19.64% |  27.27% |
| 14   | Mudbray / Dewpider              |   10 |  17.86% |  50.00% |
| 14   | Vullaby / Cutiefly              |   10 |  17.86% |  50.00% |
| 14   | Dewpider / Porygon              |   10 |  17.86% |  40.00% |
| 17   | Growlithe-Hisui / Vullaby       |    9 |  16.07% |  22.22% |
| 18   | Vullaby / Foongus               |    8 |  14.29% |  75.00% |
| 18   | Litten / Dewpider               |    8 |  14.29% |  62.50% |
| 18   | Foongus / Porygon               |    8 |  14.29% |  62.50% |
| 21   | Litten / Foongus                |    7 |  12.50% |  71.43% |
| 21   | Gastly / Vullaby                |    7 |  12.50% |  42.86% |
| 21   | Mudbray / Growlithe-Hisui       |    7 |  12.50% |  28.57% |
| 24   | Elekid / Litten                 |    6 |  10.71% | 100.00% |
| 24   | Porygon / Cutiefly              |    6 |  10.71% |  83.33% |
| 24   | Snover / Cubchoo                |    6 |  10.71% |  66.67% |
| 24   | Mudbray / Voltorb-Hisui         |    6 |  10.71% |  50.00% |
| 24   | Vullaby / Voltorb-Hisui         |    6 |  10.71% |  50.00% |
| 24   | Mudbray / Gastly                |    6 |  10.71% |  33.33% |
| 24   | Meditite / Vullaby              |    6 |  10.71% |  16.67% |
| 31   | Mudbray / Skrelp                |    5 |   8.93% | 100.00% |
| 31   | Skrelp / Vullaby                |    5 |   8.93% | 100.00% |
| 31   | Mudbray / Inkay                 |    5 |   8.93% |  60.00% |
| 31   | Mudbray / Chinchou              |    5 |   8.93% |  40.00% |
| 31   | Chinchou / Vullaby              |    5 |   8.93% |  40.00% |
| 31   | Elekid / Dewpider               |    5 |   8.93% |  40.00% |
| 31   | Elekid / Porygon                |    5 |   8.93% |  40.00% |
| 31   | Pawniard / Vullaby              |    5 |   8.93% |  40.00% |
| 31   | Mudbray / Pawniard              |    5 |   8.93% |  40.00% |
| 31   | Mudbray / Grookey               |    5 |   8.93% |  40.00% |
| 31   | Growlithe-Hisui / Porygon       |    5 |   8.93% |  20.00% |
| 31   | Growlithe-Hisui / Dewpider      |    5 |   8.93% |  20.00% |
| 31   | Elekid / Meditite               |    5 |   8.93% |  20.00% |
| 44   | Skrelp / Porygon                |    4 |   7.14% | 100.00% |
| 44   | Snover / Litten                 |    4 |   7.14% |  75.00% |
| 44   | Snover / Vullaby                |    4 |   7.14% |  75.00% |
| 44   | Mienfoo / Litten                |    4 |   7.14% |  50.00% |
| 44   | Inkay / Vullaby                 |    4 |   7.14% |  50.00% |
| 44   | Snivy / Dewpider                |    4 |   7.14% |  50.00% |
| 44   | Vullaby / Snivy                 |    4 |   7.14% |  50.00% |
