+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Vullaby                 |   15 |  25.00% |  40.00% |
| 2    | Mienfoo                 |    9 |  15.00% |  66.67% |
| 3    | Timburr                 |    8 |  13.33% |  37.50% |
| 4    | Mareanie                |    5 |   8.33% |  80.00% |
| 5    | Magnemite               |    3 |   5.00% | 100.00% |
| 5    | Staryu                  |    3 |   5.00% |  66.67% |
| 5    | Mudbray                 |    3 |   5.00% |   0.00% |
| 8    | Croagunk                |    2 |   3.33% |  50.00% |
| 8    | Onix                    |    2 |   3.33% |  50.00% |
| 8    | Spritzee                |    2 |   3.33% |   0.00% |
| 11   | Gastly                  |    1 |   1.67% | 100.00% |
| 11   | Chinchou                |    1 |   1.67% | 100.00% |
| 11   | Slowpoke                |    1 |   1.67% | 100.00% |
| 11   | Pawniard                |    1 |   1.67% | 100.00% |
| 11   | Ponyta                  |    1 |   1.67% |   0.00% |
| 11   | Elekid                  |    1 |   1.67% |   0.00% |
| 11   | Dwebble                 |    1 |   1.67% |   0.00% |
| 11   | Foongus                 |    1 |   1.67% |   0.00% |
