+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Vullaby            |   58 |  96.67% |  50.00% |
| 2    | Diglett            |   32 |  53.33% |  59.38% |
| 3    | Pawniard           |   27 |  45.00% |  51.85% |
| 4    | Foongus            |   26 |  43.33% |  42.31% |
| 5    | Mienfoo            |   25 |  41.67% |  48.00% |
| 6    | Abra               |   21 |  35.00% |  76.19% |
| 7    | Onix               |   19 |  31.67% |  52.63% |
| 7    | Staryu             |   19 |  31.67% |  26.32% |
| 9    | Timburr            |   17 |  28.33% |  41.18% |
| 10   | Mareanie           |   14 |  23.33% |  64.29% |
| 11   | Mudbray            |   12 |  20.00% |  25.00% |
| 12   | Spritzee           |   11 |  18.33% |  27.27% |
| 13   | Ferroseed          |   10 |  16.67% |  40.00% |
| 14   | Gastly             |    7 |  11.67% |  85.71% |
| 14   | Rufflet            |    7 |  11.67% |  28.57% |
| 16   | Ponyta             |    6 |  10.00% |  83.33% |
| 16   | Chinchou           |    6 |  10.00% |  66.67% |
| 18   | Snivy              |    5 |   8.33% |  60.00% |
| 18   | Archen             |    5 |   8.33% |  40.00% |
| 20   | Magnemite          |    3 |   5.00% | 100.00% |
| 20   | Croagunk           |    3 |   5.00% |  66.67% |
| 20   | Munchlax           |    3 |   5.00% |  33.33% |
| 20   | Dwebble            |    3 |   5.00% |  33.33% |
| 24   | Snubbull           |    2 |   3.33% |  50.00% |
| 24   | Grimer-Alola       |    2 |   3.33% |  50.00% |
| 24   | Shellder           |    2 |   3.33% |  50.00% |
| 24   | Scraggy            |    2 |   3.33% |  50.00% |
| 24   | Torchic            |    2 |   3.33% |  50.00% |
| 24   | Carvanha           |    2 |   3.33% |  50.00% |
| 24   | Slowpoke           |    2 |   3.33% |  50.00% |
| 31   | Zigzagoon          |    1 |   1.67% | 100.00% |
| 31   | Frillish           |    1 |   1.67% | 100.00% |
| 31   | Clamperl           |    1 |   1.67% |   0.00% |
| 31   | Elekid             |    1 |   1.67% |   0.00% |
| 31   | Doduo              |    1 |   1.67% |   0.00% |
| 31   | Omanyte            |    1 |   1.67% |   0.00% |
| 31   | Taillow            |    1 |   1.67% |   0.00% |
