+ ---- + -------------------- + ---- + ------- + ------- +
| Rank | Combos of 2          | Use  | Usage % |  Win %  |
+ ---- + -------------------- + ---- + ------- + ------- +
| 1    | Chinchou / Munchlax  |   30 |  51.72% |  36.67% |
| 2    | Wailmer / Munchlax   |   27 |  46.55% |  59.26% |
| 3    | Bronzor / Munchlax   |   25 |  43.10% |  48.00% |
| 4    | Gastly / Munchlax    |   23 |  39.66% |  52.17% |
| 4    | Gligar / Munchlax    |   23 |  39.66% |  43.48% |
| 6    | Bronzor / Chinchou   |   18 |  31.03% |  38.89% |
| 7    | Snover / Munchlax    |   17 |  29.31% |  52.94% |
| 7    | Chinchou / Gligar    |   17 |  29.31% |  35.29% |
| 9    | Munchlax / Cranidos  |   16 |  27.59% |  50.00% |
| 9    | Chinchou / Gastly    |   16 |  27.59% |  50.00% |
| 11   | Duskull / Munchlax   |   15 |  25.86% |  46.67% |
| 12   | Wailmer / Gastly     |   12 |  20.69% |  58.33% |
| 12   | Bronzor / Gastly     |   12 |  20.69% |  50.00% |
| 14   | Gligar / Gastly      |   11 |  18.97% |  54.55% |
| 14   | Munchlax / Machop    |   11 |  18.97% |  54.55% |
| 14   | Wailmer / Chinchou   |   11 |  18.97% |  36.36% |
| 17   | Chinchou / Cranidos  |   10 |  17.24% |  50.00% |
| 17   | Snover / Gastly      |   10 |  17.24% |  40.00% |
| 19   | Gastly / Cranidos    |    9 |  15.52% |  55.56% |
| 19   | Wailmer / Gligar     |    9 |  15.52% |  55.56% |
| 19   | Snover / Gligar      |    9 |  15.52% |  44.44% |
| 22   | Wailmer / Bronzor    |    8 |  13.79% |  62.50% |
| 22   | Wailmer / Machop     |    8 |  13.79% |  50.00% |
| 22   | Duskull / Wailmer    |    8 |  13.79% |  37.50% |
| 25   | Diglett / Munchlax   |    7 |  12.07% | 100.00% |
| 25   | Snover / Wailmer     |    7 |  12.07% |  71.43% |
| 25   | Wailmer / Cranidos   |    7 |  12.07% |  57.14% |
| 25   | Gligar / Cranidos    |    7 |  12.07% |  42.86% |
| 25   | Munchlax / Stunky    |    7 |  12.07% |  42.86% |
| 25   | Snover / Bronzor     |    7 |  12.07% |  28.57% |
| 25   | Bronzor / Gligar     |    7 |  12.07% |  28.57% |
| 25   | Snover / Chinchou    |    7 |  12.07% |  28.57% |
| 25   | Duskull / Chinchou   |    7 |  12.07% |  14.29% |
| 34   | Duskull / Gligar     |    6 |  10.34% |  33.33% |
| 35   | Aipom / Munchlax     |    5 |   8.62% | 100.00% |
| 35   | Snover / Cranidos    |    5 |   8.62% |  60.00% |
| 35   | Wynaut / Munchlax    |    5 |   8.62% |  40.00% |
| 35   | Duskull / Cranidos   |    5 |   8.62% |  40.00% |
| 35   | Chinchou / Machop    |    5 |   8.62% |  40.00% |
| 40   | Wailmer / Diglett    |    4 |   6.90% | 100.00% |
| 40   | Bronzor / Diglett    |    4 |   6.90% | 100.00% |
| 40   | Elekid / Munchlax    |    4 |   6.90% |  75.00% |
| 40   | Snover / Duskull     |    4 |   6.90% |  75.00% |
| 40   | Ponyta / Munchlax    |    4 |   6.90% |  75.00% |
| 40   | Bronzor / Cranidos   |    4 |   6.90% |  50.00% |
| 40   | Duskull / Stunky     |    4 |   6.90% |  50.00% |
| 40   | Bronzor / Machop     |    4 |   6.90% |  50.00% |
| 40   | Gastly / Machop      |    4 |   6.90% |  50.00% |
| 40   | Dratini / Munchlax   |    4 |   6.90% |  25.00% |
| 40   | Croagunk / Munchlax  |    4 |   6.90% |  25.00% |
| 40   | Wailmer / Stunky     |    4 |   6.90% |  25.00% |
| 40   | Wailmer / Mantyke    |    4 |   6.90% |  25.00% |
| 40   | Chinchou / Mantyke   |    4 |   6.90% |  25.00% |
| 40   | Mantyke / Munchlax   |    4 |   6.90% |  25.00% |
| 40   | Stunky / Machop      |    4 |   6.90% |  25.00% |
| 56   | Gligar / Aipom       |    3 |   5.17% | 100.00% |
| 56   | Snover / Aipom       |    3 |   5.17% | 100.00% |
| 56   | Duskull / Diglett    |    3 |   5.17% | 100.00% |
| 56   | Elekid / Chinchou    |    3 |   5.17% |  66.67% |
| 56   | Bronzor / Ponyta     |    3 |   5.17% |  66.67% |
| 56   | Gastly / Ponyta      |    3 |   5.17% |  66.67% |
| 56   | Elekid / Gligar      |    3 |   5.17% |  66.67% |
| 56   | Cranidos / Machop    |    3 |   5.17% |  66.67% |
| 56   | Snover / Dratini     |    3 |   5.17% |  33.33% |
| 56   | Duskull / Bronzor    |    3 |   5.17% |  33.33% |
| 56   | Cranidos / Stunky    |    3 |   5.17% |  33.33% |
| 56   | Smoochum / Munchlax  |    3 |   5.17% |  33.33% |
| 56   | Koffing / Munchlax   |    3 |   5.17% |  33.33% |
| 56   | Aron / Munchlax      |    3 |   5.17% |  33.33% |
| 56   | Gligar / Stunky      |    3 |   5.17% |  33.33% |
| 56   | Bronzor / Mantyke    |    3 |   5.17% |   0.00% |
| 56   | Voltorb / Mantyke    |    3 |   5.17% |   0.00% |
| 73   | Gligar / Ponyta      |    2 |   3.45% | 100.00% |
| 73   | Chinchou / Houndour  |    2 |   3.45% | 100.00% |
| 73   | Gligar / Houndour    |    2 |   3.45% | 100.00% |
| 73   | Bronzor / Lickitung  |    2 |   3.45% | 100.00% |
| 73   | Lickitung / Munchlax |    2 |   3.45% | 100.00% |
| 73   | Wailmer / Aipom      |    2 |   3.45% | 100.00% |
| 73   | Wailmer / Ponyta     |    2 |   3.45% | 100.00% |
| 73   | Diglett / Machop     |    2 |   3.45% | 100.00% |
| 73   | Duskull / Aipom      |    2 |   3.45% | 100.00% |
| 73   | Bronzor / Wynaut     |    2 |   3.45% |  50.00% |
| 73   | Doduo / Munchlax     |    2 |   3.45% |  50.00% |
| 73   | Chinchou / Doduo     |    2 |   3.45% |  50.00% |
| 73   | Bronzor / Croagunk   |    2 |   3.45% |  50.00% |
| 73   | Wynaut / Gligar      |    2 |   3.45% |  50.00% |
| 73   | Snover / Wynaut      |    2 |   3.45% |  50.00% |
| 73   | Wynaut / Gastly      |    2 |   3.45% |  50.00% |
| 73   | Wailmer / Dratini    |    2 |   3.45% |  50.00% |
| 73   | Duskull / Dratini    |    2 |   3.45% |  50.00% |
| 73   | Snover / Machop      |    2 |   3.45% |  50.00% |
| 73   | Gastly / Lickitung   |    2 |   3.45% |  50.00% |
| 73   | Gastly / Mantyke     |    2 |   3.45% |  50.00% |
| 73   | Abra / Munchlax      |    2 |   3.45% |  50.00% |
| 73   | Chinchou / Ponyta    |    2 |   3.45% |  50.00% |
| 73   | Diglett / Stunky     |    2 |   3.45% |  50.00% |
| 73   | Diglett / Mantyke    |    2 |   3.45% |  50.00% |
| 73   | Voltorb / Diglett    |    2 |   3.45% |  50.00% |
| 73   | Gligar / Mantyke     |    2 |   3.45% |  50.00% |
| 73   | Bronzor / Smoochum   |    2 |   3.45% |  50.00% |
| 73   | Smoochum / Gastly    |    2 |   3.45% |  50.00% |
| 73   | Koffing / Gligar     |    2 |   3.45% |  50.00% |
| 73   | Wailmer / Croagunk   |    2 |   3.45% |  50.00% |
| 73   | Gligar / Aron        |    2 |   3.45% |  50.00% |
| 73   | Wailmer / Aron       |    2 |   3.45% |  50.00% |
| 73   | Wailmer / Voltorb    |    2 |   3.45% |  50.00% |
| 73   | Bronzor / Voltorb    |    2 |   3.45% |  50.00% |
| 73   | Voltorb / Munchlax   |    2 |   3.45% |  50.00% |
| 73   | Duskull / Machop     |    2 |   3.45% |  50.00% |
| 73   | Elekid / Cranidos    |    2 |   3.45% |  50.00% |
| 73   | Bronzor / Dratini    |    2 |   3.45% |   0.00% |
| 73   | Dratini / Cranidos   |    2 |   3.45% |   0.00% |
| 73   | Gligar / Omanyte     |    2 |   3.45% |   0.00% |
| 73   | Mantyke / Stunky     |    2 |   3.45% |   0.00% |
| 73   | Voltorb / Stunky     |    2 |   3.45% |   0.00% |
| 73   | Kabuto / Stunky      |    2 |   3.45% |   0.00% |
| 73   | Omanyte / Stunky     |    2 |   3.45% |   0.00% |
| 73   | Mantyke / Kabuto     |    2 |   3.45% |   0.00% |
| 73   | Mantyke / Omanyte    |    2 |   3.45% |   0.00% |
| 73   | Voltorb / Kabuto     |    2 |   3.45% |   0.00% |
| 73   | Voltorb / Omanyte    |    2 |   3.45% |   0.00% |
| 73   | Kabuto / Omanyte     |    2 |   3.45% |   0.00% |
| 73   | Mankey / Munchlax    |    2 |   3.45% |   0.00% |
| 73   | Chinchou / Mankey    |    2 |   3.45% |   0.00% |
| 73   | Chinchou / Koffing   |    2 |   3.45% |   0.00% |
| 73   | Koffing / Cranidos   |    2 |   3.45% |   0.00% |
| 73   | Croagunk / Gligar    |    2 |   3.45% |   0.00% |
| 73   | Gligar / Machop      |    2 |   3.45% |   0.00% |
| 73   | Chinchou / Stunky    |    2 |   3.45% |   0.00% |
| 73   | Wynaut / Aron        |    2 |   3.45% |   0.00% |
| 131  | Elekid / Bronzor     |    1 |   1.72% | 100.00% |
| 131  | Elekid / Wynaut      |    1 |   1.72% | 100.00% |
| 131  | Elekid / Doduo       |    1 |   1.72% | 100.00% |
| 131  | Bronzor / Doduo      |    1 |   1.72% | 100.00% |
| 131  | Wynaut / Chinchou    |    1 |   1.72% | 100.00% |
| 131  | Wynaut / Doduo       |    1 |   1.72% | 100.00% |
| 131  | Wynaut / Aipom       |    1 |   1.72% | 100.00% |
| 131  | Gastly / Aipom       |    1 |   1.72% | 100.00% |
| 131  | Chinchou / Abra      |    1 |   1.72% | 100.00% |
| 131  | Bronzor / Abra       |    1 |   1.72% | 100.00% |
| 131  | Ponyta / Abra        |    1 |   1.72% | 100.00% |
| 131  | Gligar / Abra        |    1 |   1.72% | 100.00% |
| 131  | Mantyke / Houndour   |    1 |   1.72% | 100.00% |
| 131  | Gastly / Houndour    |    1 |   1.72% | 100.00% |
| 131  | Snover / Lickitung   |    1 |   1.72% | 100.00% |
| 131  | Snover / Smoochum    |    1 |   1.72% | 100.00% |
| 131  | Smoochum / Lickitung |    1 |   1.72% | 100.00% |
| 131  | Aipom / Aron         |    1 |   1.72% | 100.00% |
| 131  | Snover / Aron        |    1 |   1.72% | 100.00% |
| 131  | Wailmer / Remoraid   |    1 |   1.72% | 100.00% |
| 131  | Remoraid / Munchlax  |    1 |   1.72% | 100.00% |
| 131  | Remoraid / Ponyta    |    1 |   1.72% | 100.00% |
| 131  | Remoraid / Gligar    |    1 |   1.72% | 100.00% |
| 131  | Remoraid / Gastly    |    1 |   1.72% | 100.00% |
| 131  | Voltorb / Croagunk   |    1 |   1.72% | 100.00% |
| 131  | Croagunk / Diglett   |    1 |   1.72% | 100.00% |
| 131  | Koffing / Stunky     |    1 |   1.72% | 100.00% |
| 131  | Wailmer / Koffing    |    1 |   1.72% | 100.00% |
| 131  | Elekid / Koffing     |    1 |   1.72% | 100.00% |
| 131  | Elekid / Stunky      |    1 |   1.72% | 100.00% |
| 131  | Elekid / Wailmer     |    1 |   1.72% | 100.00% |
| 131  | Anorith / Bronzor    |    1 |   1.72% | 100.00% |
| 131  | Duskull / Anorith    |    1 |   1.72% | 100.00% |
| 131  | Anorith / Munchlax   |    1 |   1.72% | 100.00% |
| 131  | Anorith / Diglett    |    1 |   1.72% | 100.00% |
| 131  | Anorith / Lickitung  |    1 |   1.72% | 100.00% |
| 131  | Duskull / Lickitung  |    1 |   1.72% | 100.00% |
| 131  | Diglett / Lickitung  |    1 |   1.72% | 100.00% |
| 131  | Aipom / Machop       |    1 |   1.72% | 100.00% |
| 131  | Diglett / Aipom      |    1 |   1.72% | 100.00% |
| 131  | Aipom / Houndour     |    1 |   1.72% | 100.00% |
| 131  | Chinchou / Aipom     |    1 |   1.72% | 100.00% |
| 131  | Duskull / Houndour   |    1 |   1.72% | 100.00% |
| 131  | Houndour / Munchlax  |    1 |   1.72% | 100.00% |
| 131  | Elekid / Gastly      |    1 |   1.72% | 100.00% |
| 131  | Diglett / Cranidos   |    1 |   1.72% | 100.00% |
| 131  | Diglett / Gastly     |    1 |   1.72% | 100.00% |
| 131  | Chinchou / Diglett   |    1 |   1.72% | 100.00% |
| 131  | Duskull / Mantyke    |    1 |   1.72% | 100.00% |
| 131  | Aipom / Cranidos     |    1 |   1.72% | 100.00% |
| 131  | Aipom / Stunky       |    1 |   1.72% | 100.00% |
| 131  | Snover / Stunky      |    1 |   1.72% | 100.00% |
| 131  | Croagunk / Dratini   |    1 |   1.72% |   0.00% |
| 131  | Croagunk / Cranidos  |    1 |   1.72% |   0.00% |
| 131  | Snover / Croagunk    |    1 |   1.72% |   0.00% |
| 131  | Dratini / Stunky     |    1 |   1.72% |   0.00% |
| 131  | Bronzor / Drifloon   |    1 |   1.72% |   0.00% |
| 131  | Bronzor / Omanyte    |    1 |   1.72% |   0.00% |
| 131  | Chinchou / Drifloon  |    1 |   1.72% |   0.00% |
| 131  | Chinchou / Omanyte   |    1 |   1.72% |   0.00% |
| 131  | Drifloon / Gligar    |    1 |   1.72% |   0.00% |
| 131  | Drifloon / Munchlax  |    1 |   1.72% |   0.00% |
| 131  | Omanyte / Munchlax   |    1 |   1.72% |   0.00% |
| 131  | Drifloon / Omanyte   |    1 |   1.72% |   0.00% |
| 131  | Gastly / Paras       |    1 |   1.72% |   0.00% |
| 131  | Wailmer / Paras      |    1 |   1.72% |   0.00% |
| 131  | Lickitung / Paras    |    1 |   1.72% |   0.00% |
| 131  | Paras / Cranidos     |    1 |   1.72% |   0.00% |
| 131  | Wailmer / Lickitung  |    1 |   1.72% |   0.00% |
| 131  | Lickitung / Cranidos |    1 |   1.72% |   0.00% |
| 131  | Diglett / Kabuto     |    1 |   1.72% |   0.00% |
| 131  | Diglett / Omanyte    |    1 |   1.72% |   0.00% |
| 131  | Koffing / Mankey     |    1 |   1.72% |   0.00% |
| 131  | Gligar / Mankey      |    1 |   1.72% |   0.00% |
| 131  | Mankey / Cranidos    |    1 |   1.72% |   0.00% |
| 131  | Duskull / Croagunk   |    1 |   1.72% |   0.00% |
| 131  | Croagunk / Chinchou  |    1 |   1.72% |   0.00% |
| 131  | Wailmer / Doduo      |    1 |   1.72% |   0.00% |
| 131  | Gastly / Doduo       |    1 |   1.72% |   0.00% |
| 131  | Gligar / Doduo       |    1 |   1.72% |   0.00% |
| 131  | Koffing / Porygon    |    1 |   1.72% |   0.00% |
| 131  | Chinchou / Porygon   |    1 |   1.72% |   0.00% |
| 131  | Munchlax / Porygon   |    1 |   1.72% |   0.00% |
| 131  | Gastly / Porygon     |    1 |   1.72% |   0.00% |
| 131  | Cranidos / Porygon   |    1 |   1.72% |   0.00% |
| 131  | Koffing / Gastly     |    1 |   1.72% |   0.00% |
| 131  | Snover / Ponyta      |    1 |   1.72% |   0.00% |
| 131  | Dratini / Gastly     |    1 |   1.72% |   0.00% |
| 131  | Wynaut / Dratini     |    1 |   1.72% |   0.00% |
| 131  | Voltorb / Chinchou   |    1 |   1.72% |   0.00% |
| 131  | Gastly / Stunky      |    1 |   1.72% |   0.00% |
| 131  | Bronzor / Stunky     |    1 |   1.72% |   0.00% |
| 131  | Elekid / Duskull     |    1 |   1.72% |   0.00% |
| 131  | Taillow / Mankey     |    1 |   1.72% |   0.00% |
| 131  | Bronzor / Mankey     |    1 |   1.72% |   0.00% |
| 131  | Duskull / Mankey     |    1 |   1.72% |   0.00% |
| 131  | Bronzor / Taillow    |    1 |   1.72% |   0.00% |
| 131  | Duskull / Taillow    |    1 |   1.72% |   0.00% |
| 131  | Taillow / Munchlax   |    1 |   1.72% |   0.00% |
| 131  | Taillow / Chinchou   |    1 |   1.72% |   0.00% |
| 131  | Mantyke / Machop     |    1 |   1.72% |   0.00% |
| 131  | Gligar / Kabuto      |    1 |   1.72% |   0.00% |
| 131  | Voltorb / Gligar     |    1 |   1.72% |   0.00% |
| 131  | Bronzor / Trapinch   |    1 |   1.72% |   0.00% |
| 131  | Trapinch / Chinchou  |    1 |   1.72% |   0.00% |
| 131  | Chinchou / Smoochum  |    1 |   1.72% |   0.00% |
| 131  | Trapinch / Gastly    |    1 |   1.72% |   0.00% |
| 131  | Trapinch / Munchlax  |    1 |   1.72% |   0.00% |
| 131  | Trapinch / Smoochum  |    1 |   1.72% |   0.00% |
| 131  | Wynaut / Abra        |    1 |   1.72% |   0.00% |
| 131  | Abra / Aron          |    1 |   1.72% |   0.00% |
| 131  | Duskull / Abra       |    1 |   1.72% |   0.00% |
| 131  | Wailmer / Abra       |    1 |   1.72% |   0.00% |
| 131  | Duskull / Wynaut     |    1 |   1.72% |   0.00% |
| 131  | Wailmer / Wynaut     |    1 |   1.72% |   0.00% |
| 131  | Duskull / Aron       |    1 |   1.72% |   0.00% |
| 131  | Croagunk / Smoochum  |    1 |   1.72% |   0.00% |
| 131  | Smoochum / Gligar    |    1 |   1.72% |   0.00% |
| 131  | Wynaut / Smoochum    |    1 |   1.72% |   0.00% |
| 131  | Smoochum / Aron      |    1 |   1.72% |   0.00% |
| 131  | Croagunk / Wynaut    |    1 |   1.72% |   0.00% |
| 131  | Croagunk / Aron      |    1 |   1.72% |   0.00% |

+ ---- + ------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 3                     | Use  | Usage % |  Win %  |
+ ---- + ------------------------------- + ---- + ------- + ------- +
| 1    | Bronzor / Chinchou / Munchlax   |   18 |  31.03% |  38.89% |
| 2    | Chinchou / Gligar / Munchlax    |   16 |  27.59% |  31.25% |
| 3    | Chinchou / Gastly / Munchlax    |   15 |  25.86% |  46.67% |
| 4    | Bronzor / Gastly / Munchlax     |   12 |  20.69% |  50.00% |
| 5    | Wailmer / Gastly / Munchlax     |   11 |  18.97% |  63.64% |
| 5    | Wailmer / Chinchou / Munchlax   |   11 |  18.97% |  36.36% |
| 7    | Gligar / Gastly / Munchlax      |   10 |  17.24% |  50.00% |
| 7    | Munchlax / Chinchou / Cranidos  |   10 |  17.24% |  50.00% |
| 7    | Snover / Gastly / Munchlax      |   10 |  17.24% |  40.00% |
| 10   | Wailmer / Gligar / Munchlax     |    9 |  15.52% |  55.56% |
| 10   | Snover / Gligar / Munchlax      |    9 |  15.52% |  44.44% |
| 10   | Bronzor / Chinchou / Gastly     |    9 |  15.52% |  44.44% |
| 13   | Munchlax / Wailmer / Bronzor    |    8 |  13.79% |  62.50% |
| 13   | Munchlax / Gastly / Cranidos    |    8 |  13.79% |  62.50% |
| 13   | Chinchou / Gastly / Gligar      |    8 |  13.79% |  50.00% |
| 13   | Munchlax / Wailmer / Machop     |    8 |  13.79% |  50.00% |
| 13   | Duskull / Wailmer / Munchlax    |    8 |  13.79% |  37.50% |
| 18   | Snover / Wailmer / Munchlax     |    7 |  12.07% |  71.43% |
| 18   | Munchlax / Gligar / Cranidos    |    7 |  12.07% |  42.86% |
| 18   | Snover / Bronzor / Munchlax     |    7 |  12.07% |  28.57% |
| 18   | Bronzor / Gligar / Munchlax     |    7 |  12.07% |  28.57% |
| 18   | Bronzor / Chinchou / Gligar     |    7 |  12.07% |  28.57% |
| 18   | Snover / Chinchou / Munchlax    |    7 |  12.07% |  28.57% |
| 18   | Duskull / Chinchou / Munchlax   |    7 |  12.07% |  14.29% |
| 25   | Munchlax / Wailmer / Cranidos   |    6 |  10.34% |  66.67% |
| 25   | Wailmer / Chinchou / Gastly     |    6 |  10.34% |  66.67% |
| 25   | Chinchou / Gastly / Cranidos    |    6 |  10.34% |  66.67% |
| 25   | Snover / Gligar / Gastly        |    6 |  10.34% |  33.33% |
| 25   | Chinchou / Gligar / Cranidos    |    6 |  10.34% |  33.33% |
| 25   | Duskull / Gligar / Munchlax     |    6 |  10.34% |  33.33% |
| 25   | Snover / Bronzor / Gastly       |    6 |  10.34% |  33.33% |
| 25   | Snover / Chinchou / Gastly      |    6 |  10.34% |  33.33% |
| 33   | Munchlax / Snover / Cranidos    |    5 |   8.62% |  60.00% |
| 33   | Wailmer / Gastly / Cranidos     |    5 |   8.62% |  60.00% |
| 33   | Duskull / Munchlax / Cranidos   |    5 |   8.62% |  40.00% |
| 33   | Wailmer / Chinchou / Bronzor    |    5 |   8.62% |  40.00% |
| 33   | Munchlax / Chinchou / Machop    |    5 |   8.62% |  40.00% |
| 33   | Duskull / Chinchou / Gligar     |    5 |   8.62% |  20.00% |
| 33   | Snover / Chinchou / Gligar      |    5 |   8.62% |  20.00% |
| 40   | Wailmer / Diglett / Munchlax    |    4 |   6.90% | 100.00% |
| 40   | Bronzor / Diglett / Munchlax    |    4 |   6.90% | 100.00% |
| 40   | Snover / Duskull / Munchlax     |    4 |   6.90% |  75.00% |
| 40   | Wailmer / Gastly / Bronzor      |    4 |   6.90% |  75.00% |
| 40   | Munchlax / Bronzor / Cranidos   |    4 |   6.90% |  50.00% |
| 40   | Munchlax / Duskull / Stunky     |    4 |   6.90% |  50.00% |
| 40   | Snover / Wailmer / Gligar       |    4 |   6.90% |  50.00% |
| 40   | Wailmer / Gastly / Gligar       |    4 |   6.90% |  50.00% |
| 40   | Bronzor / Chinchou / Machop     |    4 |   6.90% |  50.00% |
| 40   | Munchlax / Bronzor / Machop     |    4 |   6.90% |  50.00% |
| 40   | Munchlax / Gastly / Machop      |    4 |   6.90% |  50.00% |
| 40   | Wailmer / Gastly / Machop       |    4 |   6.90% |  50.00% |
| 40   | Snover / Bronzor / Chinchou     |    4 |   6.90% |  25.00% |
| 40   | Munchlax / Wailmer / Stunky     |    4 |   6.90% |  25.00% |
| 40   | Wailmer / Mantyke / Munchlax    |    4 |   6.90% |  25.00% |
| 40   | Wailmer / Chinchou / Gligar     |    4 |   6.90% |  25.00% |
| 40   | Munchlax / Stunky / Machop      |    4 |   6.90% |  25.00% |
| 57   | Gligar / Aipom / Munchlax       |    3 |   5.17% | 100.00% |
| 57   | Snover / Aipom / Munchlax       |    3 |   5.17% | 100.00% |
| 57   | Duskull / Diglett / Munchlax    |    3 |   5.17% | 100.00% |
| 57   | Elekid / Chinchou / Munchlax    |    3 |   5.17% |  66.67% |
| 57   | Bronzor / Chinchou / Cranidos   |    3 |   5.17% |  66.67% |
| 57   | Snover / Wailmer / Duskull      |    3 |   5.17% |  66.67% |
| 57   | Bronzor / Ponyta / Munchlax     |    3 |   5.17% |  66.67% |
| 57   | Gastly / Ponyta / Munchlax      |    3 |   5.17% |  66.67% |
| 57   | Gastly / Gligar / Cranidos      |    3 |   5.17% |  66.67% |
| 57   | Elekid / Gligar / Munchlax      |    3 |   5.17% |  66.67% |
| 57   | Munchlax / Cranidos / Machop    |    3 |   5.17% |  66.67% |
| 57   | Snover / Dratini / Munchlax     |    3 |   5.17% |  33.33% |
| 57   | Duskull / Bronzor / Munchlax    |    3 |   5.17% |  33.33% |
| 57   | Duskull / Gligar / Cranidos     |    3 |   5.17% |  33.33% |
| 57   | Bronzor / Gastly / Gligar       |    3 |   5.17% |  33.33% |
| 57   | Snover / Bronzor / Gligar       |    3 |   5.17% |  33.33% |
| 57   | Munchlax / Cranidos / Stunky    |    3 |   5.17% |  33.33% |
| 57   | Duskull / Wailmer / Gligar      |    3 |   5.17% |  33.33% |
| 57   | Wailmer / Chinchou / Machop     |    3 |   5.17% |  33.33% |
| 57   | Wailmer / Mantyke / Bronzor     |    3 |   5.17% |   0.00% |
| 57   | Wailmer / Chinchou / Mantyke    |    3 |   5.17% |   0.00% |
| 57   | Bronzor / Chinchou / Mantyke    |    3 |   5.17% |   0.00% |
| 57   | Bronzor / Mantyke / Munchlax    |    3 |   5.17% |   0.00% |
| 57   | Chinchou / Mantyke / Munchlax   |    3 |   5.17% |   0.00% |
| 57   | Duskull / Wailmer / Chinchou    |    3 |   5.17% |   0.00% |
| 82   | Snover / Gligar / Aipom         |    2 |   3.45% | 100.00% |
| 82   | Gligar / Ponyta / Munchlax      |    2 |   3.45% | 100.00% |
| 82   | Chinchou / Gligar / Houndour    |    2 |   3.45% | 100.00% |
| 82   | Bronzor / Lickitung / Munchlax  |    2 |   3.45% | 100.00% |
| 82   | Wailmer / Aipom / Munchlax      |    2 |   3.45% | 100.00% |
| 82   | Snover / Wailmer / Cranidos     |    2 |   3.45% | 100.00% |
| 82   | Wailmer / Chinchou / Cranidos   |    2 |   3.45% | 100.00% |
| 82   | Wailmer / Ponyta / Munchlax     |    2 |   3.45% | 100.00% |
| 82   | Wailmer / Gastly / Ponyta       |    2 |   3.45% | 100.00% |
| 82   | Wailmer / Diglett / Bronzor     |    2 |   3.45% | 100.00% |
| 82   | Snover / Duskull / Cranidos     |    2 |   3.45% | 100.00% |
| 82   | Wailmer / Gligar / Cranidos     |    2 |   3.45% | 100.00% |
| 82   | Munchlax / Diglett / Machop     |    2 |   3.45% | 100.00% |
| 82   | Duskull / Aipom / Munchlax      |    2 |   3.45% | 100.00% |
| 82   | Bronzor / Wynaut / Munchlax     |    2 |   3.45% |  50.00% |
| 82   | Chinchou / Doduo / Munchlax     |    2 |   3.45% |  50.00% |
| 82   | Bronzor / Croagunk / Munchlax   |    2 |   3.45% |  50.00% |
| 82   | Wynaut / Gligar / Munchlax      |    2 |   3.45% |  50.00% |
| 82   | Snover / Wynaut / Munchlax      |    2 |   3.45% |  50.00% |
| 82   | Wynaut / Gastly / Munchlax      |    2 |   3.45% |  50.00% |
| 82   | Snover / Wynaut / Gastly        |    2 |   3.45% |  50.00% |
| 82   | Duskull / Wailmer / Cranidos    |    2 |   3.45% |  50.00% |
| 82   | Wailmer / Dratini / Munchlax    |    2 |   3.45% |  50.00% |
| 82   | Duskull / Wailmer / Dratini     |    2 |   3.45% |  50.00% |
| 82   | Duskull / Cranidos / Stunky     |    2 |   3.45% |  50.00% |
| 82   | Duskull / Dratini / Munchlax    |    2 |   3.45% |  50.00% |
| 82   | Snover / Wailmer / Machop       |    2 |   3.45% |  50.00% |
| 82   | Snover / Munchlax / Machop      |    2 |   3.45% |  50.00% |
| 82   | Chinchou / Gastly / Mantyke     |    2 |   3.45% |  50.00% |
| 82   | Bronzor / Chinchou / Ponyta     |    2 |   3.45% |  50.00% |
| 82   | Chinchou / Ponyta / Munchlax    |    2 |   3.45% |  50.00% |
| 82   | Bronzor / Smoochum / Munchlax   |    2 |   3.45% |  50.00% |
| 82   | Bronzor / Smoochum / Gastly     |    2 |   3.45% |  50.00% |
| 82   | Smoochum / Gastly / Munchlax    |    2 |   3.45% |  50.00% |
| 82   | Koffing / Gligar / Munchlax     |    2 |   3.45% |  50.00% |
| 82   | Wailmer / Croagunk / Munchlax   |    2 |   3.45% |  50.00% |
| 82   | Aron / Gligar / Munchlax        |    2 |   3.45% |  50.00% |
