+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Mienfoo                 |   19 |  31.67% |  57.89% |
| 2    | Vullaby                 |    5 |   8.33% |  80.00% |
| 3    | Surskit                 |    4 |   6.67% |  25.00% |
| 4    | Chinchou                |    3 |   5.00% |  33.33% |
| 4    | Ferroseed               |    3 |   5.00% |   0.00% |
| 6    | Foongus                 |    2 |   3.33% |  50.00% |
| 6    | Ponyta                  |    2 |   3.33% |  50.00% |
| 6    | Staryu                  |    2 |   3.33% |  50.00% |
| 6    | Onix                    |    2 |   3.33% |  50.00% |
| 6    | Diglett                 |    2 |   3.33% |  50.00% |
| 6    | Archen                  |    2 |   3.33% |   0.00% |
| 6    | Snubbull                |    2 |   3.33% |   0.00% |
| 13   | Gastly                  |    1 |   1.67% | 100.00% |
| 13   | Pawniard                |    1 |   1.67% | 100.00% |
| 13   | Bunnelby                |    1 |   1.67% | 100.00% |
| 13   | Abra                    |    1 |   1.67% | 100.00% |
| 13   | Larvesta                |    1 |   1.67% | 100.00% |
| 13   | Anorith                 |    1 |   1.67% | 100.00% |
| 13   | Vulpix                  |    1 |   1.67% | 100.00% |
| 13   | Magnemite               |    1 |   1.67% | 100.00% |
| 13   | Drilbur                 |    1 |   1.67% |   0.00% |
| 13   | Timburr                 |    1 |   1.67% |   0.00% |
| 13   | Pineco                  |    1 |   1.67% |   0.00% |
| 13   | Gothita                 |    1 |   1.67% |   0.00% |
