+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Mienfoo                 |   12 |  20.00% |  58.33% |
| 2    | Vullaby                 |   11 |  18.33% |  36.36% |
| 3    | Pawniard                |    4 |   6.67% |  50.00% |
| 3    | Koffing                 |    4 |   6.67% |  50.00% |
| 5    | Mareanie                |    3 |   5.00% | 100.00% |
| 5    | Staryu                  |    3 |   5.00% |  66.67% |
| 5    | Ferroseed               |    3 |   5.00% |  33.33% |
| 5    | Ponyta                  |    3 |   5.00% |  33.33% |
| 5    | Timburr                 |    3 |   5.00% |  33.33% |
| 5    | Chinchou                |    3 |   5.00% |   0.00% |
| 11   | Mudbray                 |    2 |   3.33% | 100.00% |
| 11   | Onix                    |    2 |   3.33% |  50.00% |
| 13   | Carvanha                |    1 |   1.67% | 100.00% |
| 13   | Diglett                 |    1 |   1.67% | 100.00% |
| 13   | Meowth                  |    1 |   1.67% | 100.00% |
| 13   | Omanyte                 |    1 |   1.67% | 100.00% |
| 13   | Spritzee                |    1 |   1.67% |   0.00% |
| 13   | Abra                    |    1 |   1.67% |   0.00% |
| 13   | Foongus                 |    1 |   1.67% |   0.00% |
