+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Mienfoo                 |   81 |  45.00% |  49.38% |
| 2    | Vullaby                 |   41 |  22.78% |  39.02% |
| 3    | Tinkatink               |   10 |   5.56% |  50.00% |
| 4    | Foongus                 |    7 |   3.89% |  57.14% |
| 4    | Wingull                 |    7 |   3.89% |  42.86% |
| 6    | Mareanie                |    6 |   3.33% |  66.67% |
| 7    | Mudbray                 |    5 |   2.78% |  80.00% |
| 7    | Larvesta                |    5 |   2.78% |  20.00% |
| 9    | Chinchou                |    4 |   2.22% |  75.00% |
| 10   | Sandshrew-Alola         |    3 |   1.67% | 100.00% |
| 10   | Glimmet                 |    3 |   1.67% |  33.33% |
| 12   | Elekid                  |    2 |   1.11% | 100.00% |
| 12   | Diglett-Alola           |    2 |   1.11% |  50.00% |
| 14   | Gothita                 |    1 |   0.56% | 100.00% |
| 14   | Growlithe-Hisui         |    1 |   0.56% | 100.00% |
| 14   | Grookey                 |    1 |   0.56% | 100.00% |
| 14   | Toedscool               |    1 |   0.56% |   0.00% |
