+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Mienfoo            |  179 |  99.44% |  50.28% |
| 2    | Vullaby            |  140 |  77.78% |  48.57% |
| 3    | Mareanie           |   90 |  50.00% |  46.67% |
| 4    | Tinkatink          |   84 |  46.67% |  44.05% |
| 5    | Toedscool          |   75 |  41.67% |  44.00% |
| 6    | Mudbray            |   73 |  40.56% |  50.68% |
| 7    | Foongus            |   72 |  40.00% |  56.94% |
| 8    | Elekid             |   48 |  26.67% |  54.17% |
| 9    | Sandshrew-Alola    |   47 |  26.11% |  59.57% |
| 10   | Growlithe-Hisui    |   34 |  18.89% |  55.88% |
| 11   | Glimmet            |   32 |  17.78% |  56.25% |
| 11   | Trapinch           |   32 |  17.78% |  53.12% |
| 13   | Chinchou           |   31 |  17.22% |  58.06% |
| 14   | Gothita            |   30 |  16.67% |  43.33% |
| 15   | Diglett-Alola      |   22 |  12.22% |  59.09% |
| 16   | Stunky             |   19 |  10.56% |  52.63% |
| 17   | Wingull            |   13 |   7.22% |  38.46% |
| 18   | Larvesta           |   11 |   6.11% |  45.45% |
| 19   | Salandit           |    8 |   4.44% |  37.50% |
| 20   | Numel              |    5 |   2.78% |  60.00% |
| 21   | Grookey            |    4 |   2.22% |  25.00% |
| 22   | Shellos            |    3 |   1.67% |  66.67% |
| 22   | Snover             |    3 |   1.67% |  33.33% |
| 24   | Shellos-East       |    2 |   1.11% | 100.00% |
| 24   | Timburr            |    2 |   1.11% |  50.00% |
| 24   | Chewtle            |    2 |   1.11% |  50.00% |
| 24   | Zorua-Hisui        |    2 |   1.11% |  50.00% |
| 24   | Cetoddle           |    2 |   1.11% |  50.00% |
| 24   | Doduo              |    2 |   1.11% |  50.00% |
| 24   | Impidimp           |    2 |   1.11% |  50.00% |
| 24   | Squirtle           |    2 |   1.11% |   0.00% |
| 24   | Drifloon           |    2 |   1.11% |   0.00% |
| 33   | Gimmighoul-Roaming |    1 |   0.56% | 100.00% |
| 33   | Chingling          |    1 |   0.56% | 100.00% |
| 33   | Buizel             |    1 |   0.56% |   0.00% |
| 33   | Poliwag            |    1 |   0.56% |   0.00% |
| 33   | Snubbull           |    1 |   0.56% |   0.00% |
| 33   | Crabrawler         |    1 |   0.56% |   0.00% |
| 33   | Corphish           |    1 |   0.56% |   0.00% |
