+ ---- + ---------------------- + ---- + ------- + ------- +
| Rank | Combos of 2            | Use  | Usage % |  Win %  |
+ ---- + ---------------------- + ---- + ------- + ------- +
| 1    | Gastly / Mienfoo       |   30 |  50.00% |  43.33% |
| 2    | Gastly / Vullaby       |   21 |  35.00% |  57.14% |
| 3    | Mienfoo / Ferroseed    |   20 |  33.33% |  65.00% |
| 3    | Mienfoo / Vullaby      |   20 |  33.33% |  65.00% |
| 5    | Gastly / Abra          |   18 |  30.00% |  44.44% |
| 6    | Gastly / Ferroseed     |   17 |  28.33% |  70.59% |
| 6    | Mienfoo / Abra         |   17 |  28.33% |  52.94% |
| 8    | Ferroseed / Vullaby    |   15 |  25.00% |  80.00% |
| 8    | Mienfoo / Diglett      |   15 |  25.00% |  46.67% |
| 10   | Gastly / Omanyte       |   14 |  23.33% |  50.00% |
| 11   | Gastly / Diglett       |   13 |  21.67% |  61.54% |
| 12   | Omanyte / Mienfoo      |   12 |  20.00% |  50.00% |
| 13   | Abra / Ferroseed       |   11 |  18.33% |  72.73% |
| 13   | Gastly / Pawniard      |   11 |  18.33% |  63.64% |
| 13   | Abra / Vullaby         |   11 |  18.33% |  63.64% |
| 13   | Gastly / Chinchou      |   11 |  18.33% |  45.45% |
| 13   | Mienfoo / Hippopotas   |   11 |  18.33% |  27.27% |
| 18   | Frillish / Hippopotas  |   10 |  16.67% |  50.00% |
| 18   | Mienfoo / Frillish     |   10 |  16.67% |  40.00% |
| 20   | Diglett / Vullaby      |    9 |  15.00% |  88.89% |
| 20   | Abra / Diglett         |    9 |  15.00% |  66.67% |
| 22   | Gastly / Timburr       |    8 |  13.33% |  62.50% |
| 22   | Gastly / Porygon       |    8 |  13.33% |  50.00% |
| 22   | Chinchou / Vullaby     |    8 |  13.33% |  50.00% |
| 22   | Mienfoo / Drilbur      |    8 |  13.33% |  50.00% |
| 22   | Lileep / Hippopotas    |    8 |  13.33% |  50.00% |
| 22   | Gastly / Hippopotas    |    8 |  13.33% |  37.50% |
| 22   | Staryu / Vullaby       |    8 |  13.33% |  37.50% |
| 29   | Diglett / Ferroseed    |    7 |  11.67% | 100.00% |
| 29   | Chinchou / Ferroseed   |    7 |  11.67% |  57.14% |
| 29   | Omanyte / Vullaby      |    7 |  11.67% |  57.14% |
| 29   | Frillish / Ferroseed   |    7 |  11.67% |  57.14% |
