+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Leads                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Mienfoo                 |   15 |  25.00% |  33.33% |
| 2    | Gastly                  |   11 |  18.33% |  63.64% |
| 3    | Hippopotas              |    7 |  11.67% |  42.86% |
| 4    | Vullaby                 |    6 |  10.00% |  83.33% |
| 5    | Frillish                |    5 |   8.33% |  60.00% |
| 6    | Chinchou                |    3 |   5.00% |  66.67% |
| 6    | Omanyte                 |    3 |   5.00% |  33.33% |
| 8    | Ferroseed               |    2 |   3.33% |  50.00% |
| 8    | Staryu                  |    2 |   3.33% |   0.00% |
| 10   | Diglett                 |    1 |   1.67% | 100.00% |
| 10   | Drilbur                 |    1 |   1.67% | 100.00% |
| 10   | Natu                    |    1 |   1.67% | 100.00% |
| 10   | Drifloon                |    1 |   1.67% |   0.00% |
| 10   | Skorupi                 |    1 |   1.67% |   0.00% |
| 10   | Snover                  |    1 |   1.67% |   0.00% |
