+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Mienfoo            |   42 |  70.00% |  45.24% |
| 2    | Gastly             |   41 |  68.33% |  48.78% |
| 3    | Vullaby            |   28 |  46.67% |  60.71% |
| 4    | Ferroseed          |   26 |  43.33% |  65.38% |
| 5    | Diglett            |   20 |  33.33% |  55.00% |
| 5    | Abra               |   20 |  33.33% |  50.00% |
| 7    | Frillish           |   17 |  28.33% |  47.06% |
| 8    | Hippopotas         |   16 |  26.67% |  43.75% |
| 9    | Omanyte            |   15 |  25.00% |  53.33% |
| 10   | Timburr            |   13 |  21.67% |  61.54% |
| 10   | Pawniard           |   13 |  21.67% |  61.54% |
| 10   | Chinchou           |   13 |  21.67% |  38.46% |
| 13   | Porygon            |   11 |  18.33% |  45.45% |
| 14   | Drilbur            |   10 |  16.67% |  50.00% |
| 14   | Staryu             |   10 |  16.67% |  30.00% |
| 16   | Natu               |    9 |  15.00% |  66.67% |
| 16   | Bronzor            |    9 |  15.00% |  44.44% |
| 18   | Lileep             |    8 |  13.33% |  50.00% |
| 19   | Drifloon           |    6 |  10.00% |  16.67% |
| 20   | Archen             |    5 |   8.33% |  60.00% |
| 20   | Carvanha           |    5 |   8.33% |  40.00% |
| 20   | Snover             |    5 |   8.33% |  40.00% |
| 23   | Tentacool          |    4 |   6.67% |  50.00% |
| 24   | Magnemite          |    3 |   5.00% |  66.67% |
| 25   | Clamperl           |    2 |   3.33% |   0.00% |
| 25   | Stunky             |    2 |   3.33% |   0.00% |
| 27   | Shellder           |    1 |   1.67% | 100.00% |
| 27   | Ponyta             |    1 |   1.67% | 100.00% |
| 27   | Elekid             |    1 |   1.67% | 100.00% |
| 27   | Larvesta           |    1 |   1.67% |   0.00% |
| 27   | Riolu              |    1 |   1.67% |   0.00% |
| 27   | Skorupi            |    1 |   1.67% |   0.00% |
| 27   | Smoochum           |    1 |   1.67% |   0.00% |
