+ ---- + ---------------------- + ---- + ------- + ------- +
| Rank | Combos of 2            | Use  | Usage % |  Win %  |
+ ---- + ---------------------- + ---- + ------- + ------- +
| 1    | Pawniard / Mienfoo     |   26 |  43.33% |  61.54% |
| 2    | Pawniard / Foongus     |   21 |  35.00% |  61.90% |
| 3    | Mienfoo / Foongus      |   17 |  28.33% |  58.82% |
| 4    | Onix / Pawniard        |   13 |  21.67% |  61.54% |
| 4    | Mienfoo / Diglett      |   13 |  21.67% |  53.85% |
| 6    | Onix / Foongus         |   12 |  20.00% |  58.33% |
| 6    | Fletchling / Mienfoo   |   12 |  20.00% |  41.67% |
| 8    | Mienfoo / Abra         |   11 |  18.33% |  63.64% |
| 8    | Onix / Mienfoo         |   11 |  18.33% |  36.36% |
| 8    | Fletchling / Diglett   |   11 |  18.33% |  36.36% |
| 11   | Pawniard / Abra        |   10 |  16.67% |  80.00% |
| 11   | Pawniard / Chinchou    |   10 |  16.67% |  60.00% |
| 11   | Pawniard / Ponyta      |   10 |  16.67% |  50.00% |
| 11   | Snubbull / Mienfoo     |   10 |  16.67% |  20.00% |
| 15   | Pawniard / Vullaby     |    9 |  15.00% |  77.78% |
| 15   | Omanyte / Mienfoo      |    9 |  15.00% |  66.67% |
| 15   | Gastly / Mienfoo       |    9 |  15.00% |  44.44% |
| 15   | Mienfoo / Archen       |    9 |  15.00% |  44.44% |
| 15   | Chinchou / Mienfoo     |    9 |  15.00% |  44.44% |
| 15   | Ponyta / Foongus       |    9 |  15.00% |  44.44% |
| 21   | Diglett / Foongus      |    8 |  13.33% |  62.50% |
| 21   | Timburr / Pawniard     |    8 |  13.33% |  62.50% |
| 21   | Timburr / Foongus      |    8 |  13.33% |  62.50% |
| 21   | Ponyta / Vullaby       |    8 |  13.33% |  62.50% |
| 21   | Gastly / Abra          |    8 |  13.33% |  50.00% |
| 21   | Pawniard / Archen      |    8 |  13.33% |  50.00% |
| 21   | Pawniard / Gothita     |    8 |  13.33% |  50.00% |
| 21   | Onix / Gothita         |    8 |  13.33% |  25.00% |
| 29   | Foongus / Vullaby      |    7 |  11.67% |  71.43% |
| 29   | Pawniard / Diglett     |    7 |  11.67% |  71.43% |
| 29   | Onix / Vullaby         |    7 |  11.67% |  57.14% |
| 29   | Fletchling / Pawniard  |    7 |  11.67% |  57.14% |
| 29   | Omanyte / Diglett      |    7 |  11.67% |  57.14% |
| 29   | Fletchling / Foongus   |    7 |  11.67% |  42.86% |
| 29   | Staryu / Pawniard      |    7 |  11.67% |  42.86% |
| 29   | Snubbull / Ferroseed   |    7 |  11.67% |  14.29% |
| 37   | Gastly / Pawniard      |    6 |  10.00% |  66.67% |
| 37   | Timburr / Vullaby      |    6 |  10.00% |  66.67% |
| 37   | Mienfoo / Surskit      |    6 |  10.00% |  50.00% |
| 37   | Abra / Surskit         |    6 |  10.00% |  50.00% |
| 37   | Gastly / Archen        |    6 |  10.00% |  50.00% |
| 37   | Chinchou / Vullaby     |    6 |  10.00% |  50.00% |
| 37   | Timburr / Onix         |    6 |  10.00% |  50.00% |
| 37   | Onix / Ponyta          |    6 |  10.00% |  50.00% |
| 37   | Timburr / Ponyta       |    6 |  10.00% |  50.00% |
| 37   | Chinchou / Ponyta      |    6 |  10.00% |  50.00% |
| 37   | Mienfoo / Vullaby      |    6 |  10.00% |  33.33% |
| 37   | Mienfoo / Porygon      |    6 |  10.00% |  33.33% |
| 37   | Pawniard / Porygon     |    6 |  10.00% |  33.33% |
| 37   | Gothita / Mienfoo      |    6 |  10.00% |  33.33% |
| 37   | Snubbull / Pawniard    |    6 |  10.00% |  16.67% |
| 52   | Omanyte / Pawniard     |    5 |   8.33% | 100.00% |
| 52   | Abra / Vullaby         |    5 |   8.33% |  60.00% |
| 52   | Pawniard / Surskit     |    5 |   8.33% |  60.00% |
| 52   | Archen / Surskit       |    5 |   8.33% |  60.00% |
| 52   | Abra / Archen          |    5 |   8.33% |  60.00% |
| 52   | Omanyte / Fletchling   |    5 |   8.33% |  60.00% |
| 52   | Onix / Abra            |    5 |   8.33% |  60.00% |
| 52   | Gastly / Surskit       |    5 |   8.33% |  40.00% |
| 52   | Chinchou / Foongus     |    5 |   8.33% |  40.00% |
| 52   | Mienfoo / Ponyta       |    5 |   8.33% |  40.00% |
| 52   | Ponyta / Diglett       |    5 |   8.33% |  40.00% |
| 52   | Gothita / Ponyta       |    5 |   8.33% |  40.00% |
| 52   | Mienfoo / Ferroseed    |    5 |   8.33% |  20.00% |
| 52   | Vulpix / Bellsprout    |    5 |   8.33% |  20.00% |
| 66   | Abra / Foongus         |    4 |   6.67% | 100.00% |
| 66   | Omanyte / Foongus      |    4 |   6.67% | 100.00% |
| 66   | Omanyte / Abra         |    4 |   6.67% |  75.00% |
| 66   | Onix / Fletchling      |    4 |   6.67% |  50.00% |
| 66   | Diglett / Vullaby      |    4 |   6.67% |  50.00% |
| 66   | Gastly / Onix          |    4 |   6.67% |  25.00% |
| 66   | Staryu / Gothita       |    4 |   6.67% |  25.00% |
| 66   | Gothita / Foongus      |    4 |   6.67% |  25.00% |
| 66   | Diglett / Ferroseed    |    4 |   6.67% |  25.00% |
| 66   | Fletchling / Ferroseed |    4 |   6.67% |  25.00% |
| 66   | Snubbull / Diglett     |    4 |   6.67% |  25.00% |
| 66   | Snubbull / Fletchling  |    4 |   6.67% |  25.00% |
| 66   | Snubbull / Onix        |    4 |   6.67% |  25.00% |
| 66   | Vulpix / Gothita       |    4 |   6.67% |  25.00% |
| 66   | Vulpix / Onix          |    4 |   6.67% |  25.00% |
| 66   | Bellsprout / Gothita   |    4 |   6.67% |  25.00% |
| 66   | Onix / Bellsprout      |    4 |   6.67% |  25.00% |
| 66   | Snubbull / Gothita     |    4 |   6.67% |   0.00% |
| 66   | Snubbull / Chinchou    |    4 |   6.67% |   0.00% |
| 85   | Gothita / Chinchou     |    3 |   5.00% |  66.67% |
| 85   | Gothita / Vullaby      |    3 |   5.00% |  66.67% |
| 85   | Mienfoo / Spritzee     |    3 |   5.00% |  66.67% |
| 85   | Abra / Diglett         |    3 |   5.00% |  66.67% |
| 85   | Fletchling / Porygon   |    3 |   5.00% |  33.33% |
| 85   | Staryu / Ferroseed     |    3 |   5.00% |  33.33% |
| 85   | Pawniard / Ferroseed   |    3 |   5.00% |  33.33% |
| 85   | Onix / Ferroseed       |    3 |   5.00% |  33.33% |
| 85   | Omanyte / Ferroseed    |    3 |   5.00% |  33.33% |
| 85   | Snubbull / Omanyte     |    3 |   5.00% |  33.33% |
