+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Mienfoo            |   39 |  65.00% |  46.15% |
| 2    | Pawniard           |   38 |  63.33% |  60.53% |
| 3    | Foongus            |   24 |  40.00% |  58.33% |
| 4    | Onix               |   22 |  36.67% |  45.45% |
| 5    | Vullaby            |   17 |  28.33% |  58.82% |
| 5    | Diglett            |   17 |  28.33% |  52.94% |
| 7    | Abra               |   16 |  26.67% |  68.75% |
| 7    | Ponyta             |   16 |  26.67% |  43.75% |
| 9    | Fletchling         |   15 |  25.00% |  40.00% |
| 10   | Chinchou           |   13 |  21.67% |  46.15% |
| 10   | Gothita            |   13 |  21.67% |  38.46% |
| 10   | Snubbull           |   13 |  21.67% |  15.38% |
| 13   | Gastly             |   11 |  18.33% |  45.45% |
| 14   | Omanyte            |   10 |  16.67% |  70.00% |
| 15   | Timburr            |    9 |  15.00% |  55.56% |
| 15   | Archen             |    9 |  15.00% |  44.44% |
| 15   | Ferroseed          |    9 |  15.00% |  22.22% |
| 18   | Surskit            |    7 |  11.67% |  42.86% |
| 18   | Staryu             |    7 |  11.67% |  42.86% |
| 18   | Porygon            |    7 |  11.67% |  28.57% |
| 21   | Vulpix             |    6 |  10.00% |  33.33% |
| 22   | Bellsprout         |    5 |   8.33% |  20.00% |
| 23   | Magnemite          |    3 |   5.00% | 100.00% |
| 23   | Scraggy            |    3 |   5.00% |  66.67% |
| 23   | Spritzee           |    3 |   5.00% |  66.67% |
| 23   | Cottonee           |    3 |   5.00% |  33.33% |
| 27   | Natu               |    2 |   3.33% | 100.00% |
| 27   | Larvesta           |    2 |   3.33% | 100.00% |
| 27   | Shellder           |    2 |   3.33% | 100.00% |
| 27   | Aipom              |    2 |   3.33% |  50.00% |
| 27   | Stunky             |    2 |   3.33% |  50.00% |
| 27   | Kabuto             |    2 |   3.33% |   0.00% |
| 33   | Frillish           |    1 |   1.67% | 100.00% |
| 33   | Carvanha           |    1 |   1.67% | 100.00% |
| 33   | Bunnelby           |    1 |   1.67% | 100.00% |
| 33   | Spinarak           |    1 |   1.67% | 100.00% |
| 33   | Anorith            |    1 |   1.67% | 100.00% |
| 33   | Tirtouga           |    1 |   1.67% | 100.00% |
| 33   | Koffing            |    1 |   1.67% | 100.00% |
| 33   | Zigzagoon          |    1 |   1.67% | 100.00% |
| 33   | Sewaddle           |    1 |   1.67% | 100.00% |
| 33   | Drilbur            |    1 |   1.67% |   0.00% |
| 33   | Tyrunt             |    1 |   1.67% |   0.00% |
| 33   | Snivy              |    1 |   1.67% |   0.00% |
| 33   | Pineco             |    1 |   1.67% |   0.00% |
