+ ---- + ---------------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                        | Use  | Usage % |  Win %  |
+ ---- + ---------------------------------- + ---- + ------- + ------- +
| 1    | Mienfoo / Vullaby                  |  139 |  77.22% |  48.92% |
| 2    | Mienfoo / Mareanie                 |   90 |  50.00% |  46.67% |
| 3    | Tinkatink / Mienfoo                |   84 |  46.67% |  44.05% |
| 4    | Mienfoo / Toedscool                |   75 |  41.67% |  44.00% |
| 5    | Mudbray / Mienfoo                  |   72 |  40.00% |  51.39% |
| 6    | Mienfoo / Foongus                  |   71 |  39.44% |  57.75% |
| 7    | Mudbray / Vullaby                  |   70 |  38.89% |  48.57% |
| 7    | Tinkatink / Mareanie               |   70 |  38.89% |  42.86% |
| 9    | Foongus / Vullaby                  |   67 |  37.22% |  53.73% |
| 10   | Tinkatink / Toedscool              |   66 |  36.67% |  42.42% |
| 11   | Mareanie / Vullaby                 |   62 |  34.44% |  45.16% |
| 11   | Mareanie / Toedscool               |   62 |  34.44% |  43.55% |
| 13   | Tinkatink / Vullaby                |   52 |  28.89% |  42.31% |
| 14   | Mudbray / Foongus                  |   49 |  27.22% |  53.06% |
| 15   | Elekid / Mienfoo                   |   48 |  26.67% |  54.17% |
| 16   | Mienfoo / Sandshrew-Alola          |   47 |  26.11% |  59.57% |
| 17   | Toedscool / Vullaby                |   44 |  24.44% |  38.64% |
| 18   | Sandshrew-Alola / Vullaby          |   43 |  23.89% |  58.14% |
| 19   | Elekid / Vullaby                   |   39 |  21.67% |  46.15% |
| 20   | Mudbray / Sandshrew-Alola          |   35 |  19.44% |  60.00% |
| 21   | Mienfoo / Growlithe-Hisui          |   34 |  18.89% |  55.88% |
| 22   | Foongus / Sandshrew-Alola          |   32 |  17.78% |  62.50% |
| 22   | Glimmet / Mienfoo                  |   32 |  17.78% |  56.25% |
| 22   | Mienfoo / Trapinch                 |   32 |  17.78% |  53.12% |
| 25   | Chinchou / Mienfoo                 |   30 |  16.67% |  60.00% |
| 26   | Gothita / Mienfoo                  |   29 |  16.11% |  44.83% |
| 27   | Chinchou / Foongus                 |   27 |  15.00% |  59.26% |
| 27   | Glimmet / Vullaby                  |   27 |  15.00% |  48.15% |
| 29   | Growlithe-Hisui / Vullaby          |   26 |  14.44% |  53.85% |
| 30   | Tinkatink / Trapinch               |   25 |  13.89% |  52.00% |
| 30   | Chinchou / Vullaby                 |   25 |  13.89% |  52.00% |
| 32   | Elekid / Mareanie                  |   24 |  13.33% |  66.67% |
| 32   | Mareanie / Trapinch                |   24 |  13.33% |  50.00% |
| 32   | Tinkatink / Growlithe-Hisui        |   24 |  13.33% |  45.83% |
| 35   | Elekid / Mudbray                   |   23 |  12.78% |  39.13% |
| 36   | Mienfoo / Diglett-Alola            |   22 |  12.22% |  59.09% |
| 36   | Mudbray / Mareanie                 |   22 |  12.22% |  50.00% |
| 38   | Gothita / Vullaby                  |   21 |  11.67% |  47.62% |
| 38   | Mareanie / Growlithe-Hisui         |   21 |  11.67% |  38.10% |
| 38   | Growlithe-Hisui / Toedscool        |   21 |  11.67% |  38.10% |
| 38   | Elekid / Foongus                   |   21 |  11.67% |  38.10% |
| 42   | Mudbray / Chinchou                 |   20 |  11.11% |  60.00% |
| 43   | Stunky / Mienfoo                   |   19 |  10.56% |  52.63% |
| 43   | Elekid / Sandshrew-Alola           |   19 |  10.56% |  47.37% |
| 45   | Diglett-Alola / Vullaby            |   18 |  10.00% |  55.56% |
| 45   | Glimmet / Foongus                  |   18 |  10.00% |  55.56% |
| 47   | Vullaby / Trapinch                 |   17 |   9.44% |  58.82% |
| 47   | Toedscool / Trapinch               |   17 |   9.44% |  47.06% |
| 49   | Mareanie / Sandshrew-Alola         |   14 |   7.78% |  57.14% |
| 49   | Gothita / Toedscool                |   14 |   7.78% |  35.71% |
| 51   | Growlithe-Hisui / Foongus          |   13 |   7.22% |  84.62% |
| 51   | Tinkatink / Elekid                 |   13 |   7.22% |  76.92% |
| 51   | Mudbray / Gothita                  |   13 |   7.22% |  53.85% |
| 51   | Mienfoo / Wingull                  |   13 |   7.22% |  38.46% |
| 55   | Elekid / Toedscool                 |   12 |   6.67% |  83.33% |
| 55   | Tinkatink / Stunky                 |   12 |   6.67% |  58.33% |
| 55   | Stunky / Toedscool                 |   12 |   6.67% |  58.33% |
| 55   | Elekid / Glimmet                   |   12 |   6.67% |  58.33% |
| 59   | Mareanie / Diglett-Alola           |   11 |   6.11% |  63.64% |
| 59   | Gothita / Foongus                  |   11 |   6.11% |  54.55% |
| 59   | Larvesta / Mienfoo                 |   11 |   6.11% |  45.45% |
| 59   | Larvesta / Toedscool               |   11 |   6.11% |  45.45% |
| 59   | Larvesta / Gothita                 |   11 |   6.11% |  45.45% |
| 64   | Mudbray / Growlithe-Hisui          |   10 |   5.56% |  80.00% |
| 64   | Elekid / Trapinch                  |   10 |   5.56% |  70.00% |
| 64   | Mudbray / Diglett-Alola            |   10 |   5.56% |  70.00% |
| 64   | Glimmet / Sandshrew-Alola          |   10 |   5.56% |  50.00% |
| 64   | Wingull / Mareanie                 |   10 |   5.56% |  30.00% |
| 69   | Gothita / Chinchou                 |    9 |   5.00% |  66.67% |
| 69   | Mudbray / Glimmet                  |    9 |   5.00% |  66.67% |
| 69   | Tinkatink / Foongus                |    9 |   5.00% |  66.67% |
| 69   | Glimmet / Toedscool                |    9 |   5.00% |  55.56% |
| 69   | Gothita / Glimmet                  |    9 |   5.00% |  55.56% |
| 69   | Foongus / Diglett-Alola            |    9 |   5.00% |  55.56% |
| 75   | Stunky / Mareanie                  |    8 |   4.44% |  75.00% |
| 75   | Larvesta / Glimmet                 |    8 |   4.44% |  62.50% |
| 75   | Chinchou / Sandshrew-Alola         |    8 |   4.44% |  62.50% |
