+ ---- + ------------------------ + ---- + ------- + ------- +
| Rank | Combos of 2              | Use  | Usage % |  Win %  |
+ ---- + ------------------------ + ---- + ------- + ------- +
| 1    | Diglett / Vullaby        |   32 |  53.33% |  59.38% |
| 2    | Pawniard / Vullaby       |   27 |  45.00% |  51.85% |
| 3    | Foongus / Vullaby        |   26 |  43.33% |  42.31% |
| 4    | Mienfoo / Vullaby        |   24 |  40.00% |  45.83% |
| 5    | Abra / Vullaby           |   21 |  35.00% |  76.19% |
| 6    | Staryu / Vullaby         |   19 |  31.67% |  26.32% |
| 7    | Onix / Vullaby           |   18 |  30.00% |  50.00% |
| 7    | Pawniard / Foongus       |   18 |  30.00% |  38.89% |
| 9    | Timburr / Vullaby        |   17 |  28.33% |  41.18% |
| 10   | Pawniard / Diglett       |   16 |  26.67% |  75.00% |
| 10   | Abra / Diglett           |   16 |  26.67% |  75.00% |
| 12   | Mareanie / Vullaby       |   14 |  23.33% |  64.29% |
| 12   | Mienfoo / Diglett        |   14 |  23.33% |  57.14% |
| 14   | Diglett / Foongus        |   13 |  21.67% |  53.85% |
| 14   | Pawniard / Mienfoo       |   13 |  21.67% |  53.85% |
| 16   | Staryu / Foongus         |   12 |  20.00% |  25.00% |
| 17   | Pawniard / Abra          |   11 |  18.33% |  72.73% |
| 17   | Mienfoo / Foongus        |   11 |  18.33% |  36.36% |
| 17   | Staryu / Pawniard        |   11 |  18.33% |  27.27% |
| 17   | Mudbray / Vullaby        |   11 |  18.33% |  27.27% |
| 21   | Mienfoo / Abra           |   10 |  16.67% |  70.00% |
| 21   | Onix / Diglett           |   10 |  16.67% |  50.00% |
| 21   | Ferroseed / Vullaby      |   10 |  16.67% |  40.00% |
| 21   | Onix / Mienfoo           |   10 |  16.67% |  30.00% |
| 25   | Mareanie / Diglett       |    9 |  15.00% |  77.78% |
| 25   | Timburr / Onix           |    9 |  15.00% |  55.56% |
| 25   | Spritzee / Vullaby       |    9 |  15.00% |  22.22% |
| 28   | Onix / Abra              |    8 |  13.33% |  75.00% |
| 28   | Pawniard / Mareanie      |    8 |  13.33% |  75.00% |
| 28   | Abra / Mareanie          |    8 |  13.33% |  75.00% |
| 28   | Timburr / Foongus        |    8 |  13.33% |  50.00% |
| 28   | Timburr / Diglett        |    8 |  13.33% |  37.50% |
| 28   | Staryu / Mudbray         |    8 |  13.33% |  12.50% |
| 34   | Abra / Foongus           |    7 |  11.67% |  57.14% |
| 34   | Mienfoo / Mareanie       |    7 |  11.67% |  42.86% |
| 34   | Mienfoo / Spritzee       |    7 |  11.67% |  42.86% |
| 34   | Rufflet / Vullaby        |    7 |  11.67% |  28.57% |
| 34   | Mudbray / Foongus        |    7 |  11.67% |  28.57% |
| 39   | Ponyta / Vullaby         |    6 |  10.00% |  83.33% |
| 39   | Chinchou / Vullaby       |    6 |  10.00% |  66.67% |
| 39   | Onix / Mareanie          |    6 |  10.00% |  50.00% |
| 39   | Onix / Foongus           |    6 |  10.00% |  33.33% |
| 39   | Staryu / Rufflet         |    6 |  10.00% |  33.33% |
| 39   | Pawniard / Rufflet       |    6 |  10.00% |  33.33% |
| 39   | Staryu / Mienfoo         |    6 |  10.00% |  33.33% |
| 39   | Staryu / Spritzee        |    6 |  10.00% |  33.33% |
| 39   | Staryu / Diglett         |    6 |  10.00% |  33.33% |
| 39   | Mudbray / Rufflet        |    6 |  10.00% |  16.67% |
| 39   | Mudbray / Pawniard       |    6 |  10.00% |  16.67% |
| 39   | Staryu / Timburr         |    6 |  10.00% |  16.67% |
| 51   | Gastly / Vullaby         |    5 |   8.33% | 100.00% |
| 51   | Gastly / Onix            |    5 |   8.33% | 100.00% |
| 51   | Ponyta / Diglett         |    5 |   8.33% |  80.00% |
| 51   | Pawniard / Ponyta        |    5 |   8.33% |  80.00% |
| 51   | Ponyta / Foongus         |    5 |   8.33% |  80.00% |
| 51   | Snivy / Vullaby          |    5 |   8.33% |  60.00% |
| 51   | Mienfoo / Ferroseed      |    5 |   8.33% |  40.00% |
| 51   | Archen / Vullaby         |    5 |   8.33% |  40.00% |
| 51   | Timburr / Mareanie       |    5 |   8.33% |  40.00% |
| 51   | Foongus / Rufflet        |    5 |   8.33% |  20.00% |
| 51   | Spritzee / Ferroseed     |    5 |   8.33% |  20.00% |
| 62   | Gastly / Diglett         |    4 |   6.67% | 100.00% |
| 62   | Gastly / Abra            |    4 |   6.67% | 100.00% |
| 62   | Chinchou / Diglett       |    4 |   6.67% |  75.00% |
| 62   | Pawniard / Chinchou      |    4 |   6.67% |  75.00% |
| 62   | Timburr / Abra           |    4 |   6.67% |  75.00% |
| 62   | Onix / Ferroseed         |    4 |   6.67% |  50.00% |
| 62   | Timburr / Ferroseed      |    4 |   6.67% |  50.00% |
| 62   | Diglett / Archen         |    4 |   6.67% |  50.00% |
| 62   | Staryu / Ferroseed       |    4 |   6.67% |  25.00% |
| 71   | Mienfoo / Ponyta         |    3 |   5.00% | 100.00% |
| 71   | Chinchou / Abra          |    3 |   5.00% | 100.00% |
| 71   | Gastly / Mienfoo         |    3 |   5.00% | 100.00% |
| 71   | Croagunk / Diglett       |    3 |   5.00% |  66.67% |
| 71   | Croagunk / Vullaby       |    3 |   5.00% |  66.67% |
