+ ---- + ----------------------------- + ---- + ------- + ------- +
| Rank | Combos of 2                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------------- + ---- + ------- + ------- +
| 1    | Landorus / Amoonguss          |    3 |  37.50% |  66.67% |
| 1    | Thundurus / Landorus-Therian  |    3 |  37.50% |  33.33% |
| 3    | Scrafty / Amoonguss           |    2 |  25.00% | 100.00% |
| 3    | Scrafty / Landorus            |    2 |  25.00% | 100.00% |
| 3    | Deoxys-Speed / Kangaskhan     |    2 |  25.00% |  50.00% |
| 3    | Genesect / Kangaskhan         |    2 |  25.00% |  50.00% |
| 3    | Deoxys-Speed / Genesect       |    2 |  25.00% |  50.00% |
| 3    | Charizard / Landorus-Therian  |    2 |  25.00% |  50.00% |
| 3    | Charizard / Thundurus         |    2 |  25.00% |  50.00% |
| 3    | Heatran / Charizard           |    2 |  25.00% |  50.00% |
| 3    | Charizard / Sylveon           |    2 |  25.00% |  50.00% |
| 3    | Heatran / Landorus-Therian    |    2 |  25.00% |  50.00% |
| 3    | Sylveon / Landorus-Therian    |    2 |  25.00% |  50.00% |
| 3    | Heatran / Thundurus           |    2 |  25.00% |  50.00% |
| 3    | Sylveon / Thundurus           |    2 |  25.00% |  50.00% |
| 3    | Heatran / Sylveon             |    2 |  25.00% |  50.00% |
| 3    | Thundurus / Kangaskhan        |    2 |  25.00% |  50.00% |
| 3    | Volcanion / Kangaskhan        |    2 |  25.00% |  50.00% |
| 3    | Thundurus / Volcanion         |    2 |  25.00% |  50.00% |
| 20   | Gardevoir / Amoonguss         |    1 |  12.50% | 100.00% |
| 20   | Gardevoir / Blastoise         |    1 |  12.50% | 100.00% |
| 20   | Gardevoir / Landorus          |    1 |  12.50% | 100.00% |
| 20   | Gardevoir / Volcanion         |    1 |  12.50% | 100.00% |
| 20   | Gardevoir / Scrafty           |    1 |  12.50% | 100.00% |
| 20   | Blastoise / Amoonguss         |    1 |  12.50% | 100.00% |
| 20   | Amoonguss / Volcanion         |    1 |  12.50% | 100.00% |
| 20   | Landorus / Blastoise          |    1 |  12.50% | 100.00% |
| 20   | Blastoise / Volcanion         |    1 |  12.50% | 100.00% |
| 20   | Scrafty / Blastoise           |    1 |  12.50% | 100.00% |
| 20   | Landorus / Volcanion          |    1 |  12.50% | 100.00% |
| 20   | Scrafty / Volcanion           |    1 |  12.50% | 100.00% |
| 20   | Conkeldurr / Kangaskhan       |    1 |  12.50% | 100.00% |
| 20   | Thundurus / Conkeldurr        |    1 |  12.50% | 100.00% |
| 20   | Deoxys-Speed / Conkeldurr     |    1 |  12.50% | 100.00% |
| 20   | Volcanion / Conkeldurr        |    1 |  12.50% | 100.00% |
| 20   | Genesect / Conkeldurr         |    1 |  12.50% | 100.00% |
| 20   | Deoxys-Speed / Thundurus      |    1 |  12.50% | 100.00% |
| 20   | Thundurus / Genesect          |    1 |  12.50% | 100.00% |
| 20   | Deoxys-Speed / Volcanion      |    1 |  12.50% | 100.00% |
| 20   | Genesect / Volcanion          |    1 |  12.50% | 100.00% |
| 20   | Amoonguss / Metagross         |    1 |  12.50% | 100.00% |
| 20   | Talonflame / Metagross        |    1 |  12.50% | 100.00% |
| 20   | Landorus / Metagross          |    1 |  12.50% | 100.00% |
| 20   | Scrafty / Metagross           |    1 |  12.50% | 100.00% |
| 20   | Kyurem-Black / Metagross      |    1 |  12.50% | 100.00% |
| 20   | Talonflame / Amoonguss        |    1 |  12.50% | 100.00% |
| 20   | Kyurem-Black / Amoonguss      |    1 |  12.50% | 100.00% |
| 20   | Talonflame / Landorus         |    1 |  12.50% | 100.00% |
| 20   | Talonflame / Scrafty          |    1 |  12.50% | 100.00% |
| 20   | Talonflame / Kyurem-Black     |    1 |  12.50% | 100.00% |
| 20   | Kyurem-Black / Landorus       |    1 |  12.50% | 100.00% |
| 20   | Scrafty / Kyurem-Black        |    1 |  12.50% | 100.00% |
| 20   | Charizard / Blastoise         |    1 |  12.50% | 100.00% |
| 20   | Blastoise / Sylveon           |    1 |  12.50% | 100.00% |
