+ ---- + ------------------ + ---- + ------- + ------- +
| Rank | Pokemon            | Use  | Usage % |  Win %  |
+ ---- + ------------------ + ---- + ------- + ------- +
| 1    | Thundurus          |    4 |  50.00% |  50.00% |
| 1    | Landorus-Therian   |    4 |  50.00% |  25.00% |
| 3    | Amoonguss          |    3 |  37.50% |  66.67% |
| 3    | Landorus           |    3 |  37.50% |  66.67% |
| 3    | Volcanion          |    3 |  37.50% |  66.67% |
| 3    | Kangaskhan         |    3 |  37.50% |  33.33% |
| 3    | Sylveon            |    3 |  37.50% |  33.33% |
| 3    | Genesect           |    3 |  37.50% |  33.33% |
| 9    | Blastoise          |    2 |  25.00% | 100.00% |
| 9    | Scrafty            |    2 |  25.00% | 100.00% |
| 9    | Deoxys-Speed       |    2 |  25.00% |  50.00% |
| 9    | Charizard          |    2 |  25.00% |  50.00% |
| 9    | Heatran            |    2 |  25.00% |  50.00% |
| 14   | Gardevoir          |    1 |  12.50% | 100.00% |
| 14   | Conkeldurr         |    1 |  12.50% | 100.00% |
| 14   | Metagross          |    1 |  12.50% | 100.00% |
| 14   | Talonflame         |    1 |  12.50% | 100.00% |
| 14   | Kyurem-Black       |    1 |  12.50% | 100.00% |
| 14   | Mew                |    1 |  12.50% |   0.00% |
| 14   | Salamence          |    1 |  12.50% |   0.00% |
| 14   | Ludicolo           |    1 |  12.50% |   0.00% |
| 14   | Gothitelle         |    1 |  12.50% |   0.00% |
| 14   | Politoed           |    1 |  12.50% |   0.00% |
| 14   | Aegislash          |    1 |  12.50% |   0.00% |
| 14   | Rotom-Wash         |    1 |  12.50% |   0.00% |
